g,LeveleV
2,0.0000000,
6,1.1358412,
4,2.6576250,
2,4.6319246,
4,5.1050014,
6,5.2276115,
8,5.6458926,
6,5.7249678,
6,5.75026,
4,5.8281789,
10,6.0376767,
8,6.3267765,
4,6.3519002,
4,6.38333,
6,6.40427,
8,6.54663,
2,6.595503,
2,6.7553082,
2,6.90995,
4,6.9562262,
6,7.2675525,
4,7.2959015,
6,7.40349,
2,7.443125,
4,7.529373,
6,7.59466,
4,7.63288,
4,7.68102,
6,7.69120,
4,7.81164,
2,8.02703,
2,8.25800,
4,8.29582,
4,8.36514,
8,8.36711,
6,8.36769,
6,8.37026,
8,8.40755,
2,8.51530,
6,8.51835,
4,8.67534,
6,8.67984,
2,8.75543,
4,8.75989,
6,8.83040,
4,8.84682,
6,8.85004,
2,8.89138,
4,8.94717,
6,8.94804,
2,8.97595,
4,9.01242,
6,9.01301,
2,9.03194,
4,9.05717,
6,9.05764,
2,9.07094,
4,9.08905,
6,9.08960,
4,9.11289,
6,9.11315,
,9.225554,
4,9.45727,
6,9.49306,
11,9.49345,
8,9.51354,
10,9.52569,
4,9.53518,
6,9.54120,
6,9.75356,
4,9.77242,
4,9.79602,
6,10.01454,
6,10.05224,
4,10.12749,

#ignore,test#4.49
