g,LeveleV
2,0.00000000,
4,0.0018953,
2,3.55183,
4,3.55240,
6,3.55319,
2,4.9642890,
6,5.9334881,
4,5.9335273,
2,6.0271033,
4,6.0273243,
4,6.79032869,
6,6.7903466,
2,6.8203997,
2,7.1646047,
4,7.1646833,
4,7.438240,
6,7.438240,
6,7.4429049,
8,7.4429055,
2,7.4572049,
6,7.61679,
2,7.746801,
4,7.747215,
6,7.747215,
6,7.7510655,
8,7.7510655,
6,7.84364,
2,7.880515,
4,7.915811,
6,7.915811,
6,7.918415,
8,7.918415,
2,7.954332,
6,7.97322,
4,8.017482,
6,8.017482,
6,8.019266,
8,8.019266,
2,8.033195,
6,8.05455,
4,8.083434,
6,8.083434,
6,8.084685,
8,8.084685,
2,8.092472,
6,8.10865,
10,8.128612,
14,8.129514,
2,8.134526,
10,8.160905,
14,8.161540,
10,8.184766,
14,8.185267,
10,8.202911,
10,8.217013,
10,8.228200,
10,8.237218,
10,8.244597,
10,8.250713,
10,8.255835,
10,8.260166,
10,8.263862,
10,8.267041,
10,8.269799,
10,8.272202,
10,8.274317,
10,8.276199,
10,8.277831,
10,8.279304,
10,8.280617,
10,8.28181,
10,8.282847,
10,8.283842,
10,8.284757,
10,8.28550,
10,8.28620,
10,8.28690,
10,8.28752,
10,8.28807,
10,8.28860,
10,8.28904,
,8.298019,
2,8.991694,
4,8.993138,
2,9.54817,
4,9.54897,
6,9.55056,
2,10.76922,
4,10.76987,
4,10.85577,
6,10.85609,
2,10.97503,
4,11.12203,
6,11.12244,
4,11.26398,
6,11.26416,
8,11.26451,
6,11.36199,
4,11.36244,
2,11.36266,
6,11.42586,
2,11.83397,
4,11.83448,
4,11.99153,
6,11.99236,
8,11.99283,
4,12.01169,
4,12.26472,
8,12.32190,
4,12.48294,
,12.927036,
,12.927794,
,12.929796,
,17.398027,
6,190.58,
10,190.71,
2,191.87,
6,198.19,
10,198.54,
2,198.88,
2,199.55,
6,200.14,
,200.68,
2,201.54,
,202.66,

#ignore,test#6.57
