g,LeveleV
1,0.00000000,
1,2.724963,
3,2.7250394,
5,2.725329,
3,5.27744322,
3,6.457214,
1,6.779127,
5,7.0525370,
1,7.303596,
3,7.303596,
5,7.303641,
1,7.401063,
3,7.401235,
5,7.401482,
3,7.4622919,
3,7.6936830,
5,7.693683,
7,7.693683,
5,7.98810393,
3,7.997785,
1,8.089403,
1,8.283619,
3,8.283619,
5,8.283619,
3,8.311256,
3,8.423689,
5,8.423691,
7,8.423695,
9,8.46081,
5,8.460811,
7,8.460811,
7,8.460843,
5,8.527752,
3,8.556172,
1,8.594870,
1,8.687002,
3,8.687002,
5,8.687002,
3,8.693845,
7,8.753747,
3,8.753751,
5,8.753751,
9,8.77184,
5,8.771850,
7,8.771850,
7,8.771885,
5,8.803176,
3,8.822779,
1,8.842708,
1,8.893466,
3,8.893468,
5,8.893468,
3,8.895391,
3,8.930519,
5,8.930520,
7,8.930521,
5,8.940695,
7,8.940695,
9,8.94070,
7,8.940718,
5,8.958010,
3,8.97084,
1,8.982454,
1,9.013320,
3,9.013321,
5,9.013321,
3,9.01387,
7,9.036082,
5,9.036094,
3,9.036096,
9,9.04237,
5,9.042367,
7,9.042368,
7,9.042387,
5,9.053022,
3,9.06181,
1,9.069031,
5,9.089176,
3,9.089177,
1,9.089179,
3,9.08924,
7,9.104078,
5,9.104088,
3,9.104089,
5,9.115308,
1,9.12630,
3,9.13880,
3,9.1502,
5,9.1503,
7,9.15048,
5,9.158335,
1,9.16621,
3,9.17597,
3,9.1834,
5,9.18351,
7,9.1836,
5,9.189210,
1,9.19510,
3,9.20224,
3,9.2080,
5,9.20806,
7,9.2082,
5,9.21221,
3,9.22203,
3,9.2262,
5,9.22628,
7,9.2264,
5,9.22981,
3,9.23733,
,9.322699,
1,9.4464,
1,10.607337,
3,10.607596,
5,10.608089,
3,10.94,
3,11.049619,
1,11.408382,
3,11.408528,
5,11.408789,
5,11.579391,
3,11.677889,
5,11.677977,
7,11.678116,
3,11.8583,
3,12.10,
3,12.174265,
1,12.29472,
3,12.29486,
5,12.29511,
5,12.35732,
3,12.39635,
5,12.396432,
7,12.39660,
7,12.40989,
7,12.42700,
9,12.42716,
3,12.4688,
3,12.572,
3,12.615308,
1,12.67066,
3,12.67089,
5,12.67111,
5,12.70119,
15,12.72031,
7,12.72588,
3,12.7569,
3,12.811,
3,12.83598,
3,12.9168,
3,12.945,
3,13.0133,
3,13.029,
3,13.0764,
3,13.083,
3,13.1186,
3,13.121,
3,13.1494,
3,13.152,
3,13.170,
3,13.1728,
3,13.188,
3,13.1899,
3,13.2032,
3,13.2140,
3,13.2228,
3,13.2301,
,13.281358,
,13.282174,
3,17.684,
3,18.834,
3,19.797,
3,19.914,
3,19.994,
3,20.046,
,20.26207,
5,114.30,
3,114.30,
1,114.30,
3,115.47,
7,115.53,
5,115.53,
3,115.53,
5,118.16,
3,118.16,
1,118.16,
7,118.32,
5,118.32,
3,118.32,
3,119.913,
5,121.18,
3,121.18,
1,121.18,
3,121.398,
5,122.02,
3,122.24,
3,122.514,
3,122.93,
7,122.95y,
5,122.95y,
3,122.95y,
,123.64,
7,124.07z,
5,124.07z,
3,124.07z,
3,125.15,
3,125.67,
3,126.55,
3,126.70,
3,127.24,
3,127.51,
,128.071,
5,128.40y,
3,128.76,
5,129.45z,
,130.31,
3,134.47,
3,136.74,
3,137.40,
3,139.06,

#ignore,test#1.69
