g,LeveleV
5,0.00000,
3,0.38886,
1,0.47579,
5,1.49886,
1,3.45508,
5,11.64472,
5,11.956017,
3,12.20855,
3,12.249540,
1,12.42748,
7,12.89902,
5,12.90399,
9,12.90547,
3,12.91211,
1,12.91809,
3,13.56759,
5,13.59871,
7,13.68488,
5,13.82761,
3,13.93421,
7,13.94309,
5,14.00209,
3,14.05226,
3,14.21770,
5,14.23460,
7,14.27896,
3,14.57470,
5,14.59815,
5,14.60024,
1,14.60854,
7,14.69301,
9,14.80738,
1,15.02086,
3,15.07086,
9,15.14955,
5,15.20365,
7,15.21527,
3,15.50422,
3,15.72004,
5,15.83082,
7,15.86241,
3,15.95282,
5,15.97984,
5,16.11285,
5,16.19258,
7,16.19809,
3,16.21914,
7,16.27927,
7,16.32619,
9,16.33324,
5,16.52349,
1,16.56021,
3,16.56346,
5,16.83528,
5,16.93679,
3,17.06023,
3,17.12444,
7,17.26561,
3,17.28957,
5,17.37291,
1,17.38436,
3,17.38436,
9,17.39296,
7,17.39326,
5,17.41945,
3,17.61726,
3,17.70931,
5,17.71124,
1,17.74753,
1,17.78990,
7,17.81685,
3,17.91735,
5,18.02363,
3,18.05181,
5,18.09159,
11,18.09218,
9,18.09223,
7,18.09273,
5,18.09300,
3,18.09314,
7,18.11146,
5,18.11221,
9,18.11310,
3,18.76511,
5,18.7774,
5,18.78281,
7,18.89162,
5,18.94772,
3,19.10349,
9,19.21453,
3,19.23514,
5,19.28982,
7,19.34481,
7,19.35501,
9,19.35922,
3,19.40397,
9,19.42515,
11,19.43411,
9,19.45984,
7,19.49252,
3,19.51048,
5,19.54297,
3,19.55442,
7,19.56466,
5,19.62913,
7,19.64014,
3,19.80896,
5,19.82537,
5,19.89216,
5,19.94658,
7,19.94680,
5,19.97769,
5,19.98210,
11,19.99706,
9,20.02654,
5,20.07240,
9,20.11130,
7,20.11683,
5,20.12422,
7,20.12787,
7,20.13041,
3,20.13446,
3,20.49782,
5,20.64143,
3,20.75931,
5,20.96885,
5,20.99870,
5,21.03677,
7,21.04823,
5,21.16410,
3,21.17935,
,21.591,

#ignore,test#8.8
