g,LeveleV
1,0.0000000000,
3,0.0020354130,
5,0.0053825826,
5,1.2637284,
1,2.6840136,
5,4.1826219,
1,7.48039414,
3,7.48277598,
5,7.48779869,
3,7.68476777,
7,7.945771557,
3,7.94613476,
5,7.94627046,
3,8.53709962,
3,8.64039604,
5,8.643023685,
7,8.647160399,
3,8.771134696,
1,8.84658790,
3,8.848124381,
5,8.850662829,
5,9.00258381,
1,9.17184612,
3,9.33030708,
5,9.330467271,
1,9.33057587,
5,9.631071843,
1,9.68378589,
3,9.685245529,
5,9.689130559,
5,9.69545167,
7,9.697491047,
9,9.701759406,
3,9.70715841,
5,9.708910751,
7,9.710227435,
3,9.71295903,
7,9.73643528,
3,9.76143658,
5,9.833294423,
3,9.83427899,
1,9.83482192,
3,9.98852478,
3,10.01574721,
5,10.018083033,
7,10.022216175,
3,10.055746371,
1,10.08128590,
3,10.083115460,
5,10.085377438,
5,10.13817190,
1,10.19792602,
5,10.35238138,
1,10.38244873,
5,10.38335829,
3,10.38397899,
7,10.385074438,
5,10.38877088,
9,10.389704212,
3,10.39237505,
5,10.39459625,
7,10.39593494,
3,10.3994604,
7,10.404712177,
5,10.40472588,
7,10.40552565,
9,10.405550385,
7,10.40812917,
7,10.41296443,
9,10.41299796,
7,10.416318591,
5,10.41633791,
11,10.416641283,
9,10.41669049,
3,10.41865840,
3,10.41917726,
5,10.41919132,
5,10.42745839,
3,10.42906912,
1,10.42970278,
3,10.52024138,
3,10.5306428,
5,10.532508,
7,10.53679751,
1,10.559692,
3,10.56208579,
5,10.56390942,
5,10.5882298,
1,10.6161705,
5,10.68560706,
5,10.702030,
1,10.702560,
7,10.70320700,
3,10.7037605,
3,10.707590,
9,10.7084390,
5,10.708468,
5,10.710924,
7,10.711966,
7,10.71372629,
5,10.71373880,
7,10.71404072,
9,10.71406552,
3,10.7142898,
7,10.71555641,
9,10.71555649,
11,10.71561401,
9,10.71561406,
7,10.718336,
7,10.7208571,
9,10.72087957,
7,10.72248485,
5,10.7224999,
9,10.72284670,
11,10.72284691,
11,10.72314833,
9,10.72318948,
7,10.72334742,
9,10.72334747,
3,10.7235720,
11,10.72399473,
13,10.72399516,
5,10.72443720,
7,10.72443729,
3,10.7244500,
5,10.7244786,
5,10.72546557,
3,10.7270516,
1,10.727508,
3,10.775825,
3,10.781192,
5,10.782347,
7,10.786912,
1,10.796222,
3,10.7994123,
5,10.800665,
5,10.8136879,
1,10.828910,
5,10.865203,
5,10.874433,
1,10.874826,
7,10.875078,
3,10.8757182,
3,10.877795,
5,10.880080,
9,10.880931,
7,10.881120,
5,10.881130,
9,10.881243,
7,10.881251,
9,10.8820881,
7,10.8820885,
11,10.88212892,
9,10.88212892,
9,10.8822615,
11,10.8822616,
11,10.8822625,
13,10.8822625,
5,10.882479,
7,10.882983,
3,10.884529,
7,10.886674,
7,10.888287,
9,10.888299,
7,10.889159,
5,10.889166,
9,10.8894649,
11,10.8894664,
3,10.889554,
11,10.88969,
9,10.88972,
7,10.8898224,
9,10.8898233,
5,10.889851,
11,10.8899154,
13,10.8899156,
11,10.8900234,
9,10.8900234,
13,10.89023131,
11,10.8902317,
13,10.8902823,
15,10.8902826,
7,10.8904168,
9,10.8904169,
3,10.890494,
5,10.890494,
7,10.8905002,
5,10.8905002,
3,10.891259,
1,10.89140,
3,10.918215,
3,10.922016,
5,10.922519,
7,10.927451,
1,10.930438,
3,10.934457,
5,10.935183,
5,10.942892,
1,10.952019,
5,10.972432,
5,10.97799,
1,10.978030,
7,10.978183,
3,10.9786886,
3,10.979870,
7,10.981887,
5,10.981888,
9,10.981945,
7,10.981945,
5,10.983051,
9,10.984525,
5,10.985590,
7,10.985784,
3,10.986862,
7,10.988102,
7,10.989219,
9,10.989230,
7,10.989751,
5,10.989751,
3,10.989834,
5,10.98985,
11,10.99013,
9,10.99015,
5,10.990624,
3,10.990625,
3,10.99081,
1,10.99100,
3,11.005709,
5,11.0084,
3,11.008664,
7,11.014279,
5,11.018972,
5,11.023878,
1,11.029715,
5,11.041310,
5,11.0447,
1,11.044716,
7,11.044755,
3,11.045181,
3,11.045907,
5,11.047216,
7,11.047219,
9,11.047224,
7,11.047224,
5,11.04971,
9,11.051527,
5,11.052284,
7,11.052451,
3,11.053111,
7,11.053899,
9,11.054698,
7,11.054698,
5,11.05475,
3,11.055019,
7,11.055041,
5,11.055041,
11,11.05532,
9,11.05532,
1,11.05557,
3,11.05566,
5,11.05566,
3,11.055672,
3,11.063411,
7,11.071681,
5,11.078002,
1,11.081910,
5,11.088092,
5,11.09021,
1,11.09021,
7,11.090330,
3,11.090616,
3,11.091149,
9,11.097328,
5,11.097883,
7,11.09825,
3,11.098407,
7,11.098960,
5,11.09949,
3,11.099755,
3,11.09995,
1,11.10022,
3,11.103472,
7,11.111599,
1,11.118671,
5,11.12113,
3,11.12273,
7,11.122796,
1,11.12287,
5,11.12302,
3,11.123407,
9,11.130008,
5,11.130420,
7,11.13046,
7,11.13119,
3,11.131683,
3,11.13172,
5,11.13177,
1,11.1320,
3,11.132446,
5,11.14563,
3,11.14660,
7,11.146806,
1,11.14685,
5,11.14685,
3,11.14699,
5,11.154448,
3,11.154767,
7,11.1549,
7,11.155031,
3,11.155419,
1,11.1556,
3,11.15559,
5,11.1556,
3,11.16495,
7,11.164967,
1,11.16498,
5,11.16498,
3,11.165320,
5,11.17232,
7,11.17271,
3,11.17290,
7,11.17315,
1,11.1732,
5,11.17327,
3,11.17327,
3,11.173440,
3,11.1788,
7,11.17911,
1,11.17921,
5,11.17921,
3,11.179408,
7,11.18693,
5,11.18697,
3,11.187064,
3,11.1871,
1,11.1871,
5,11.18711,
7,11.187197,
3,11.187362,
5,11.19021,
1,11.19023,
7,11.190390,
3,11.19047,
3,11.19070,
7,11.19800,
5,11.19800,
3,11.19830,
7,11.198335,
3,11.198544,
5,11.1989,
3,11.1989,
1,11.1989,
3,11.19900,
7,11.199453,
1,11.19951,
5,11.19985,
7,11.20681,
1,11.20696,
5,11.20708,
5,11.20740,
7,11.20740,
7,11.207419,
3,11.20760,
5,11.2077,
1,11.2077,
3,11.2077,
7,11.212923,
5,11.21474,
7,11.21474,
7,11.214761,
3,11.214940,
7,11.218044,
5,11.22067,
7,11.220907,
7,11.22094,
3,11.220957,
7,11.22233,
7,11.22593,
5,11.22593,
7,11.22601,
3,11.226134,
7,11.22622,
7,11.229286,
7,11.2298,
5,11.2298,
7,11.230324,
3,11.23036,
7,11.232035,
5,11.2336,
7,11.2336,
7,11.23416,
3,11.23422,
7,11.23725,
7,11.23991,
7,11.24237,
7,11.244432,
7,11.24633,
7,11.24798,
7,11.249448,
7,11.250807,
7,11.25204,
,11.2602880,
,11.2681480,
3,12.83753,
5,12.840090,
7,12.843173,
5,12.8648,
3,13.1174190,
3,14.266,
5,14.267,
7,14.268,
3,14.2841,
3,15.43751,
5,15.44567,
7,15.45108,
3,15.89265,
5,15.90221,
7,15.90732,
3,16.12639,
7,16.13719,
3,16.26169,
7,16.26881,
3,16.3454,
7,16.35114,
3,16.39853,
7,16.40627,
3,16.43706,
7,16.44433,
3,16.46565,
7,16.47228,
3,16.48645,
7,16.49286,
3,16.50202,
7,16.50933,
7,16.52164,

#ignore,test#10.58
