g,LeveleV
5,0.000000,
3,0.086293,
1,0.123547,
5,1.444860,
1,3.456434,
5,11.576102,
3,11.654500,
1,11.695906,
5,13.375373,
9,13.675065,
7,13.675174,
5,13.675527,
3,13.675844,
1,13.676017,
3,13.961781,
3,14.339736,
5,14.853347,
7,14.854698,
3,14.858677,
1,15.528511,
5,15.626167,
7,15.649377,
9,15.678806,
3,15.712108,
5,15.714374,
7,15.719258,
3,15.947218,
5,15.952250,
7,15.960588,
5,16.002264,
3,16.335677,
5,16.337232,
1,16.337325,
7,16.386264,
9,16.387625,
11,16.389858,
9,16.662642,
1,17.081522,
3,17.085785,
5,17.094863,
5,17.187276,
3,17.390103,
3,17.449759,
5,17.483208,
7,17.525308,
9,17.853487,
7,17.875598,
5,17.896569,
1,17.999462,
3,18.029936,
3,18.036001,
5,18.103522,
3,18.142826,
5,18.143296,
7,18.160045,
5,18.232572,
7,18.241494,
9,18.250504,
7,18.300981,
5,18.572848,
3,18.591949,
1,18.600221,
7,18.682358,
3,18.698444,
5,18.724101,
7,18.733276,
3,18.738390,
5,18.874723,
5,19.001646,
3,19.048309,
1,19.170200,
3,19.170325,
5,19.170557,
7,19.170879,
9,19.171015,
5,19.475251,
3,19.547949,
1,19.584337,
3,19.611669,
5,19.622988,
3,19.679461,
5,19.685043,
7,19.687234,
3,19.769491,
5,19.771346,
7,19.774341,
3,19.784891,
1,19.817923,
3,19.837648,
5,19.855484,
7,19.899186,
5,20.004860,
5,20.040420,
3,20.042863,
1,20.044850,
7,20.060418,
5,20.074208,
3,20.084395,
3,20.235733,
11,20.349901,
9,20.349958,
7,20.350011,
5,20.350058,
3,20.350098,
5,20.359717,
7,20.359729,
9,20.359785,
1,20.668166,
5,20.913032,
3,20.984073,
1,21.052517,
3,21.052542,
5,21.052575,
7,21.052638,
9,21.052739,
3,21.103605,
3,21.141375,
5,21.143903,
7,21.148900,
7,21.198125,
5,21.202150,
3,21.207813,
5,21.227451,
3,21.330868,
5,21.331742,
7,21.333172,
5,21.396543,
7,21.406179,
9,21.417426,
7,21.477139,
9,21.479804,
11,21.483945,
9,21.526137,
11,21.597136,
9,21.597188,
5,21.597277,
3,21.597306,
7,21.597608,
5,21.605217,
7,21.605231,
9,21.605283,
7,21.630382,
13,21.630385,
11,21.630387,
9,21.630389,
7,21.630406,
9,21.630406,
11,21.630523,
3,21.670956,
5,21.675245,
7,21.679225,
5,21.903066,
3,21.939903,
1,21.978431,
3,21.978459,
5,21.978490,
7,21.978533,
9,21.978586,
3,21.997955,
3,22.000344,
5,22.004606,
7,22.013239,
3,22.016118,
5,22.024345,
7,22.029748,
1,22.031500,
9,22.035785,
3,22.039042,
5,22.046793,
7,22.049696,
5,22.088033,
3,22.091177,
1,22.092483,
3,22.131737,
5,22.132244,
7,22.132942,
5,22.136288,
3,22.15872,
5,22.163524,
7,22.167518,
7,22.238552,
11,22.276289,
9,22.276330,
7,22.276387,
5,22.276432,
3,22.276463,
5,22.282117,
7,22.282126,
9,22.282167,
13,22.297783,
7,22.297797,
9,22.297797,
5,22.297797,
11,22.297799,
7,22.297803,
9,22.297803,
11,22.297902,
3,22.300922,
5,22.301462,
9,22.505014,
7,22.577022,
9,22.579571,
5,22.587493,
7,22.588074,
11,22.588879,
9,22.589861,
11,22.593114,
9,22.593980,
7,22.596519,
11,22.597038,
13,22.597230,
3,22.598344,
5,22.598615,
5,22.599008,
7,22.599103,
3,22.599913,
9,22.603009,
5,22.603994,
7,22.604112,
3,22.604339,
5,22.605311,
1,22.607259,
3,22.608241,
1,22.609151,
3,22.611545,
5,22.621010,
11,22.685747,
9,22.685848,
7,22.685848,
5,22.685848,
3,22.685848,
5,22.690079,
7,22.690083,
9,22.690108,
7,22.700221,
9,22.700221,
13,22.700227,
11,22.700233,
9,22.700235,
7,22.700242,
11,22.700338,
3,22.732378,
9,22.891236,
7,22.894596,
5,22.894962,
11,22.951199,
9,22.951199,
7,22.951199,
5,22.951199,
7,22.954356,
9,22.954359,
7,22.961371,
7,22.961385,
9,22.961385,
13,22.961396,
9,22.961406,
11,22.961409,
11,22.961494,
5,23.032192,
7,23.044650,
3,23.045182,
11,23.133046,
9,23.135375,
3,23.165947,
5,23.168043,
7,23.172667,
5,23.202776,
11,23.262953,
3,23.320187,
9,23.320566,
11,23.324986,
7,23.339746,
5,23.410458,
7,23.414216,
,23.81364,

#ignore,test#9.85
