g,LeveleV
4,0.0000000,
2,0.05010710,
6,12.696690,
4,12.730752,
2,12.750582,
4,12.984995,
2,13.025319,
6,14.371989,
4,14.387235,
2,14.399969,
8,14.504588,
6,14.526486,
4,14.544408,
2,14.554747,
6,14.583383,
4,14.614380,
2,14.680382,
4,14.683178,
4,14.746284,
2,14.764264,
6,15.3641547,
4,15.3642647,
6,15.577088,
4,15.606794,
2,15.630344,
4,15.657044,
2,15.694066,
8,15.877925,
6,15.880867,
4,15.885193,
6,15.887395,
2,15.892913,
10,15.897146,
4,15.897233,
8,15.897299,
2,15.911973,
8,15.933798,
2,15.934476,
4,15.934856,
6,15.935112,
6,15.945123,
4,15.945846,
6,15.956505,
4,15.958291,
6,16.041306,
4,16.054052,
2,16.069229,
8,16.075729,
6,16.089780,
4,16.110176,
6,16.119942,
2,16.125310,
4,16.135508,
2,16.136428,
4,16.145361,
4,16.164423,
2,16.178689,
6,16.439747,
4,16.458279,
4,16.489698,
2,16.491030,
2,16.517578,
8,16.557413,
6,16.559011,
4,16.561487,
6,16.562252,
10,16.564984,
8,16.565096,
2,16.565952,
4,16.567246,
2,16.571619,
2,16.602772,
4,16.603901,
8,16.604344,
6,16.605428,
6,16.609627,
4,16.610334,
6,16.624390,
4,16.625200,
8,16.645708,
6,16.812735,
4,16.822829,
4,16.857684,
2,16.861265,
8,16.870639,
6,16.871552,
4,16.872990,
6,16.873287,
10,16.874381,
8,16.874454,
2,16.875419,
4,16.875962,
2,16.877262,
2,16.880599,
2,16.913932,
4,16.914767,
8,16.915056,
6,16.915766,
6,16.917829,
4,16.918274,
6,16.934314,
4,16.934752,
6,17.007508,
4,17.013383,
8,17.040199,
6,17.040765,
4,17.041623,
6,17.041794,
10,17.042332,
8,17.042374,
4,17.043204,
4,17.05129,
2,17.05359,
2,17.058685,
6,17.0588903,
8,17.0600023,
4,17.060879,
2,17.07148,
4,17.083498,
8,17.083667,
6,17.084120,
6,17.085283,
6,17.102559,
6,17.121938,
4,17.12591,
10,17.143498,
8,17.143543,
4,17.14354,
6,17.14354,
2,17.14452,
4,17.16513,
2,17.16722,
2,17.18442,
4,17.18575,
6,17.18575,
4,17.196058,
6,17.197045,
4,17.19750,
4,17.20425,
6,17.20425,
10,17.209125,
4,17.20934,
6,17.20934,
2,17.21041,
4,17.23762,
4,17.24621,
4,17.25145,
6,17.25145,
4,17.2543,
6,17.2543,
2,17.25528,
2,17.25663,
4,17.26986,
6,17.26986,
4,17.28020,
4,17.28639,
6,17.28639,
2,17.28653,
4,17.29647,
6,17.29647,
4,17.30492,
2,17.30554,
4,17.31017,
6,17.31017,
4,17.31474,
6,17.31474,
4,17.32465,
4,17.32825,
6,17.32825,
4,17.32835,
6,17.32835,
4,17.33943,
2,17.33943,
4,17.34219,
6,17.34219,
4,17.34683,
6,17.34683,
4,17.35124,
4,17.35215,
6,17.35215,
4,17.35321,
6,17.35321,
4,17.36070,
4,17.36220,
6,17.36220,
2,17.36551,
4,17.36839,
4,17.36953,
6,17.36953,
4,17.37031,
6,17.37031,
6,17.37067,
4,17.37067,
4,17.37471,
6,17.37573,
4,17.37573,
4,17.38077,
6,17.38077,
4,17.38447,
6,17.38447,
4,17.38509,
2,17.38509,
6,17.38509,
6,17.38892,
4,17.38892,
4,17.38892,
6,17.38892,
4,17.39209,
6,17.39209,
4,17.39475,
6,17.39475,
4,17.39545,
6,17.39545,
2,17.39948,
4,17.40298,
6,17.40298,
6,17.40458,
4,17.40458,
2,17.41149,
6,17.41157,
4,17.41157,
4,17.41457,
6,17.41457,
4,17.41801,
6,17.41801,
,17.42282,
4,17.42340,
6,17.42340,
6,17.43059,
4,17.43059,
4,18.18398,
6,18.18398,
2,18.21427,
2,18.46617,
4,18.46617,
8,18.469704,
10,18.469705,
6,18.48935,
4,18.48935,
2,18.49641,
6,18.499267,
8,18.499283,
4,19.03512,
6,19.03512,
2,19.12710,
2,19.14552,
4,19.14552,
8,19.146432,
10,19.146433,
6,19.15514,
4,19.15514,
6,19.159557,
8,19.159578,
4,19.40433,
6,19.40433,
2,19.44682,
2,19.45885,
4,19.45885,
10,19.459119,
6,19.46370,
4,19.46370,
4,19.59755,
6,19.59755,
2,19.61583,
2,19.62838,
4,19.62838,
6,19.63106,
4,19.63106,
4,19.71122,
6,19.71122,
2,19.73036,
4,19.73036,
6,19.73209,
4,19.73209,
4,19.78348,
6,19.78348,
2,19.79673,
4,19.79673,
6,19.79766,
4,19.79766,
4,19.83252,
6,19.83252,
2,19.84203,
4,19.84203,
6,19.86748,
4,19.86748,
2,19.87399,
4,19.87399,
4,19.89298,
6,19.89298,
2,19.89790,
4,19.89790,
4,19.91220,
6,19.91220,
4,19.91599,
2,19.91599,
4,19.92704,
6,19.92704,
4,19.92973,
2,21.055555,
4,21.2013,
6,21.2013,
4,32.3599,

#ignore,test#5.9
