g,LeveleV
6,0.0000000,
8,0.0324641,
10,0.0785158,
12,0.1436906,
14,0.2399479,
4,0.3541829,
6,0.3821207,
8,0.4249278,
8,0.4270307,
10,0.4924859,
4,0.4993043,
6,0.5223152,
8,0.5559270,
12,0.6002206,
10,0.6016090,
12,0.6620108,
14,0.7311675,
16,0.8189347,
14,0.9909149,
12,1.0601950,
10,1.1015759,
12,1.1273252,
8,1.1335756,
6,1.1566317,
4,1.1718611,
12,1.2328715,
10,1.2511948,
10,1.2761157,
8,1.2884176,
8,1.3142006,
6,1.3183343,
4,1.3393543,
2,1.3524473,
10,1.3721164,
8,1.3742824,
10,1.4064179,
12,1.4248517,
6,1.4468786,
4,1.4967097,
2,1.5261845,
8,1.5272731,
2,1.5699110,
4,1.5750271,
6,1.5840304,
8,1.5983661,
6,1.6156116,
10,1.6212236,
12,1.6586576,
4,1.6756699,
2,1.7110247,
14,1.7265710,
12,2.1976264,
10,2.2090417,
8,2.2155825,
6,2.2281938,
2,2.2301790,
4,2.2318770,
6,2.2435815,
8,2.2503922,
10,2.2712962,
16,2.2771997,
4,2.2775062,
14,2.2799606,
12,2.3112337,
14,2.3156485,
12,2.3172766,
16,2.3250799,
6,2.3501267,
8,2.3833739,
10,2.4024417,
10,2.4055386,
12,2.4487017,
10,2.4730849,
8,2.4855539,
12,2.4912449,
8,2.4918684,
6,2.5079360,
4,2.5254660,
2,2.5359290,
10,2.5508711,
6,2.5579292,
4,2.6043991,
14,2.6231952,
2,2.6318896,
8,2.6489129,
6,2.7353896,
18,2.7935239,
12,2.7937496,
4,2.8116293,
10,2.8547711,
2,2.8833543,
16,2.8851540,
8,2.9102929,
6,2.9381033,
4,2.9423879,
14,2.9719233,
8,2.9896677,
12,3.0267872,
12,3.0410896,
6,3.0737555,
10,3.0812891,
4,3.0953700,
8,3.1203310,
14,3.1339654,
6,3.1496973,
10,3.1539516,
16,3.1619145,
4,3.1703625,
10,3.1751174,
8,3.1825122,
4,3.2186388,
6,3.2498629,
10,3.2672027,
8,3.2698341,
10,3.2800573,
8,3.2973873,
12,3.3029218,
14,3.3390931,
6,3.3637405,
10,3.3676866,
8,3.3814837,
6,3.3844885,
8,3.3993556,
10,3.4152687,
4,3.4296776,
12,3.4547619,
8,3.4700789,
2,3.4703094,
12,3.4869689,
8,3.4988549,
10,3.5264477,
12,3.5338363,
8,3.5412037,
6,3.5495457,
6,3.5695191,
10,3.5802421,
10,3.6011571,
4,3.6137623,
6,3.6200766,
8,3.6233579,
8,3.6255769,
14,3.6393508,
8,3.6472487,
6,3.6842918,
6,3.6971798,
4,3.7043921,
6,3.7152797,
8,3.7206287,
10,3.7229204,
12,3.7320937,
8,3.7374990,
12,3.7650056,
