g,LeveleV
4,0.0000000,
6,0.1305757,
4,0.3308132,
6,0.3731927,
8,0.4332660,
10,0.5110098,
6,0.8693659,
2,0.8965802,
4,0.9287062,
6,0.9521911,
8,0.9983409,
4,1.0471760,
2,1.1213396,
6,1.1386457,
4,1.2050569,
10,1.2299011,
8,1.2349947,
4,1.5411991,
6,1.5854360,
8,1.6413429,
4,1.644078,
6,1.690034,
10,1.7044450,
2,1.747643,
4,1.823674,
6,1.835472,
8,1.862182,
4,1.863686,
6,1.884167,
2,1.887026,
6,1.922206,
8,1.996058,
10,2.013896,
4,2.018495,
8,2.050499,
2,2.060283,
4,2.074893,
6,2.089977,
2,2.106668,
8,2.110628,
6,2.120053,
10,2.125201,
2,2.178091,
4,2.206583,
8,2.220578,
6,2.225161,
4,2.236382,
6,2.251177,
4,2.253084,
12,2.270265,
10,2.270880,
8,2.306592,
6,2.328004,
10,2.371732,
6,2.402739,
4,2.482038,
4,2.489972,
12,2.494237,
2,2.504151,
6,2.521622,
2,2.528360,
8,2.574310,
6,2.600218,
4,2.608293,
10,2.651278,
8,2.659196,
8,2.685809,
8,2.720684,
6,2.723849,
2,2.758232,
10,2.763083,
4,2.782126,
6,2.827367,
8,2.879049,
2,2.883987,
8,2.889236,
10,2.909517,
2,2.917156,
4,2.939022,
6,2.960117,
6,2.981336,
8,2.986598,
4,2.997173,
10,3.006493,
8,3.026415,
6,3.038589,
4,3.054879,
4,3.070171,
12,3.079944,
4,3.088493,
6,3.097657,
8,3.109940,
10,3.110683,
6,3.126667,
8,3.146752,
6,3.151013,
2,3.155888,
2,3.176097,
4,3.179327,
12,3.208032,
4,3.217430,
10,3.223238,
6,3.265611,
6,3.350378,
10,3.354388,
8,3.363994,
4,3.375502,
6,3.396304,
8,3.404025,
10,3.424387,
6,3.430565,
2,3.440434,
4,3.467657,
8,3.476449,
10,3.482613,
12,3.493759,
6,3.534344,
8,3.538891,
4,3.563596,
12,3.563708,
6,3.565161,
2,3.582339,
4,3.592050,
8,3.601228,
4,3.620285,
8,3.653401,
6,3.657804,
2,3.665556,
6,3.667306,
6,3.691701,
4,3.704024,
8,3.706496,
6,3.707788,
4,3.711683,
2,3.717723,
2,3.721911,
8,3.726351,
4,3.740581,
6,3.757417,
6,3.763451,
8,3.769330,
4,3.771284,
10,3.800150,
6,3.817281,
6,3.830720,
6,3.832210,
10,3.835421,
8,3.839135,
4,3.842067,
8,3.850911,
2,3.851179,
6,3.858267,
4,3.874231,
8,3.879167,
6,3.887103,
6,3.902678,
4,3.928893,
4,3.936682,
10,3.958067,
8,3.958196,
8,3.980944,
8,3.984920,
8,3.994713,
2,4.003470,
6,4.010683,
10,4.019038,
6,4.028589,
6,4.075725,
2,4.109276,
4,4.116778,
8,4.127000,
6,4.134873,
2,4.143487,
4,4.172942,
6,4.175566,
10,4.184889,
8,4.185266,
6,4.190570,
2,4.193184,
4,4.217417,
8,4.219520,
6,4.230916,
6,4.241937,
10,4.245171,
12,4.245845,
2,4.246365,
8,4.249246,
4,4.252548,
6,4.259923,
4,4.261219,
8,4.262683,
6,4.265064,
8,4.275258,
2,4.275994,
10,4.280764,
6,4.281159,
4,4.283133,
2,4.288625,
10,4.294190,
8,4.297787,
10,4.304078,
2,4.308771,
4,4.309510,
6,4.313067,
4,4.320896,
2,4.322208,
6,4.324647,
4,4.327903,
8,4.335570,
6,4.337269,
8,4.337980,
4,4.340686,
8,4.351362,
6,4.354040,
10,4.360472,
6,4.368312,
10,4.368715,
12,4.368732,
8,4.370827,
6,4.373562,
4,4.374215,
8,4.376409,
4,4.377684,
6,4.388220,
6,4.390832,
10,4.394741,
10,4.395298,
4,4.397825,
2,4.399294,
4,4.400701,
10,4.407926,
8,4.410177,
2,4.411578,
4,4.417350,
6,4.436167,
2,4.446153,
4,4.448056,
10,4.449601,
8,4.451907,
8,4.454969,
8,4.458065,
8,4.463315,
2,4.466830,
10,4.467721,
4,4.471603,
12,4.472698,
6,4.473485,
6,4.477026,
12,4.483256,
4,4.484856,
8,4.490749,
6,4.495534,
10,4.496322,
8,4.499754,
4,4.504728,
2,4.507937,
10,4.513114,
6,4.518895,
8,4.519777,
2,4.524838,
4,4.547564,
4,4.552995,
8,4.553105,
8,4.561671,
10,4.565442,
2,4.567665,
6,4.568981,
4,4.569262,
2,4.574599,
6,4.598165,
4,4.598840,
6,4.617834,
4,4.618239,
4,4.618848,
2,4.646345,
6,4.654881,
4,4.663406,
2,4.669180,
8,4.670973,
6,4.678121,
6,4.683073,
4,4.684996,
8,4.690791,
8,4.691906,
6,4.693515,
6,4.699403,
6,4.706606,
8,4.709252,
8,4.717669,
4,4.719033,
10,4.732824,
8,4.733469,
6,4.744170,
6,4.758377,
8,4.759970,
4,4.770768,
10,4.805097,
2,4.825608,
8,4.834379,
4,4.849064,
6,4.857591,
8,4.878840,
10,4.883890,
10,4.969791,
2,4.989497,
8,5.072207,
4,5.57664,
2,5.57667,
,5.5769,
4,5.9109,
6,5.9134,
6,6.09614,
4,6.09711,
6,6.20246,
4,6.20297,
4,6.27253,
6,6.27279,
4,6.31926,
6,6.31943,
6,6.35279,
4,6.35322,
6,6.37678,
4,6.37795,
2,6.39649,
4,6.41104,
6,6.41125,
4,6.42242,
6,6.42257,
2,6.43157,
2,6.43964,
2,6.44581,
2,6.45095,
6,6.45545,
4,6.45583,
,6.4938,

#ignore,test#115.86
