g,LeveleV
2,0.000000,
2,4.422431,
4,4.433784,
2,8.654711,
6,8.863654,
4,8.863762,
2,9.995544,
4,9.999328,
2,11.504557,
6,11.569039,
4,11.569103,
6,11.629672,
8,11.629687,
2,12.082895,
4,12.084606,
2,12.794766,
6,12.822409,
4,12.822446,
6,12.855904,
8,12.855912,
8,12.857863,
10,12.857863,
2,13.095501,
4,13.096416,
2,13.487538,
6,13.501882,
4,13.501904,
6,13.522004,
8,13.522008,
8,13.523211,
10,13.523211,
10,13.523449,
12,13.523449,
2,13.663503,
4,13.664049,
2,13.902249,
6,13.910661,
4,13.910676,
6,13.923608,
8,13.923608,
8,13.924391,
10,13.924391,
10,13.924549,
12,13.924549,
10,13.924597,
2,14.013965,
4,14.014317,
2,14.170075,
6,14.175446,
4,14.175453,
6,14.184232,
8,14.184232,
8,14.184769,
10,14.184769,
10,14.184876,
12,14.184876,
10,14.184911,
2,14.245386,
4,14.245626,
2,14.353029,
6,14.356675,
4,14.356681,
6,14.362900,
8,14.362900,
8,14.363281,
10,14.363281,
10,14.363356,
12,14.363356,
10,14.363385,
2,14.40618,
4,14.40636,
6,14.486122,
4,14.486125,
6,14.490684,
8,14.490684,
8,14.490968,
10,14.490968,
10,14.491030,
12,14.491030,
10,14.491041,
8,14.585440,
10,14.585440,
,15.035271,
4,49.915,
2,50.153,
4,53.1839,
8,53.820,
6,53.8876,
4,53.957,
,53.96,
2,54.012,
6,54.252,
4,54.3258,
,54.47,
6,54.496,
,54.58,
4,54.71,
,55.19,
,56.70,
,56.85,
4,57.01,
,57.05,
2,57.644,
2,59.201,
4,59.297,
6,59.9306,
8,60.3625,
6,60.4057,
6,60.5468,
10,60.6758,
6,60.683,
2,60.917,
4,60.949,
4,61.094,
2,61.223,
4,61.297,
2,61.378,
2,62.207,
4,62.709,
2,64.028,
2,64.107,
2,64.137,
2,64.210,
2,64.293,
2,64.391,
2,64.441,
2,64.692,
2,64.723,
2,64.811,
2,65.472,
2,65.521,
2,65.596,
2,65.631,
2,65.760,
2,66.167,
2,66.235,
2,66.359,
2,66.490,
2,66.665,
2,66.805,
2,66.924,
2,67.088,
2,67.135,
2,67.269,
2,67.349,
,67.8079,
,67.9602,
,68.082,
,68.5382,

#ignore,test#2.07
