g,LeveleV
9,0.00000,
7,0.16871,
5,0.28139,
5,1.73970,
5,2.06578,
3,2.10498,
1,2.13633,
9,2.86511,
1,6.51314,
11,6.658439,
9,6.776707,
7,6.869504,
5,6.937190,
3,6.981332,
9,7.605015,
7,7.762103,
5,7.869516,
7,8.811228,
5,8.850500,
3,8.907325,
11,9.314146,
9,9.378984,
7,9.452214,
5,9.708402,
3,9.730581,
1,9.752293,
5,9.812483,
9,9.825761,
3,9.887643,
1,9.995742,
13,10.127872,
7,10.188104,
11,10.190732,
3,10.201080,
9,10.269165,
5,10.294836,
3,10.489572,
11,10.642084,
5,10.742720,
5,12.130812,
7,12.149932,
9,12.179951,
7,12.640797,
11,13.664646,
9,13.684303,
7,13.789671,
9,13.873664,
5,13.875633,
3,13.936028,
13,13.983911,
7,14.002209,
11,14.027686,
5,14.090986,
9,14.097638,
3,14.146052,
7,14.147862,
1,14.170830,
5,14.180198,
11,14.291939,
9,14.405963,
9,14.465781,
7,14.537246,
7,14.581329,
5,14.644387,
7,14.722535,
5,14.837132,
3,14.911867,
3,15.026008,
5,15.053120,
7,15.101579,
5,15.161085,
5,15.551778,
5,16.107172,
7,16.112243,
3,16.112732,
1,16.141509,
9,16.156666,
3,16.225006,
11,16.303984,
9,16.340128,
9,16.385318,
13,16.386818,
5,16.467366,
1,16.47314,
7,16.501787,
7,16.509550,
3,16.524205,
9,16.530156,
3,16.532016,
7,16.538369,
5,16.552011,
5,16.569568,
11,16.575695,
3,16.593988,
11,16.640862,
5,16.642635,
7,16.655391,
9,16.665308,
7,16.740743,
1,16.779389,
5,16.781302,
3,16.874088,
5,16.962675,
7,16.981744,
11,16.988340,
3,17.030762,
13,17.034350,
5,17.064144,
15,17.108753,
9,17.113650,
11,17.117308,
1,17.127981,
7,17.170249,
7,17.215479,
3,17.231225,
5,17.265258,
13,17.312397,
9,17.380681,
7,17.425300,
3,17.467532,
5,17.467563,
3,17.533114,
13,17.629040,
5,17.659559,
11,17.677121,
9,17.730075,
5,17.799191,
7,17.836962,
9,17.872694,
3,17.931159,
1,17.988675,
3,18.095512,
11,18.142087,
9,19.001366,
7,19.114690,
5,19.226354,
7,19.272513,
9,19.321871,
7,19.392517,
5,19.406363,
11,19.441801,
7,19.447293,
9,19.462058,
5,19.484646,
3,19.494675,
9,19.512065,
7,20.055050,
5,21.881612,
3,21.893527,
1,21.912521,
5,22.045085,
7,22.125166,
9,22.228135,
11,22.443506,
3,22.46636,
9,22.501018,
7,22.52277,
13,22.545287,
7,22.564715,
11,22.564895,
11,22.605683,
15,22.628145,
7,22.630177,
5,22.638006,
9,22.664088,
3,22.693479,
9,22.694247,
11,22.695580,
13,22.704754,
9,22.746746,
5,22.760471,
7,22.765070,
7,22.768180,
3,22.778005,
7,22.793189,
9,22.795700,
5,22.797223,
11,22.801299,
9,22.817757,
5,22.828573,
13,22.833745,
5,22.840412,
7,22.856053,
3,22.859671,
9,22.876417,
7,22.877341,
3,22.888670,
5,22.890402,
7,22.902745,
11,22.912977,
7,22.930251,
5,22.945402,
3,22.951465,
1,22.955331,
7,22.967843,
3,23.004487,
9,23.016319,
5,23.070161,
9,23.228673,
5,23.246216,
7,23.326454,
3,23.376330,
5,23.386255,
1,23.440068,
11,24.786807,
9,24.806306,
13,24.889463,
9,24.912839,
7,24.916233,
11,24.925000,
5,25.010741,
7,25.023664,
9,25.041076,
9,25.054024,
11,25.060410,
3,25.077426,
5,25.105290,
7,25.120215,
7,25.122237,
3,25.156262,
5,25.171281,
1,25.178520,
9,25.193258,
7,25.213491,
5,25.260497,
7,25.289844,
5,25.322789,
9,25.342881,
3,25.376832,
7,25.381417,
5,25.424511,
3,25.457304,
1,25.474537,
11,25.655453,
9,25.712103,
7,25.757011,
5,25.78942,
7,26.32340,
9,26.38851,
5,26.41072,
3,26.46939,
7,26.530098,
5,26.62486,
13,27.423724,
11,27.424728,
9,27.432258,
11,27.433798,
15,27.436064,
13,27.436825,
7,27.444014,
9,27.448631,
17,27.454218,
15,27.455575,
7,27.459609,
11,27.580987,
9,27.582327,
13,27.585821,
7,27.588542,
11,27.590148,
7,27.590204,
9,27.592373,
5,27.595333,
15,27.598424,
13,27.598845,
9,27.687503,
7,27.689363,
5,27.694993,
9,27.696458,
7,27.698914,
11,27.702298,
11,27.705652,
13,27.706736,
5,27.708144,
3,27.709395,
7,27.767196,
9,27.771099,
11,27.775053,
5,27.775690,
11,27.993673,
11,28.010306,
9,28.035158,
13,28.035882,
9,28.056439,
15,28.067587,
7,28.086494,
11,28.095282,
13,28.105517,
7,28.114382,
9,28.155818,
7,28.177897,
9,28.180207,
5,28.187416,
11,28.198197,
7,28.201375,
9,28.213026,
13,28.224914,
11,28.234538,
5,28.239513,
7,28.263812,
5,28.266619,
3,28.273634,
9,28.292588,
5,28.302297,
7,28.304473,
3,28.309238,
7,28.313520,
9,28.322262,
5,28.328349,
11,28.344005,
1,28.359694,
5,28.370031,
7,28.374813,
3,28.377441,
7,28.386847,
5,28.396898,
3,28.399497,
9,28.428523,
9,28.537431,
5,28.54363,
7,28.644511,
3,28.67866,
5,28.708365,
1,28.73480,
17,30.284721,
13,30.284905,
11,30.284911,
15,30.285267,
15,30.288085,
13,30.288146,
9,30.290100,
11,30.290108,
17,30.294696,
19,30.294700,
13,30.434550,
11,30.436671,
13,30.437545,
15,30.441642,
11,30.442161,
9,30.447118,
9,30.545350,
11,30.546761,
13,30.547967,
9,30.616531,
11,30.618502,
,35.187,

#ignore,test#21.25
