g,LeveleV
2,0.00000,
4,0.04785,
2,8.85741,
4,8.87356,
6,8.89655,
6,15.73810,
4,15.73982,
2,20.37884,
2,22.37677,
4,22.40695,
4,28.70699,
6,31.63530,
4,31.63890,
2,35.83334,
4,35.83435,
2,44.33852,
2,48.37382,
4,48.38459,
4,52.01557,
6,52.01764,
2,54.41034,
4,54.42707,
6,54.45769,
2,56.14086,
4,56.17371,
2,57.92905,
4,57.94338,
2,58.06644,
4,58.07605,
6,58.09287,
8,58.11883,
4,58.82779,
2,59.36966,
4,59.38135,
6,59.39736,
4,59.84297,
6,59.87465,
2,60.23421,
2,61.11068,
4,61.3931,
6,61.40269,
8,61.41676,
10,61.43577,
2,61.96324,
4,61.96677,
6,61.97258,
8,61.98057,
2,61.99147,
4,61.99679,
4,62.17922,
6,62.18606,
6,62.49990,
4,62.51394,
2,62.52304,
4,63.30257,
6,63.30312,
6,63.32430,
8,63.35310,
6,63.62710,
8,63.62848,
4,63.75520,
2,63.77391,
2,64.3105,
4,64.3117,
2,66.8731,
2,67.79498,
4,67.79688,
4,67.8598,
6,67.8634,
2,68.1655,
4,68.1733,
4,68.44295,
6,68.44328,
6,68.50066,
8,68.50066,
8,68.68744,
10,68.68744,
2,68.7448,
2,70.5347,
4,70.5515,
6,70.5821,
6,70.7691,
8,70.7698,
2,71.1292,
4,71.1547,
4,71.21264,
6,71.21264,
6,71.26707,
8,71.26707,
2,71.3160,
4,71.3374,
8,71.35382,
10,71.35382,
10,71.36344,
12,71.36344,
4,71.3925,
6,71.3967,
2,71.5207,
4,71.5385,
6,71.5648,
2,72.1242,
4,72.1269,
4,72.4738,
6,72.5011,
6,72.88411,
8,72.88411,
10,72.96831,
12,72.96831,
12,72.97042,
14,72.97042,
2,73.1592,
2,73.3861,
4,73.3861,
6,73.3939,
8,73.4043,
6,73.5565,
4,73.5730,
2,73.5813,
4,73.6004,
6,73.6104,
4,73.64025,
6,73.64189,
8,73.64572,
6,73.6490,
10,73.65218,
8,73.6558,
2,73.689,
4,73.7133,
6,73.9312,
6,73.935,
8,73.9356,
8,73.9444,
6,73.9496,
8,73.9535,
10,73.958,
4,73.95811,
2,73.96478,
8,73.97293,
12,73.9758,
6,73.97620,
4,73.99355,
10,73.99967,
2,74.0503,
4,74.108,
2,74.1263,
4,74.4019,
6,74.4037,
4,74.7578,
6,74.7720,
8,74.7906,
2,75.200,
4,75.2061,
6,75.2205,
6,76.3037,
4,76.307,
4,76.4835,
,77.41350,
6,77.4747,
8,77.4747,
4,77.9289,
6,78.1218,
8,78.1218,
4,78.1904,
6,78.2190,
4,78.3472,
4,78.4108,
2,78.4320,
8,78.6285,
6,78.6708,
4,78.6831,
2,78.6869,
6,78.8611,
8,78.8828,
6,78.9919,
4,79.0042,
2,79.0119,
8,79.8014,
10,79.8014,
4,80.2003,
6,80.2003,
6,80.7259,
8,80.7282,
6,81.0023,
4,81.0126,
8,81.4069,
4,81.4260,
6,81.4312,
6,81.5160,
8,81.5453,
2,81.8293,
4,81.8293,
6,82.8900,
4,82.8905,
6,83.0328,
8,83.0328,
,87.57308,
4,87.5741,
6,87.5741,
,87.58995,
,87.62798,
2,88.4048,
4,88.4048,
6,88.4048,
8,88.4048,
,97.10191,
,103.87948,
,103.89878,
,103.93211,
,106.14329,
,113.10983,

#ignore,test#5.81
