g,LeveleV
7,0.00000000,
5,0.09619638,
9,0.10212092,
1,0.7612841,
5,0.81426023,
7,1.25431290,
3,1.25619158,
5,1.6733229,
5,1.92198251,
1,2.1056776,
3,2.3019582,
9,2.7235734,
5,3.3027625,
9,3.7389724,
5,4.04436514,
11,4.1758362,
7,4.2306068,
7,4.37932485,
9,4.5001669,
13,4.5603304,
3,4.5681600,
5,4.6298290,
9,4.66063603,
7,4.6827675,
11,4.77787291,
5,4.81255750,
9,4.98344819,
5,5.0233722,
5,5.0570479,
1,5.0676694,
7,5.0796521,
3,5.1828783,
7,5.2891719,
3,5.3546084,
7,5.4485518,
9,5.5089466,
5,5.5103966,
7,5.5458512,
3,5.6286924,
5,5.72439702,
5,5.7553405,
1,5.7570696,
7,5.7804521,
11,5.80158518,
9,5.82275246,
3,5.9190761,
9,5.99487346,
5,6.0176458,
7,6.04786551,
7,6.11069823,
3,6.1427416,
5,6.18443927,
9,6.20046832,
3,6.2060658,
11,6.23632472,
1,6.247273,
7,6.33528366,
5,6.35876946,
7,6.39083018,
5,6.41659104,
3,6.4560641,
7,6.4942138,
11,6.50155626,
9,6.51166497,
5,6.5299001,
5,6.53500348,
3,6.5735549,
3,6.6536415,
5,6.6893635,
7,6.6965277,
5,6.71166766,
9,6.71727901,
7,6.79919268,
9,6.8202917,
3,6.8460125,
7,6.8856191,
11,6.8985567,
11,6.94119682,
9,6.97890491,
5,7.0262067,
9,7.0403577,
11,7.04161285,
3,7.07227332,
7,7.12986360,
5,7.1895187,
7,7.2036264,
5,7.231592,
9,7.23924626,
7,7.2508629,
3,7.2878890,
5,7.3309006,
9,7.35800610,
5,7.3723840,
9,7.376114,
3,7.3884419,
7,7.4001442,
5,7.4057695,
9,7.4082005,
7,7.4098230,
3,7.4121275,
3,7.413289,
11,7.415834,
7,7.4231978,
9,7.4244726,
5,7.4276647,
5,7.4287538,
7,7.429137,
7,7.4797222,
3,7.4834122,
9,7.49161161,
3,7.4937623,
1,7.510179,
5,7.5184835,
7,7.5370465,
9,7.5486521,
5,7.5751205,
7,7.60671059,
11,7.641615,
5,7.6430493,
9,7.679855,
5,7.6947428,
7,7.7002053,
7,7.7269322,
9,7.750302,
7,7.7574412,
5,7.7687574,
5,7.7744682,
11,7.790618,
3,7.819368,
7,7.8317506,
13,7.854759,
3,7.8688156,
5,7.913453,
7,7.925346,
11,7.928184,
11,7.9509466,
13,7.9524882,
5,7.9575867,
15,7.9625593,
5,7.9658539,
11,7.9681462,
9,7.9737672,
9,7.974587,
13,7.9759675,
11,7.9819973,
7,7.9977033,
5,7.9989199,
3,8.0118136,
9,8.0178658,
7,8.018790,
7,8.0470987,
5,8.0754487,
3,8.097010,
9,8.0972254,
5,8.098137,
13,8.098516,
5,8.099327,
7,8.09992,
3,8.100188,
9,8.100289,
7,8.100691,
9,8.101084,
11,8.101118,
11,8.101364,
7,8.101935,
3,8.1038073,
9,8.106257,
7,8.1069583,
5,8.1080363,
7,8.122230,
5,8.145478,
3,8.1643732,
9,8.1646715,
5,8.2076095,
3,8.236584,
5,8.297986,
11,8.3029669,
7,8.322014,
7,8.344587,
9,8.349424,
11,8.3582240,
7,8.4317854,
7,8.4398812,
5,8.4426710,
9,8.4459980,
5,8.4519316,
11,8.464014,
5,8.4650566,
7,8.47350,
5,8.506136,
7,8.512435,
9,8.5181412,
13,8.5197374,
9,8.5250290,
11,8.5339707,
9,8.5440240,
7,8.5483953,
15,8.689795,
11,8.689883,
13,8.690736,
11,8.691238,
,8.95883,

#ignore,test#30.48
