g,LeveleV
4,0.00000,
2,0.91432,
2,16.12194,
8,19.182993,
6,19.202334,
4,19.287508,
2,19.390318,
10,20.199342,
8,20.524528,
2,20.592312,
6,20.716031,
6,20.806996,
4,20.839924,
2,20.885128,
4,20.922422,
4,21.129861,
8,21.221049,
4,21.330457,
4,21.390466,
6,21.500789,
6,21.644558,
2,21.751105,
4,21.878006,
6,21.952992,
10,22.098941,
8,22.109166,
2,22.205064,
6,23.137405,
4,23.205850,
6,23.233742,
8,23.369568,
6,24.562262,
4,24.591005,
2,24.855304,
4,24.90547,
8,24.909027,
6,24.939280,
6,25.12465,
2,25.30472,
4,25.32049,
4,25.374192,
2,25.408212,
2,25.587943,
4,25.598460,
6,25.649543,
6,25.67885,
2,25.69737,
4,25.927062,
4,25.953271,
2,26.001599,
4,26.48655,
2,26.61447,
6,26.809778,
8,26.937102,
4,27.116713,
4,27.382768,
6,27.406038,
2,27.561862,
2,29.61911,
4,29.70509,
6,29.8962,
8,29.9408,
6,29.9631,
4,30.009,
4,30.0408,
2,30.1022,
8,30.2240,
2,30.382,
4,30.5393,
6,30.5585,
4,30.7120,
2,30.7242,
2,30.8407,
2,30.8829,
4,30.8990,
6,30.9058,
4,31.0112,
6,31.0165,
6,31.3468,
4,31.3710,
6,32.0869,
4,32.1003,
8,32.1648,
10,32.177801,
6,32.3878,
8,32.4546,
4,32.4552,
6,32.5020,
2,32.5554,
4,32.6514,
2,32.7106,
,39.247,

#ignore,test#4.8
