g,LeveleV
1,0.00000,
1,29.72189,
3,29.80617,
5,29.98111,
9,31.08386,
7,31.25745,
5,31.41830,
5,33.15640,
7,33.23201,
3,33.40463,
5,33.40877,
7,33.60659,
5,41.29800,
3,41.46095,
1,41.82484,
3,41.84262,
3,42.77522,
3,46.08929,
7,46.87557,
5,46.91793,
3,47.13238,
5,47.32626,
3,47.55130,
5,47.69192,
1,47.71133,
3,47.80459,
1,49.28505,
3,53.27548,
5,53.29367,
7,53.32294,
1,54.61726,
3,54.67492,
5,54.79200,
5,54.80672,
9,54.87027,
7,54.94872,
5,55.10197,
7,55.19870,
3,55.49810,
5,55.55261,
7,55.62028,
5,55.63482,
3,56.28544,
5,56.97035,
3,57.08566,
1,57.50002,
3,57.58535,
3,58.86328,
7,59.11796,
5,59.14269,
3,59.23315,
5,59.29088,
3,59.32593,
11,59.34002,
5,59.35963,
9,59.35972,
7,59.44458,
7,59.50112,
9,59.51157,
5,59.52455,
1,59.54795,
3,59.68319,
3,59.75293,
5,59.75731,
7,59.95992,
9,59.97215,
7,60.00374,
5,60.04029,
1,60.12898,
5,63.38422,
3,63.43407,
3,63.9434,
5,64.71965,
7,64.72035,
13,64.73341,
11,64.73348,
9,64.75750,
7,64.75785,
9,64.77242,
11,64.77253,
9,65.28532,
11,65.28550,
9,65.28651,
7,65.28686,
3,66.6843,
3,67.2059,
5,67.40307,
13,67.41124,
9,67.42569,
7,67.42795,
9,67.42801,
13,67.43126,
15,67.43126,
9,67.43403,
11,67.43417,
9,67.44023,
11,67.44023,
11,67.44383,
13,67.44383,
11,67.95627,
9,67.95647,
11,67.97266,
13,67.97266,
9,67.97282,
11,67.97282,
13,69.03947,
15,69.03947,
9,69.04227,
11,69.04227,
15,69.04324,
17,69.04324,
9,69.04518,
11,69.04518,
11,69.04690,
13,69.04690,
11,69.04723,
13,69.04723,
13,69.04813,
15,69.04813,
11,69.57882,
9,69.57882,
13,69.57882,
11,69.57882,
11,69.58166,
13,69.58166,
13,69.58166,
15,69.58166,
,73.4894,
3,80.92,

#ignore,test#1.0
