g,LeveleV
4,0.00000,
4,1.63265,
6,1.70905,
2,2.85639,
4,2.96258,
6,10.39939,
4,10.61051,
2,10.71691,
2,11.81197,
2,11.96663,
6,11.98373,
4,11.99588,
2,12.16511,
6,12.23407,
2,12.26155,
4,12.32012,
4,12.43501,
4,12.56654,
6,12.60070,
4,12.98045,
4,13.00268,
2,13.05033,
2,13.13908,
6,13.43439,
4,13.44606,
6,13.49368,
6,13.67513,
4,13.93625,
2,14.01625,
2,14.17127,
4,14.22244,
6,14.39061,
4,14.47845,
2,14.55649,
4,14.59785,
8,14.60518,
6,14.67948,
4,14.79237,
2,14.7966,
6,14.92610,
4,15.00847,
2,15.03596,
4,15.04944,
6,15.0926,
6,15.2153,
4,15.2901,
6,15.66289,
4,15.67962,
6,15.79753,
2,15.85355,
4,15.86023,
6,15.86803,
4,15.99525,
4,16.26244,
4,16.38942,
6,16.59741,
2,16.61920,
4,16.81667,
4,16.88518,
6,17.06879,
4,17.15516,
2,17.17500,
6,17.17626,
4,17.19673,
6,17.22427,
8,17.35925,
4,17.37407,
4,17.45026,
6,17.47311,
4,17.47432,
6,17.47508,
10,17.56981,
6,17.62696,
4,17.64322,
4,17.65214,
6,17.77211,
6,17.84374,
,21.196,

#ignore,test#6.19
