g,LeveleV
1,0.0000000,
3,0.2097572,
5,0.4249773,
5,1.0678703,
1,2.1278787,
1,4.2949066,
3,4.32881927,
5,4.78937023,
3,4.86725425,
5,4.9129366,
3,5.24976571,
3,5.37702532,
5,5.38465048,
5,5.41596913,
1,5.4303944,
5,5.47320408,
3,5.5183726,
7,5.5267204,
3,5.7780997,
7,5.8281041,
5,5.8453198,
5,5.8564210,
7,5.8877239,
3,5.9271688,
9,5.964541,
5,5.9747726,
1,5.9780663,
3,5.9787857,
5,6.0342377,
3,6.0729858,
1,6.1255834,
1,6.135622,
7,6.1860457,
3,6.2148283,
3,6.2929683,
5,6.3245501,
3,6.3372116,
5,6.3430961,
5,6.3443946,
1,6.3697294,
3,6.3820517,
7,6.4167614,
7,6.4780283,
9,6.478705,
7,6.4798592,
5,6.4800804,
5,6.4987405,
3,6.5348143,
1,6.5612149,
3,6.5737602,
3,6.6446571,
5,6.6494965,
7,6.6736484,
3,6.7039265,
5,6.7213996,
3,6.7231210,
5,6.7241984,
1,6.7308730,
7,6.7762113,
5,6.7835859,
7,6.7897295,
7,6.7903332,
5,6.7906379,
9,6.7908499,
7,6.7980779,
3,6.8179445,
3,6.8282058,
1,6.8354386,
7,6.8365472,
3,6.8385631,
5,6.8423347,
5,6.8558615,
3,6.8654805,
9,6.8742557,
5,6.8812436,
1,6.896237,
3,6.9044788,
7,6.9110237,
3,6.9123605,
5,6.9189831,
5,6.9250907,
3,6.9253528,
5,6.9292719,
1,6.9560599,
7,6.9595862,
7,6.9598345,
5,6.9599260,
9,6.9599967,
3,6.9731662,
7,6.9800630,
1,6.9876132,
3,6.9914830,
7,6.9921987,
9,6.9927745,
7,7.0034167,
5,7.0036599,
11,7.010197,
5,7.0108275,
9,7.0112627,
3,7.0213174,
5,7.0215719,
3,7.0248430,
5,7.0398233,
7,7.047098,
7,7.0625947,
9,7.0628728,
7,7.0633457,
5,7.0634433,
3,7.078795,
1,7.079987,
5,7.080084,
3,7.080361,
5,7.0857189,
7,7.089628,
3,7.1022678,
5,7.113538,
9,7.128939,
7,7.129038,
5,7.129135,
7,7.131301,
5,7.133220,
3,7.136833,
5,7.163242,
7,7.172135,
5,7.173323,
3,7.178462,
3,7.183062,
5,7.198267,
5,7.203567,
7,7.203592,
3,7.208852,
3,7.231254,
5,7.239509,
1,7.248809,
9,7.2557917,
3,7.255995,
3,7.264785,
3,7.266451,
3,7.275282,
3,7.276639,
3,7.283929,
3,7.285111,
7,7.297979,
3,7.310541,
3,7.312941,
11,7.320002,
5,7.326375,
3,7.334534,
7,7.338561,
7,7.3436,
,7.343918,
5,7.3615,
3,7.3680,
1,7.4407,
3,7.4454,
7,7.4750,
3,7.4883,
11,7.488637,
7,7.4951,
5,7.5133,
3,7.5192,
1,7.5563,
3,7.5591,
3,7.5897,
7,7.5937,
5,7.6066,
3,7.6083,
5,7.6293,
1,7.6312,
3,7.6327,
5,7.6374,
7,7.6493,
3,7.6557,
7,7.6584,
3,7.6696,
5,7.6824,
1,7.6826,
3,7.6837,
5,7.6881,
7,7.6969,
3,7.7010,
7,7.7026,
3,7.7101,
1,7.7193,
5,7.7197,
3,7.7202,
5,7.7239,
7,7.7304,
3,7.7334,
7,7.734504,
3,7.7405,
5,7.7469,
3,7.7470,
3,7.7574,
3,7.7626,
5,7.7673,
3,7.7678,
3,7.7756,
3,7.7795,
5,7.7831,
3,7.7833,
3,7.7898,
3,7.7927,
5,7.7950,
3,7.7959,
3,7.801014,
5,7.8053,
3,7.8056,
3,7.810070,
5,7.8132,
3,7.8138,
3,7.817484,
5,7.8200,
3,7.8205,
3,7.823614,
3,7.8262,
3,7.8309,
3,7.8349,
3,7.8383,
3,7.8413,
3,7.8439,
3,7.8462,
3,7.8482,
,7.871035,
1,7.919,
5,8.033,
3,9.4113,
3,10.271,

#ignore,test#9.71
