g,LeveleV
1,0.00000,
1,21.875124,
3,22.031768,
5,22.343623,
9,22.704410,
7,22.950203,
5,23.255059,
5,23.886282,
7,23.942126,
3,24.103949,
5,24.336873,
3,24.452904,
5,24.640389,
7,24.786425,
1,25.054893,
3,25.211195,
3,27.499125,
5,27.934963,
7,28.000977,
3,28.205832,
5,28.335230,
3,28.356269,
1,28.793669,
3,29.105717,
5,29.339187,
3,29.366352,
1,29.880255,
1,33.283388,
5,33.309644,
3,33.346910,
3,33.399897,
9,33.452258,
5,33.477162,
7,33.517963,
5,33.620171,
7,33.689404,
3,34.109228,
1,34.514131,
3,34.555160,
5,34.690107,
3,34.693780,
3,34.724134,
5,34.731246,
5,34.737962,
7,34.780528,
11,34.797692,
9,34.815610,
7,34.829729,
5,34.843614,
7,34.896544,
5,34.941397,
7,34.949458,
3,34.953501,
9,34.958080,
5,35.003805,
1,35.203210,
3,35.260821,
3,36.032063,
7,36.046364,
7,36.058497,
9,36.070300,
5,36.105672,
3,36.111551,
5,36.126238,
1,36.263145,
5,37.075035,
1,37.101751,
3,37.108924,
3,37.140152,
9,37.173570,
5,37.191939,
7,37.201107,
5,37.246554,
7,37.272328,
3,37.495579,
3,37.626038,
5,37.661898,
11,37.703838,
9,37.716690,
7,37.725539,
7,37.786379,
5,37.786393,
9,37.792855,
5,37.936850,
7,37.937262,
13,37.946487,
11,37.946627,
9,37.966473,
7,37.966746,
9,37.977023,
11,37.977091,
1,38.277740,
3,38.294893,
5,38.387532,
5,38.398030,
7,38.425427,
3,38.551040,
7,38.891325,
7,38.932588,
9,38.942823,
5,38.949589,
9,39.163243,
11,39.163354,
9,39.163757,
7,39.164321,
3,39.22223,
3,39.236680,
5,39.272844,
11,39.300214,
9,39.308734,
7,39.317671,
7,39.350430,
5,39.352560,
9,39.354320,
5,39.451590,
7,39.452065,
13,39.457038,
11,39.457186,
9,39.469376,
7,39.469649,
7,39.471044,
9,39.471051,
13,39.473467,
15,39.473468,
9,39.475106,
11,39.475164,
9,39.480383,
11,39.480386,
11,39.483011,
13,39.483015,
11,40.262870,
9,40.268100,
3,40.36206,
13,40.367782,
11,40.367959,
15,40.378784,
9,40.378788,
11,40.378858,
7,40.520956,
9,40.527909,
9,40.669464,
11,40.669570,
9,40.669899,
7,40.670176,
11,40.683119,
13,40.683128,
9,40.683286,
11,40.683296,
11,40.885487,
,42.88353,

#ignore,test#1.0
