g,LeveleV
1,0.00000,
1,25.99342,
3,26.20655,
5,26.63664,
9,27.02336,
7,27.30462,
5,27.680195,
7,28.570150,
5,29.033835,
3,29.170929,
5,29.434724,
7,29.667427,
5,31.765931,
3,32.051934,
1,33.277384,
3,33.471183,
3,34.840864,
3,36.488908,
5,37.028014,
7,37.164018,
3,37.402559,
5,37.597284,
1,38.191438,
3,38.524583,
5,38.879703,
3,38.913829,
1,39.588623,
1,44.407565,
3,44.502618,
9,44.643269,
5,44.664840,
7,44.709704,
5,44.862741,
7,44.952800,
3,45.248269,
5,45.367584,
3,45.410366,
5,45.413004,
3,45.513626,
7,45.600617,
11,45.720668,
9,45.779973,
7,46.032268,
9,46.074136,
5,46.098859,
5,46.289823,
5,46.309344,
7,46.341837,
3,46.848806,
1,46.946183,
3,47.010753,
7,47.180545,
3,47.343199,
7,47.386919,
5,47.423093,
9,47.437021,
5,47.534009,
7,47.579529,
3,47.669735,
5,47.741808,
1,48.000036,
3,48.426440,
5,48.570858,
7,48.793100,
3,49.030045,
5,49.148333,
3,49.157964,
5,49.306444,
1,50.737776,
3,50.7849,
9,50.843715,
5,50.863224,
7,50.868517,
5,50.940072,
7,50.973859,
11,51.033913,
9,51.064449,
3,51.140382,
5,51.155842,
3,51.168828,
5,51.179187,
7,51.191539,
3,51.208768,
9,51.212511,
7,51.215518,
5,51.382719,
5,51.788730,
7,51.790724,
13,51.80862,
11,51.809431,
9,51.848646,
7,51.850042,
9,51.870396,
11,51.870786,
5,52.395803,
5,52.414806,
7,52.446447,
3,52.586101,
9,52.650993,
7,52.692436,
1,52.694175,
3,52.720462,
5,52.790420,
9,53.375913,
11,53.376472,
9,53.377201,
7,53.378669,
3,53.9571,
3,54.1558,
3,54.1799,
5,54.488940,
7,54.490982,
13,54.500280,
11,54.501063,
9,54.521279,
7,54.525814,
9,54.536569,
11,54.536917,
3,55.6036,
3,55.8038,
3,55.9216,
9,56.053415,
9,56.05526,
11,56.055882,
7,56.05758,
3,57.0331,
3,57.4070,
3,57.7991,
3,58.5369,
,60.6072,

#ignore,test#1.0
