,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
4,200.0496,6.195727,5426000.0,28.0,Ni,I,0.109083,2.0,6.304748,1.0,FMW,1.0,3.0
20,200.1834,6.191587,7343000.0,28.0,Ni,I,0.02539,3.0,6.216915,3.0,FMW,1.0,7.0
53,200.4268,6.184068,48850000.0,28.01,Ni,II,2.865062,2.5,9.049066999999999,1.5,K88,2.0,4.0
83,200.6993,6.175675,17370000.0,28.0,Ni,I,0.109083,2.0,6.284696,2.0,FMW,1.0,5.0
94,200.7679,6.173563,8982000.0,28.0,Ni,I,0.165166,3.0,6.338667,3.0,FMW,1.0,7.0
193,201.4231,6.153487,92610000.0,28.0,Ni,I,0.21239499999999997,1.0,6.365819999999999,2.0,FMW,1.0,5.0
224,201.6358,6.146997,5978000.0,28.0,Ni,I,0.109083,2.0,6.256018,1.0,K88,1.0,3.0
257,201.9031,6.138858,125200000.0,28.01,Ni,II,3.073345,1.5,9.212141,1.5,K88,2.0,4.0
264,201.9749,6.136675,3201000.0,28.01,Ni,II,3.073345,1.5,9.209959,0.5,K88,2.0,2.0
281,202.098,6.1329400000000005,88240000.0,28.01,Ni,II,3.079263,0.5,9.212141,1.5,K88,2.0,4.0
290,202.1292,6.131991,624200.0,28.0,Ni,I,0.165166,3.0,6.297095,4.0,K88,1.0,9.0
360,202.5389,6.119591000000001,23010000.0,28.0,Ni,I,0.165166,3.0,6.284696,2.0,FMW,1.0,5.0
378,202.6612,6.115899,24280000.0,28.0,Ni,I,0.0,4.0,6.115838,3.0,FMW,1.0,7.0
406,202.9097,6.108408,11890000.0,28.01,Ni,II,2.865062,2.5,8.973408000000001,1.5,K88,2.0,4.0
410,202.9204,6.108087,133700000.0,28.01,Ni,II,3.104115,2.5,9.212141,1.5,K88,2.0,4.0
412,202.9268,6.107893,2260000.0,28.0,Ni,I,0.109083,2.0,6.216915,3.0,FMW,1.0,7.0
445,203.2302,6.098778,29430000.0,28.01,Ni,II,2.95035,1.5,9.049066999999999,1.5,K88,2.0,4.0
466,203.3389,6.095517,2287000.0,28.01,Ni,II,1.156778,3.5,7.252234,2.5,FMW,2.0,6.0
468,203.3546,6.095046,3009000.0,28.0,Ni,I,0.109083,2.0,6.204068,2.0,FMW,1.0,5.0
478,203.4425,6.092414,26970000.0,28.0,Ni,I,0.21239499999999997,1.0,6.304748,1.0,K88,1.0,3.0
483,203.4875,6.091068,15340000.0,28.0,Ni,I,0.27481300000000003,2.0,6.365819999999999,2.0,K88,1.0,5.0
486,203.5061,6.090509,37810000.0,28.0,Ni,I,0.02539,3.0,6.115838,3.0,K88,1.0,7.0
490,203.5381,6.089551,23310000.0,28.01,Ni,II,3.073345,1.5,9.162835000000001,0.5,K88,2.0,2.0
510,203.7362,6.083633,3721000.0,28.01,Ni,II,3.079263,0.5,9.162835000000001,0.5,K88,2.0,2.0
565,204.0979,6.072851,2613000.0,28.0,Ni,I,0.02539,3.0,6.098180999999999,2.0,K88,1.0,5.0
569,204.1144,6.072362,3200000.0,28.0,Ni,I,0.21239499999999997,1.0,6.284696,2.0,FMW,1.0,5.0
602,204.3988,6.063915,999500.0,28.0,Ni,I,0.27481300000000003,2.0,6.338667,3.0,K88,1.0,7.0
625,204.7357,6.053937,18300000.0,28.0,Ni,I,0.02539,3.0,6.0792660000000005,2.0,FMW,1.0,5.0
666,205.0831,6.043684,7636000.0,28.0,Ni,I,0.21239499999999997,1.0,6.256018,1.0,FMW,1.0,3.0
683,205.209,6.039976,9665000.0,28.0,Ni,I,0.0,4.0,6.039915000000001,4.0,FMW,1.0,9.0
690,205.2434,6.038962000000001,3165000.0,28.0,Ni,I,0.165166,3.0,6.204068,2.0,FMW,1.0,5.0
699,205.3293,6.036436,2488000.0,28.01,Ni,II,1.0407110000000002,4.5,7.077086,3.5,FMW,2.0,8.0
703,205.3916,6.034607,747500.0,28.0,Ni,I,0.0,4.0,6.034546,3.0,FMW,1.0,7.0
708,205.431,6.033448,13880000.0,28.01,Ni,II,2.865062,2.5,8.898449000000001,2.5,K88,2.0,6.0
723,205.5487,6.0299949999999995,33180000.0,28.0,Ni,I,0.27481300000000003,2.0,6.304748,1.0,FMW,1.0,3.0
738,205.7366,6.024488,3461000.0,28.01,Ni,II,1.254182,2.5,7.2786100000000005,1.5,K88,2.0,4.0
742,205.7834,6.023118,3673000.0,28.01,Ni,II,2.95035,1.5,8.973408000000001,1.5,K88,2.0,4.0
765,205.99,6.017078,21240000.0,28.0,Ni,I,0.02539,3.0,6.042408,2.0,FMW,1.0,5.0
769,206.0194,6.016221,22850000.0,28.0,Ni,I,0.109083,2.0,6.125243,1.0,FMW,1.0,3.0
772,206.0754,6.014585,192100000.0,28.0,Ni,I,0.02539,3.0,6.039915000000001,4.0,K88,1.0,9.0
785,206.2346,6.009943,4636000.0,28.0,Ni,I,0.27481300000000003,2.0,6.284696,2.0,FMW,1.0,5.0
786,206.2595,6.009216,9952000.0,28.0,Ni,I,0.02539,3.0,6.034546,3.0,K88,1.0,7.0
796,206.342,6.0068150000000005,5007000.0,28.0,Ni,I,0.109083,2.0,6.115838,3.0,FMW,1.0,7.0
807,206.437,6.0040510000000005,40200000.0,28.0,Ni,I,0.21239499999999997,1.0,6.216385,0.0,FMW,1.0,1.0
