element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Co	3	"200.0066"	"0.0003"	"200.00637"	"0.00003"	"160"	"3.6e+06"	D+	"9.4873214"	"15.6843259"	"3d6.(3G).4s"	"a 4G"	"11/2"	"3d6.(3H).4p"	"z 4H*"	"11/2"	12	12		"u37"	"L19543c139"	
Co	2	"200.07929"	"0.00003"	"200.079283"	"0.000013"	"1500"	"2.4e+06"	D+	"0.11782516"	"6.31257177"	"3d8"	"a 3F"	"3"	"3d7.(4F).4p"	"z 3F*"	"2"	7	5		"T6854"	"L9429c118"	
Co	3	"200.10846"	"0.00004"	"200.10842"	"0.00003"	"3800"	"6.0e+07"	C	"9.4873214"	"15.6811662"	"3d6.(3G).4s"	"a 4G"	"11/2"	"3d6.(3H).4p"	"z 4H*"	"13/2"	12	14		"u37"	"L19543c139"	
Co	3	"200.1941"	"0.0010"	"200.19516"	"0.00004"	"310"	"4.8e+06"	D+	"9.5944297"	"15.7855913"	"3d6.(3G).4s"	"a 4G"	"7/2"	"3d6.(3H).4p"	"z 2G*"	"7/2"	8	8		"u37"	"L6156c164"	
Co	3	"200.2160"	"0.0005"	"200.21654"	"0.00004"	"80"	"2.4e+06"	D+	"9.5619738"	"15.7524744"	"3d6.(3G).4s"	"a 4G"	"9/2"	"3d6.(3H).4p"	"z 2G*"	"9/2"	10	10		"u37"	"L19543c140"	
Co	2	"200.275"	""	"200.275443"	"0.000013"	"1000:"	"3.6e+06"	D+	"0.19802719"	"6.38670726"	"3d8"	"a 3F"	"2"	"3d7.(4F).4p"	"z 3D*"	"3"	5	7		"T6135"	"L18302"	
Co	3	"200.2790"	"0.0005"	"200.27976"	"0.00005"	"82"	"5.4e+06"	D+	"10.2119090"	"16.4004557"	"3d6.(3G).4s"	"b 2G"	"9/2"	"3d6.(3G).4p"	"x 4F*"	"7/2"	10	8		"u37"	"L19543c140"	
Co	3	"200.3890"	"0.0003"	"200.38882"	"0.00009"	"470"	"1.7e+07"	D+	"10.6029738"	"16.7881529"	"3d6.(1I).4s"	"a 2I"	"11/2"	"3d6.(3G).4p"	"z 2H*"	"9/2"	12	10		"u37"	"L19543c139"	
Co	3	"200.4272"	"0.0003"	"200.42811"	"0.00005"	"270"	"7.3e+06"	D+	"9.5619738"	"15.7459406"	"3d6.(3G).4s"	"a 4G"	"9/2"	"3d6.(3F2).4p"	"y 4F*"	"9/2"	10	10		"u37"	"L19543c139"	
Co	3	"200.5528"	"0.0010"	"200.55363"	"0.00005"	"340"	"2.8e+07"	D+	"9.6054941"	"15.7855913"	"3d6.(3G).4s"	"a 4G"	"5/2"	"3d6.(3H).4p"	"z 2G*"	"7/2"	6	8		"u37"	"L6156c164"	
