element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
F	5	""	""	"200.777"	""	"2.20e+08"	B	"97.29893"	"103.47214"	"2p2.(3P).3s"	"4P"	"5/2"	"2p2.(3P).3p"	"4S*"	"3/2"	6	4		"T7192c91,LS"	""	
F	5	""	""	"202.78"	""	"1.04e+07"	B	"92.2455"	"98.3577"	"2s2.4d"	"2D"	"3/2"	"2s.2p.(1P*).3d"	"2P*"	"3/2"	4	4		"T7192c91,LS"	""	
F	5	""	""	"202.78"	""	"1.04e+08"	B	"92.2455"	"98.3577"	"2s2.4d"	"2D"	"3/2"	"2s.2p.(1P*).3d"	"2P*"	"1/2"	4	2		"T7192c91,LS"	""	
F	5	""	""	"202.89"	""	"9.4e+07"	B	"92.2487"	"98.3577"	"2s2.4d"	"2D"	"5/2"	"2s.2p.(1P*).3d"	"2P*"	"3/2"	6	4		"T7192c91,LS"	""	
F	5	""	""	"204.22"	""	"1.22e+08"	B	"79.2080"	"85.2771"	"2s.2p.(3P*).3s"	"2P*"	"1/2"	"2s.2p.(3P*).3p"	"2S"	"1/2"	2	2		"T7192c91,LS"	""	
F	5	""	""	"206.37"	""	"2.36e+08"	B	"79.2712"	"85.2771"	"2s.2p.(3P*).3s"	"2P*"	"3/2"	"2s.2p.(3P*).3p"	"2S"	"1/2"	4	2		"T7192c91,LS"	""	
F	6	""	""	"206.71"	""	"4.9e+08"	B	"109.8857"	"115.882"	"1s2.2p.3s"	"1P*"	"1"	"1s2.2p.3p"	"1S"	"0"	3	1		"T5633c91"	""	
F	5	""	""	"210.07"	""	"5.1e+07"	B	"88.3704"	"94.2704"	"2s.2p.(1P*).3s"	"2P*"	"1/2"	"2s.2p.(1P*).3p"	"2S"	"1/2"	2	2		"T7192c91,LS"	""	
F	5	""	""	"210.07"	""	"1.01e+08"	B	"88.3704"	"94.2704"	"2s.2p.(1P*).3s"	"2P*"	"3/2"	"2s.2p.(1P*).3p"	"2S"	"1/2"	4	2		"T7192c91,LS"	""	
F	8	""	""	"213.61"	""	"2.91e+07"	AA	"731.8911"	"737.6936"	"1s.2s"	"1S"	"0"	"1s.2p"	"1P*"	"1"	1	3		"T5997"	""	
F	7	""	""	"220.41"	""	"5.50e+07"	A	"171.1943"	"176.818"	"1s2.7s"	"2S"	"1/2"	"1s2.9p"	"2P*"	"1/2"	2	2		"T7495"	""	
F	7	""	""	"220.41"	""	"5.46e+07"	A	"171.1943"	"176.818"	"1s2.7s"	"2S"	"1/2"	"1s2.9p"	"2P*"	"3/2"	2	4		"T7495"	""	
F	5	""	""	"220.803"	""	"1.41e+07"	B	"81.54996"	"87.16337"	"2s.2p.(3P*).3p"	"4D"	"1/2"	"2s.2p.(3P*).3d"	"4P*"	"1/2"	2	2		"T7192c91,LS"	""	
F	5	""	""	"221.513"	""	"1.40e+07"	B	"81.56796"	"87.16337"	"2s.2p.(3P*).3p"	"4D"	"3/2"	"2s.2p.(3P*).3d"	"4P*"	"1/2"	4	2		"T7192c91,LS"	""	
F	5	""	""	"221.556"	""	"1.40e+06"	B	"81.54996"	"87.14428"	"2s.2p.(3P*).3p"	"4D"	"1/2"	"2s.2p.(3P*).3d"	"4P*"	"3/2"	2	4		"T7192c91,LS"	""	
F	5	""	""	"221.652"	""	"4.1e+07"	B	"76.98111"	"82.57301"	"2s.2p.(3P*).3s"	"4P*"	"1/2"	"2s.2p.(3P*).3p"	"4S"	"3/2"	2	4		"T7192c91,LS"	""	
F	5	""	""	"222.272"	""	"8.9e+06"	B	"81.56796"	"87.14428"	"2s.2p.(3P*).3p"	"4D"	"3/2"	"2s.2p.(3P*).3d"	"4P*"	"3/2"	4	4		"T7192c91,LS"	""	
F	5	""	""	"222.920"	""	"8.1e+07"	B	"77.01291"	"82.57301"	"2s.2p.(3P*).3s"	"4P*"	"3/2"	"2s.2p.(3P*).3p"	"4S"	"3/2"	4	4		"T7192c91,LS"	""	
F	5	""	""	"223.275"	""	"5.5e+05"	B	"81.56796"	"87.11923"	"2s.2p.(3P*).3p"	"4D"	"3/2"	"2s.2p.(3P*).3d"	"4P*"	"5/2"	4	6		"T7192c91,LS"	""	
F	5	""	""	"223.543"	""	"1.72e+07"	B	"81.59967"	"87.14428"	"2s.2p.(3P*).3p"	"4D"	"5/2"	"2s.2p.(3P*).3d"	"4P*"	"3/2"	6	4		"T7192c91,LS"	""	
F	5	""	""	"224.45"	""	"8.2e+07"	B	"98.8227"	"104.3449"	"2p2.(3P).3s"	"2P"	"1/2"	"2s.2p.(3P*).4d"	"2D*"	"3/2"	2	4		"T7192c91,LS"	""	
F	5	""	""	"224.557"	""	"4.8e+06"	B	"81.59967"	"87.11923"	"2s.2p.(3P*).3p"	"4D"	"5/2"	"2s.2p.(3P*).3d"	"4P*"	"5/2"	6	6		"T7192c91,LS"	""	
F	5	""	""	"225.271"	""	"1.17e+08"	B	"77.07093"	"82.57301"	"2s.2p.(3P*).3s"	"4P*"	"5/2"	"2s.2p.(3P*).3p"	"4S"	"3/2"	6	4		"T7192c91,LS"	""	
F	7	""	""	"225.35"	""	"1.26e+08"	A	"171.4525"	"176.953"	"1s2.7p"	"2P*"	"3/2"	"1s2.9d"	"2D"	"5/2"	4	6		"T7495"	""	
F	7	""	""	"225.35"	""	"1.04e+08"	A	"171.4525"	"176.953"	"1s2.7p"	"2P*"	"1/2"	"1s2.9d"	"2D"	"3/2"	2	4		"T7495"	""	
F	7	""	""	"225.35"	""	"2.10e+07"	A	"171.4525"	"176.953"	"1s2.7p"	"2P*"	"3/2"	"1s2.9d"	"2D"	"3/2"	4	4		"T7495"	""	
F	6	""	""	"225.55"	""	"5.9e+07"	B	"108.0444"	"113.540"	"1s2.2p.3s"	"3P*"	"1"	"1s2.2p.3p"	"3P"	"2"	3	5		"T5633c91,LS"	""	
F	6	""	""	"225.85"	""	"7.9e+07"	B	"108.008"	"113.4955"	"1s2.2p.3s"	"3P*"	"0"	"1s2.2p.3p"	"3P"	"1"	1	3		"T5633c91,LS"	""	
F	5	""	""	"226.30"	""	"9.6e+07"	B	"98.8798"	"104.3569"	"2p2.(3P).3s"	"2P"	"3/2"	"2s.2p.(3P*).4d"	"2D*"	"5/2"	4	6		"T7192c91,LS"	""	
F	5	""	""	"226.600"	""	"2.09e+07"	B	"81.64942"	"87.11923"	"2s.2p.(3P*).3p"	"4D"	"7/2"	"2s.2p.(3P*).3d"	"4P*"	"5/2"	8	6		"T7192c91,LS"	""	
F	5	""	""	"226.80"	""	"1.59e+07"	B	"98.8798"	"104.3449"	"2p2.(3P).3s"	"2P"	"3/2"	"2s.2p.(3P*).4d"	"2D*"	"3/2"	4	4		"T7192c91,LS"	""	
F	6	""	""	"227.38"	""	"5.8e+07"	B	"108.0444"	"113.4955"	"1s2.2p.3s"	"3P*"	"1"	"1s2.2p.3p"	"3P"	"1"	3	3		"T5633c91,LS"	""	
F	5	""	""	"227.74"	""	"2.05e+07"	B	"100.5605"	"106.0029"	"2p2.(1D).3s"	"2D"	"5/2"	"2p2.(1D).3p"	"2D*"	"3/2"	6	4		"T7192c91,LS"	""	
