element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Lu	2	"219.554"	"219.5556+"	"1700w"	"7.14e+07"		"0.000000"	"5.645289"	"6s2"	"1S"	"0"	"5d.6p"	"3D*"	"1"	1	3		"T7227"	"L3475"	
Lu	2	"261.542"	"261.5412+"	"18000"	"4.53e+08"		"0.000000"	"4.739109"	"6s2"	"1S"	"0"	"6s.6p"	"1P*"	"1"	1	3		"T7227"	"L3475"	
Lu	1	"272.895"	"272.8944+"	"480h"	"2.32e+07"	B	"0.000000"	"4.541958"	"5d.6s2"	"2D"	"3/2"	"6s2.5f"	"2F*"	"5/2"	4	6		"T7218"	"L3475"	
Lu	2	"275.417"	"275.4168+"	"3600"	"9.2e+07"		"1.541783"	"6.042145"	"5d.6s"	"3D"	"2"	"5d.6p"	"3D*"	"3"	5	7		"T7101"	"L3475"	
Lu	1	"288.514"	"288.5140+"	"570h"	"2.31e+07"	B	"0.247215"	"4.543292"	"5d.6s2"	"2D"	"5/2"	"6s2.5f"	"2F*"	"7/2"	6	8		"T7218"	"L3475"	
Lu	2	"289.484"	"289.4839+"	"6300"	"1.66e+08"		"1.760462"	"6.042145"	"5d.6s"	"3D"	"3"	"5d.6p"	"3D*"	"3"	7	7		"T7101"	"L3475"	
Lu	1	"290.305"	"290.3046+"	"300"	"7.9e+06"	B+	"0.000000"	"4.269581"	"5d.6s2"	"2D"	"3/2"	"5d.6s.(3D).6p"	"2P*"	"3/2"	4	4		"T7218"	"L3475"	
Lu	2	"291.139"	"291.1394+"	"9000"	"2.42e+08"		"1.760462"	"6.017800"	"5d.6s"	"3D"	"3"	"5d.6p"	"3F*"	"4"	7	9		"T7101"	"L3475"	
Lu	1	"298.927"	"298.9281+"	"1800"	"1.28e+08"	B+	"0.000000"	"4.146416"	"5d.6s2"	"2D"	"3/2"	"5d.6s.(1D).6p"	"2P*"	"1/2"	4	2		"T7218"	"L3475"	
Lu	2	"307.760"	"307.7605+"	"7500"	"1.24e+08"		"1.541783"	"5.569207"	"5d.6s"	"3D"	"2"	"5d.6p"	"3F*"	"3"	5	7		"T7101"	"L3475"	
Lu	1	"308.011"	"308.0133+"	"390"	"7.2e+06"	B	"0.000000"	"4.024118"	"5d.6s2"	"2D"	"3/2"	"5d.6s.(1D).6p"	"2D*"	"5/2"	4	6		"T7218"	"L3475"	
Lu	1	"308.147"	"308.1475+"	"5100h"	"2.62e+08"	B+	"0.247215"	"4.269581"	"5d.6s2"	"2D"	"5/2"	"5d.6s.(3D).6p"	"2P*"	"3/2"	6	4		"T7218"	"L3475"	
Lu	1	"311.843"	"311.8432+"	"3000"	"2.03e+08"	B+	"0.000000"	"3.974698"	"5d.6s2"	"2D"	"3/2"	"5d.6s.(3D).6p"	"2P*"	"1/2"	4	2		"T7218"	"L3475"	
