element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Si	3	""	"200.1072"	""	"1.91e+07"	D	"24.693201"	"30.887085"	"3p.3d"	"3F*"	"4"	"3s.7d"	"3D"	"3"	9	7		"T6298c4,LS"	""	
Si	2	""	"200.416"	""	"4.76e+06"	D	"9.505292"	"15.68963"	"3s.3p2"	"2S"	"1/2"	"3s2.10p"	"2P*"	"1/2"	2	2		"T6868"	""	
Si	2	""	"200.495"	""	"4.75e+06"	D	"9.505292"	"15.68720"	"3s.3p2"	"2S"	"1/2"	"3s2.10p"	"2P*"	"3/2"	2	4		"T6868"	""	
Si	3	""	"200.914"	""	"3.60e+07"	D+	"25.395443"	"31.56447"	"3s.4f"	"1F*"	"3"	"3s.8g"	"1G"	"4"	7	9		"T6298c4"	""	
Si	3	""	"200.9899"	""	"2.61e+07"	D	"25.420367"	"31.587051"	"3p.3d"	"1D*"	"2"	"3s.8d"	"1D"	"2"	5	5		"T6298c4"	""	
Si	2	""	"201.492"	""	"3.31e+07"	D+	"9.505292"	"15.65660"	"3s.3p2"	"2S"	"1/2"	"3s.3p.(3P*).3d"	"2P*"	"1/2"	2	2		"T6868"	""	
Si	2	""	"201.666"	""	"3.39e+07"	C	"9.505292"	"15.65132"	"3s.3p2"	"2S"	"1/2"	"3s.3p.(3P*).3d"	"2P*"	"3/2"	2	4		"T6868"	""	
Si	6	""	"204.80"	""	"2.13e+04"	D	"140.6081"	"146.6602"	"2s2.2p4.(1D).3p"	"2D*"	"3/2"	"2s2.2p4.(3P).3d"	"4D"	"1/2"	4	2		"c44"	""	
Si	3	""	"204.9903"	""	"2.49e+07"	D+	"20.552241"	"26.598599"	"3s.3d"	"1D"	"2"	"3s.5p"	"1P*"	"1"	5	3		"T6298c4"	""	
Si	10	""	"205.15"	""	"1.10e+06"	C	"261.080?"	"267.121"	"2s.2p.(3P*).3p"	"2D"	"3/2"	"2s.2p.(3P*).3d"	"2D*"	"5/2"	4	6		"T7192c4,LS"	""	
Si	1	""	"205.8133"	""	"7.08e+07"	C	"0.7809579"	"6.8031408"	"3s2.3p2"	"1D"	"2"	"3s2.3p.5s"	"1P*"	"1"	5	3		"T5071"	""	
Si	2	""	"206.2207"	""	"4.60e+06"	D	"8.121023"	"14.131312"	"3s2.4s"	"2S"	"1/2"	"3s2.6p"	"2P*"	"3/2"	2	4		"T6868"	""	
Si	2	""	"206.2830"	""	"4.59e+06"	D	"8.121023"	"14.129497"	"3s2.4s"	"2S"	"1/2"	"3s2.6p"	"2P*"	"1/2"	2	2		"T6868"	""	
Si	2	"207.202"	"207.2015"	"200"	"9.6e+07"	D	"6.857485"	"12.839327"	"3s.3p2"	"2D"	"3/2"	"3s2.4f"	"2F*"	"5/2"	4	6		"T6527c4,LS"	"L3541"	
Si	2	""	"207.2695"	""	"6.8e+06"	E	"6.859448"	"12.839327"	"3s.3p2"	"2D"	"5/2"	"3s2.4f"	"2F*"	"5/2"	6	6		"T6527c4,LS"	""	
Si	2	"207.270"	"207.2700"	"200"	"1.0e+08"	D	"6.859448"	"12.839311"	"3s.3p2"	"2D"	"5/2"	"3s2.4f"	"2F*"	"7/2"	6	8		"T6527c4,LS"	"L3541"	
Si	6	""	"207.27"	""	"1.42e+04"	D	"140.6081"	"146.5879"	"2s2.2p4.(1D).3p"	"2D*"	"3/2"	"2s2.2p4.(3P).3d"	"4D"	"3/2"	4	4		"c44"	""	
Si	1	""	"207.2764"	""	"4.59e+05"	E	"0.7809579"	"6.7606376"	"3s2.3p2"	"1D"	"2"	"3s2.3p.5s"	"3P*"	"2"	5	5		"T5071"	""	
Si	3	""	"207.5028"	""	"5.95e+07"	D+	"24.994933"	"30.968089"	"3s.4d"	"3D"	"1"	"3s.7f"	"3F*"	"2"	3	5		"T6298c4,LS"	""	
Si	3	""	"207.5042"	""	"6.30e+07"	C	"24.995001"	"30.968116"	"3s.4d"	"3D"	"2"	"3s.7f"	"3F*"	"3"	5	7		"T6298c4,LS"	""	
Si	3	""	"207.5052"	""	"1.11e+07"	D	"24.995001"	"30.968089"	"3s.4d"	"3D"	"2"	"3s.7f"	"3F*"	"2"	5	5		"T6298c4,LS"	""	
Si	3	""	"207.5082"	""	"7.09e+07"	C	"24.995150"	"30.968151"	"3s.4d"	"3D"	"3"	"3s.7f"	"3F*"	"4"	7	9		"T6298c4,LS"	""	
Si	3	""	"207.5094"	""	"7.90e+06"	D	"24.995150"	"30.968116"	"3s.4d"	"3D"	"3"	"3s.7f"	"3F*"	"3"	7	7		"T6298c4,LS"	""	
Si	3	""	"207.5104"	""	"3.12e+05"	E	"24.995150"	"30.968089"	"3s.4d"	"3D"	"3"	"3s.7f"	"3F*"	"2"	7	5		"T6298c4,LS"	""	
Si	6	""	"207.70"	""	"7.30e+06"	B	"129.1191"	"135.0866"	"2s2.2p4.(1D).3s"	"2D"	"5/2"	"2s2.2p4.(3P).3p"	"2D*"	"3/2"	6	4		"c44"	""	
Si	11	""	"207.83"	""	"5.73e+06"	C	"311.216"	"317.180"	"1s2.2p.3p"	"3P"	"1"	"1s2.2p.3d"	"3P*"	"1"	3	3		"T5633c4,LS"	""	
Si	6	""	"207.94"	""	"2.63e+06"	B	"129.1261"	"135.0866"	"2s2.2p4.(1D).3s"	"2D"	"3/2"	"2s2.2p4.(3P).3p"	"2D*"	"3/2"	4	4		"c44"	""	
Si	1	""	"208.2021"	""	"6.45e+06"	D	"0.7809579"	"6.7340552"	"3s2.3p2"	"1D"	"2"	"3s2.3p.5s"	"3P*"	"1"	5	3		"T5071"	""	
Si	1	""	"208.4462"	""	"2.73e+06"	D+	"0.7809579"	"6.7270828"	"3s2.3p2"	"1D"	"2"	"3s2.3p.3d"	"3D*"	"3"	5	7		"T8363c22,T5071"	""	
Si	10	""	"208.48"	""	"1.41e+07"	B	"261.080?"	"267.02"	"2s.2p.(3P*).3p"	"2D"	"3/2"	"2s.2p.(3P*).3d"	"2D*"	"3/2"	4	4		"T7192c4,LS"	""	
Si	1	""	"208.6747"	""	"3.26e+04"	E	"0.7809579"	"6.7205746"	"3s2.3p2"	"1D"	"2"	"3s2.3p.3d"	"3D*"	"2"	5	5		"T8363c22,T5071"	""	
Si	1	""	"208.7611"	""	"5.46e+05"	E	"0.7809579"	"6.7181165"	"3s2.3p2"	"1D"	"2"	"3s2.3p.3d"	"3D*"	"1"	5	3		"T8363c22,T5071"	""	
Si	6	""	"209.07"	""	"1.58e+04"	D	"140.6596"	"146.5879"	"2s2.2p4.(1D).3p"	"2D*"	"5/2"	"2s2.2p4.(3P).3d"	"4D"	"3/2"	6	4		"c44"	""	
Si	6	""	"210.16"	""	"1.56e+01"	E	"140.6081"	"146.5058"	"2s2.2p4.(1D).3p"	"2D*"	"3/2"	"2s2.2p4.(3P).3d"	"4D"	"5/2"	4	6		"c44"	""	
Si	6	""	"212.01"	""	"1.99e+04"	D	"140.6596"	"146.5058"	"2s2.2p4.(1D).3p"	"2D*"	"5/2"	"2s2.2p4.(3P).3d"	"4D"	"5/2"	6	6		"c44"	""	
