g,LeveleV
1,0.000000,
3,198.564675,
1,202.8022,
3,202.950917,
1,202.952926,
5,202.957446,
3,205.5623,
3,233.4300,
1,234.5498,
1,234.6058,
3,234.6058,
5,234.6058,
3,235.1586,
5,235.1586,
7,235.1586,
5,235.1767,
3,235.3490,
3,245.04661,
1,245.4991,
1,245.52445,
3,245.52445,
5,245.52445,
3,245.75370,
5,245.75370,
7,245.75370,
5,245.7633,
5,245.7653,
7,245.7653,
9,245.7653,
7,245.76551,
3,245.8328,
3,250.30084,
1,250.5273,
1,250.54090,
3,250.54090,
5,250.54090,
3,250.65718,
5,250.65718,
7,250.65718,
5,250.6622,
5,250.66370,
7,250.66370,
9,250.66370,
7,250.66379,
7,250.66420,
9,250.66420,
11,250.66420,
9,250.66420,
3,250.6972,
3,253.11633,
1,253.2458,
9,253.25361,
15,253.32039,
5,253.3234,
5,253.32448,
7,253.32448,
9,253.32448,
7,253.32451,
27,253.32479,
33,253.32511,
3,253.3439,
3,254.7985,
1,254.8793,
9,254.88374,
15,254.9259,
5,254.9282,
21,254.92863,
27,254.92884,
33,254.92935,
3,254.9409,
3,255.8831,
1,255.9369,
9,255.9403,
15,255.9683,
5,255.9692,
21,255.96980,
27,255.97020,
33,255.97056,
39,255.97078,
3,255.9781,
3,256.6230,
1,256.6606,
9,256.6629,
15,256.6827,
21,256.68321,
27,256.68349,
5,256.6836,
33,256.68399,
3,256.6896,
,259.3715,
1,445.76,
9,446.842,
9,450.753,
5,452.592,
3,453.34,
1,459.75,
3,486.32,
9,486.97,
1,487.12,
15,487.30,
9,488.84,
5,489.43,
15,489.71,
3,490.20,
5,491.3,
7,491.85,
3,492.3,
1,492.3,

#ignore,test#1.0
