g,LeveleV
1,0.0000000,
3,1.1200690,
5,1.1425765,
7,1.1898185,
5,1.4128433,
1,1.5207932,
3,1.5667416,
5,1.6756148,
3,2.2391870,
5,2.5954895,
7,2.6346884,
9,2.6810062,
5,2.7356673,
7,2.8451178,
5,2.8593299,
5,2.8608594,
1,2.8775552,
3,2.9111460,
9,2.9454987,
5,2.9655675,
3,2.9994298,
5,3.0415200,
7,3.0971047,
1,3.1792184,
3,3.1869035,
5,3.2181982,
3,3.2434630,
1,3.31748,
7,3.3247932,
1,3.5001026,
3,3.5402722,
5,3.7488886,
3,3.8057715,
1,3.8117070,
5,3.8125974,
3,3.8206366,
7,3.8209593,
5,3.8419281,
3,4.0353178,
3,4.0673226,
5,4.0845074,
7,4.1567688,
5,4.1901713,
3,4.2037286,
1,4.2614611,
1,4.2766990,
5,4.2901961,
7,4.2919167,
9,4.2936694,
7,4.3067614,
3,4.3175521,
5,4.3821487,
5,4.4159389,
1,4.41985,
3,4.422392,
3,4.4273876,
5,4.4333,
5,4.4339461,
7,4.4368084,
3,4.4500985,
7,4.4503378,
3,4.4552241,
7,4.4839272,
5,4.4882791,
9,4.5067216,
3,4.5187988,
3,4.5248941,
7,4.5268127,
7,4.5414238,
11,4.5672890,
3,4.5753480,
1,4.5760435,
3,4.5861731,
5,4.5952824,
5,4.5970213,
5,4.5984244,
3,4.5992541,
9,4.6037857,
1,4.616452,
7,4.6223943,
5,4.6363727,
7,4.6393548,
5,4.6413703,
7,4.6498894,
9,4.6524014,
7,4.6543896,
1,4.67120,
9,4.6781875,
7,4.6791307,
3,4.683538,
5,4.6912279,
3,4.703572,
3,4.7066767,
5,4.7081990,
7,4.7099655,
3,4.7142585,
9,4.7333440,
5,4.7445797,
3,4.7733743,
5,4.7803629,
1,4.79370,
5,4.8125335,
7,4.8129895,
9,4.8137165,
7,4.8209895,
1,4.82596,
3,4.855247,
7,4.8584076,
3,4.874061,
5,4.8769188,
3,4.882846,
5,4.893034,
1,4.918683,
5,4.9194668,
7,4.9197831,
9,4.9200806,
7,4.9228057,
3,4.946161,
3,4.948997,
5,4.949718,
5,4.950787,
3,4.957154,
5,4.959163,
7,4.977549,
5,4.987109,
1,4.988349,
9,4.996567,
11,4.996567,
9,4.996567,
7,4.996567,
3,5.008416,
5,5.009789,
3,5.009880,
5,5.010649,
7,5.011864,
3,5.012517,
5,5.019325,
3,5.029916,
5,5.035478,
1,5.036015,
3,5.041552,
7,5.041687,
9,5.041887,
11,5.041887,
9,5.041887,
3,5.044224,
7,5.045983,
3,5.050126,
3,5.050721,
5,5.051334,
3,5.05144,
5,5.052109,
7,5.052133,
3,5.054244,
5,5.056253,
7,5.066901,
3,5.06720,
1,5.069909,
3,5.070180,
5,5.070351,
5,5.071663,
9,5.074104,
9,5.074273,
11,5.074273,
7,5.074273,
3,5.080085,
9,5.080166,
3,5.081168,
5,5.081227,
7,5.081768,
5,5.081774,
3,5.082265,
5,5.084309,
3,5.085779,
3,5.093550,
1,5.093757,
1,5.094883,
3,5.095403,
5,5.09584,
9,5.098134,
11,5.098134,
7,5.098134,
9,5.098229,
3,5.103169,
5,5.103456,
5,5.103491,
3,5.103564,
5,5.103761,
7,5.103775,
3,5.106116,
5,5.108737,
3,5.112594,
1,5.113753,
5,5.11450,
9,5.116389,
11,5.116389,
9,5.116389,
7,5.116389,
1,5.120043,
3,5.120170,
5,5.120464,
3,5.120495,
5,5.120597,
7,5.120649,
3,5.121524,
5,5.122468,
3,5.127520,
1,5.128273,
7,5.130461,
9,5.130511,
11,5.130511,
9,5.130511,
3,5.133491,
7,5.133686,
3,5.133754,
5,5.133755,
5,5.133830,
3,5.134315,
5,5.135125,
1,5.138056,
3,5.139301,
7,5.140308,
1,5.141352,
9,5.141698,
11,5.141698,
9,5.141698,
7,5.141744,
3,5.144116,
3,5.144298,
5,5.144328,
5,5.144380,
3,5.144649,
7,5.144801,
5,5.145344,
3,5.148710,
1,5.149715,
11,5.150265,
9,5.150770,
9,5.150770,
7,5.150770,
11,5.151579,
3,5.152661,
3,5.152715,
5,5.152886,
5,5.152923,
3,5.153061,
7,5.153102,
5,5.153662,
