g,LeveleV
9,0.00000000,
7,0.11782516,
5,0.19802719,
11,0.41540831,
9,0.49953085,
7,0.56546577,
5,0.61372947,
3,0.64530031,
9,1.21663958,
7,1.32766384,
5,1.40373174,
5,1.44457424,
5,1.64411577,
3,1.66192399,
1,1.6853529,
7,2.20338605,
5,2.23561202,
3,2.27370158,
9,2.35244233,
11,2.68109977,
9,2.72881087,
7,2.77903526,
5,2.98484767,
3,3.00877191,
1,3.02663766,
5,3.08552036,
9,3.11785953,
3,3.13897205,
1,3.20639528,
13,3.36068394,
11,3.40572046,
7,3.40762796,
3,3.42012122,
9,3.45942707,
5,3.48542792,
3,3.62886586,
11,3.78984644,
5,3.86823409,
9,5.0455404,
5,5.0549694,
7,5.0684203,
9,5.0892165,
7,5.1223018,
5,5.174871,
3,5.208406,
1,5.224,
1,5.33,
7,5.466559,
11,5.60380197,
9,5.62624844,
7,5.69980603,
9,5.74305123,
5,5.75940077,
3,5.80077542,
7,5.83210573,
13,5.83698934,
11,5.87013664,
5,5.89388210,
9,5.92737370,
3,5.93249276,
1,5.95069525,
7,5.96995570,
5,5.99940219,
11,6.02018319,
9,6.11840992,
9,6.16172739,
7,6.20371650,
7,6.24653767,
5,6.31257177,
7,6.38670726,
5,6.47566059,
3,6.53206212,
5,6.94441385,
3,7.484,
5,7.507,
7,7.547,
7,7.59288480,
5,7.5953115,
3,7.6064638,
9,7.61117297,
1,7.6198362,
3,7.74158302,
11,7.84902872,
7,7.85369635,
5,7.85654799,
9,7.87425876,
7,7.88378161,
13,7.88507217,
5,7.88737753,
3,7.89347780,
9,7.90928888,
3,7.91827191,
5,7.923,
7,7.97962921,
9,7.98475087,
11,8.00959966,
1,8.01006448,
5,8.04838837,
11,8.05370134,
5,8.06107009,
3,8.06250794,
9,8.07807155,
7,8.08062810,
5,8.10960371,
1,8.1224517,
3,8.14046139,
7,8.18514505,
5,8.3328860,
7,8.37191162,
3,8.40915250,
1,8.41988259,
5,8.42340833,
11,8.45609577,
13,8.46949859,
15,8.50707932,
11,8.53376431,
9,8.53549724,
7,8.5623404,
3,8.5942222,
7,8.59907782,
13,8.63146931,
5,8.63389048,
9,8.70194937,
3,8.71186315,
7,8.7356214,
5,8.77496540,
3,8.78515492,
13,8.85292357,
11,8.89003402,
5,8.9078234,
9,8.92796723,
7,8.99320722,
5,9.0079637,
3,9.0687421,
9,9.06907725,
1,9.1094329,
11,9.22154694,
3,9.2396640,
9,9.955784,
7,9.98606,
5,10.016514,
3,10.03916,
1,10.05095,
11,10.163016,
9,10.209254,
7,10.244481,
5,10.269602,
3,10.28573,
7,10.3044045,
9,10.3401165,
7,10.397663,
11,10.3995253,
11,10.41643089,
9,10.4321071,
7,10.4415404,
5,10.4635935,
3,10.4666902,
9,10.48743503,
7,10.544089,
7,10.55944220,
9,10.59837869,
5,10.61257253,
5,10.626971,
3,10.6473006,
3,10.679230,
7,10.70562701,
5,10.7792048,
