g,LeveleV
1,0.000000,
3,0.007714,
5,0.022709,
7,0.044207,
9,0.071425,
1,2.079384,
3,2.128630,
9,2.141666,
11,2.156943,
13,2.173524,
5,2.213264,
5,2.287737,
7,2.295094,
9,2.304047,
7,2.566924,
9,2.585436,
11,2.603177,
9,3.116823,
7,3.189672,
5,3.196429,
3,3.204782,
13,3.225435,
1,3.393735,
5,3.986339,
7,4.588055,
9,5.366868,
5,5.369077,
7,5.371265,
5,5.386120,
3,5.444963,
1,5.472831,
3,6.136283,
5,6.153119,
9,6.170526,
7,6.177997,
9,6.210514,
11,6.250051,
5,7.023875,
7,7.066241,
9,7.119594,
3,7.816676,
5,7.832615,
7,7.863316,
5,8.153599,
7,8.169614,
9,8.186678,
11,8.210865,
1,8.629486,
9,8.636707,
3,8.651852,
5,8.702576,
5,8.715204,
3,8.721738,
1,8.739275,
3,8.800555,
7,8.842932,
5,8.842958,
9,8.886839,
11,8.894324,
13,8.910765,
3,9.160144,
5,9.272639,
11,9.342411,
9,10.461058,
7,10.474775,
5,10.485657,
7,10.882177,
5,11.625528,
7,11.658233,
9,11.701169,
11,11.753913,
13,11.816449,
3,11.920988,
5,11.950379,
1,11.988524,
7,11.991013,
3,11.998494,
5,12.016799,
3,12.036133,
9,12.038652,
7,12.041521,
5,12.064480,
9,12.071078,
11,12.103273,
7,12.111271,
7,12.378789,
9,12.410900,
11,12.450866,
5,12.577524,
7,12.614922,
9,12.658881,
7,12.675706,
5,12.687736,
3,12.696205,
5,13.096065,
3,13.421400,
5,13.447500,
1,13.476789,
7,13.488965,
3,13.497537,
5,13.510918,
1,13.571076,
9,13.580516,
3,13.585025,
5,13.585059,
7,13.603892,
11,13.631440,
9,13.657466,
13,13.701144,
7,13.808875,
9,13.842186,
11,13.868497,
9,13.932461,
5,13.935804,
7,13.944132,
9,14.024499,
7,14.050980,
5,14.054482,
11,14.062279,
5,14.105326,
1,14.117023,
3,14.121730,
5,14.208483,
3,14.223069,
5,14.280767,
7,14.326905,
9,14.329097,
11,14.341344,
13,14.362897,
3,14.428403,
5,14.430727,
3,14.438107,
7,14.448244,
3,14.478131,
5,14.479129,
7,14.502319,
9,14.518746,
11,14.524234,
13,14.566773,
15,14.620699,
3,14.650611,
5,14.682579,
7,14.704416,
9,14.741787,
5,14.806369,
3,14.814750,
11,14.830097,
1,14.831687,
7,14.859069,
13,14.931788,
11,14.964926,
9,14.971036,
7,14.973232,
3,15.057480,
3,15.175231,
5,15.263179,
5,15.963538,
7,15.967197,
9,15.975425,
7,16.256357,
9,16.274868,
11,16.297743,
5,16.374681,
7,16.380482,
5,16.427879,
3,16.456946,
9,16.610110,
7,16.723924,
3,18.217764,
5,18.222371,
7,18.236926,
5,18.420805,
5,18.516300,
7,18.521211,
9,18.551297,
5,18.765166,
3,18.806846,
1,18.827263,
7,18.850212,
7,18.96057,
9,18.98187,
11,19.00859,
13,19.04046,
15,19.07766,
3,19.456832,
3,19.50311,
5,19.51946,
7,19.54453,
9,19.57810,
7,19.59777,
11,19.61948,
9,19.64442,
7,19.64698,
9,19.66683,
5,19.71743,
7,19.76006,
9,19.81308,
11,21.47413,
13,21.53144,
5,21.81699,
7,21.85529,
9,21.90611,
11,21.96950,
3,21.98144,
5,22.00299,
7,22.03508,
13,22.04487,
9,22.07711,
11,22.12789,
1,22.29428,
3,22.30019,
5,22.31115,
7,22.32965,
9,22.35857,
,30.959,

#ignore,test#34.92
