g,LeveleV
14,0.0000000,
12,0.0546069,
10,0.6363623,
8,0.6699719,
16,0.8461641,
12,0.8864411,
10,0.8921103,
14,1.3225625,
8,1.3506759,
10,1.3691129,
16,1.4021596,
12,1.5359274,
8,1.5607128,
6,1.5622124,
20,1.5888659,
18,1.6152571,
14,1.6193223,
4,1.6351615,
14,1.6537976,
6,1.6810190,
22,1.6827282,
18,1.7010116,
16,1.7705840,
20,1.8162789,
18,1.9506331,
10,2.0136705,
16,2.0424997,
12,2.0493860,
10,2.0522944,
14,2.0634984,
20,2.0997756,
12,2.1013086,
12,2.1156335,
14,2.1547111,
18,2.2122106,
16,2.2891633,
16,2.3082752,
12,2.3419500,
18,2.3932462,
16,2.4022663,
18,2.4309228,
8,2.4676708,
10,2.4698412,
12,2.4788031,
14,2.5193507,
16,2.5438727,
14,2.5699507,
14,2.6041715,
12,2.6086277,
16,2.6697707,
18,2.6816739,
12,2.6851048,
12,2.6901908,
12,2.7053245,
10,2.7145169,
14,2.7425858,
14,2.7451782,
16,2.7524511,
14,2.8342180,
12,2.8814732,
18,2.9185511,
14,2.9345939,
12,2.9533441,
6,2.9611173,
8,2.9709562,
16,2.9723819,
18,2.9822560,
12,3.0271071,
16,3.0290632,
10,3.0454596,
12,3.0608628,
20,3.0634156,
12,3.0679932,
14,3.0916520,
8,3.1047215,
12,3.1470139,
14,3.1656082,
12,3.1723063,
12,3.1730461,
14,3.1745244,
12,3.2200526,
10,3.2231148,
14,3.2358601,
10,3.2398441,
12,3.2731549,
14,3.2749744,
14,3.3189505,
12,3.3234520,
8,3.3412624,
10,3.4039259,
14,3.4112461,
12,3.4145490,
10,3.4230779,
12,3.4272528,
10,3.4580048,
14,3.4818112,
12,3.5163637,
10,3.5969074,
14,3.6103710,
8,3.6281994,
16,3.6541601,
12,3.6565828,
14,3.6734540,
16,3.6749986,
8,3.6923202,
10,3.6927123,
12,3.7020118,
14,3.7061815,
16,3.7161050,
14,3.7205589,
10,3.7230741,
12,3.7347684,
8,3.7357384,
12,3.7390835,
10,3.7589497,
14,3.7965328,
10,3.8276932,
8,3.8304232,
10,3.8332735,
8,3.8821956,
10,3.8908447,
12,3.8913268,
14,3.8953952,
12,3.9428341,
10,3.9481682,
8,3.9554285,
16,3.9735385,
12,3.9765898,
10,4.0006286,
10,4.0298187,
14,4.0330077,
12,4.0442099,
10,4.0609125,
8,4.0654524,
12,4.0680463,
10,4.0786302,
14,4.0930275,
10,4.0949990,
12,4.1045631,
10,4.1075856,
18,4.1184079,
10,4.1295870,
8,4.1583399,
16,4.1593311,
10,4.1616406,
10,4.1720638,
12,4.1732506,
14,4.1750749,
12,4.1809387,
14,4.1849527,
10,4.1912195,
12,4.2140123,
10,4.2247461,
8,4.2338325,
10,4.2398118,
8,4.2406627,
12,4.2578171,
10,4.2647022,
14,4.2830649,
12,4.2852977,
10,4.2990495,
8,4.3273365,
12,4.3360296,
10,4.3473685,
12,4.3661639,
14,4.3737324,
8,4.3840670,
12,4.4160575,
14,4.4227146,
8,4.4411064,
10,4.4481914,
12,4.4492017,
10,4.4509375,
8,4.4544552,
10,4.4643216,
12,4.4817447,
20,4.4872617,
10,4.5033829,
4,4.5209608,
8,4.5218208,
8,4.5219497,
12,4.5431817,
8,4.5549621,
10,4.5578017,
8,4.5657422,
18,4.5702511,
12,4.5705451,
6,4.5790183,
10,4.5922215,
8,4.5945722,
12,4.5996843,
10,4.6011034,
6,4.6031555,
12,4.6056006,
16,4.6272179,
4,4.6317252,
10,4.6418018,
10,4.6473109,
8,4.6527747,
10,4.6639226,
14,4.6660356,
12,4.6704302,
8,4.6740584,
6,4.6756931,
10,4.6787383,
8,4.6801478,
10,4.7063936,
6,4.7367526,
12,4.7499570,
8,4.7508518,
10,4.7565067,
12,4.7657531,
4,4.7697404,
10,4.7706403,
6,4.7834237,
6,4.7879406,
12,4.7910661,
8,4.7922142,
10,4.8164372,
14,4.8164610,
8,4.8380551,
6,4.8399268,
8,4.8419627,
14,4.8456600,
8,4.8528111,
12,4.8653981,
8,4.8698024,
8,4.8731930,
10,4.8840133,
6,4.8909174,
10,4.8985329,
12,4.9005617,
6,4.9151253,
10,4.9164466,
12,4.9304111,
16,4.9350948,
4,4.9387300,
10,4.9401846,
14,4.9534721,
8,4.9563183,
16,4.9586279,
10,4.9594639,
14,4.9744550,
6,4.9747177,
12,4.9747519,
10,4.9969943,
6,5.0051089,
12,5.0133773,
20,5.0149017,
10,5.0209975,
18,5.0272120,
6,5.0390848,
4,5.0446003,
6,5.0491026,
8,5.0520007,
12,5.0531958,
10,5.0652442,
10,5.0716811,
8,5.0763504,
10,5.0783726,
4,5.0838143,
6,5.0850599,
8,5.0869859,
10,5.0917090,
10,5.1044932,
16,5.1050128,
8,5.1090048,
18,5.1136539,
10,5.1166568,
12,5.1348818,
10,5.1437106,
8,5.1460527,
10,5.1599486,
6,5.1679616,
8,5.1919780,
6,5.2153737,
8,5.2258839,
6,5.2293536,
6,5.2401076,
8,5.2587706,
8,5.2645015,
8,5.2727154,
8,5.2850256,
4,5.2880246,
6,5.3000360,
8,5.3027416,
4,5.3143041,
12,5.3297649,
14,5.3441352,
6,5.3514056,
10,5.3576620,
10,5.3588029,
16,5.3589870,
12,5.3652350,
8,5.3688536,
14,5.3709313,
20,5.3826149,
10,5.3884528,
16,5.3960655,
6,5.3999377,
12,5.4104780,
14,5.4212051,
8,5.4460173,
4,5.4465557,
8,5.4478550,
20,5.4525338,
8,5.4736634,
4,5.4754091,
18,5.4844752,
16,5.4879345,
18,5.5569991,
4,5.5605126,
14,5.5694205,
16,5.5737246,
8,5.5806582,
18,5.6146329,
18,5.6377505,
12,5.6486665,
10,5.6909962,
14,5.7165379,
16,5.7356092,
12,5.7684742,
22,5.7727805,
16,5.7971776,
20,5.7972259,
18,5.8167819,
14,5.8335570,
16,5.8473842,
18,5.8488644,
20,5.8801537,
16,5.8851541,
20,5.9248206,
14,5.9315233,
12,5.9323482,
16,5.9700112,
14,6.0164158,
10,6.0265515,
18,6.0350850,
20,6.0490636,
14,6.0759673,
14,6.0865204,
16,6.1221234,
16,6.1570834,
14,6.2135504,
16,6.2297590,
12,6.2472875,
16,6.2552456,
14,6.2559608,
14,6.3046393,
16,6.3244850,
12,6.3278637,
16,6.3360725,
14,6.3944646,
16,6.3984106,
14,6.4779176,
18,6.4958833,
16,6.5706831,
14,6.6817268,
14,6.7431602,
16,6.8583523,
,11.916,

#ignore,test#189.86
