g,LeveleV
9,0.000000,
5,0.642022,
7,0.722098,
3,1.05716,
1,1.07706,
9,1.803514,
11,2.289172,
13,2.36771,
5,2.37166,
7,2.627229,
5,2.74488,
9,3.219826,
3,3.25313,
5,3.430707,
9,3.464199,
11,3.552401,
7,3.590549,
7,3.805488,
7,3.964500,
13,4.12913,
3,4.27330,
7,4.394009,
9,4.63550,
5,4.85032,
3,5.27176,
9,5.74719,
5,5.77327,
5,6.251025,
7,6.479399,
5,6.553608,
9,6.69291,
7,6.752689,
5,6.896956,
9,7.196288,
13,7.282843,
5,7.340731,
11,7.341118,
7,7.343913,
3,7.472896,
9,7.924157,
1,8.072449,
7,8.196615,
3,8.31834,
5,8.462582,
11,8.574559,
7,8.646829,
5,8.715935,
9,8.826636,
3,8.912561,
13,9.018276,
11,9.059263,
9,9.181941,
7,9.242432,
5,9.319176,
15,9.360082,
11,9.459415,
7,9.484009,
7,9.820604,
9,9.856992,
13,9.990353,
5,10.086287,
11,10.117815,
7,10.223527,
9,10.415311,
9,10.505776,
7,10.569612,
9,10.883660,
7,10.911761,
11,11.173855,
9,11.220291,
5,11.31053,
13,11.312437,
11,11.856446,
5,12.21595,
7,12.469521,
9,14.06754,
5,14.110321,
7,14.337060,
7,14.671106,
5,14.695587,
3,14.727620,
9,14.967694,
5,14.988661,
3,15.046694,
7,15.113958,
11,15.168059,
13,15.201853,
5,15.218600,
7,15.275109,
9,15.525898,
11,15.619795,
3,15.848195,
9,15.931128,
7,16.002638,
7,16.085870,
5,16.226462,
9,16.376847,
5,16.423977,
7,16.494589,
5,16.515204,
11,16.541077,
13,16.602939,
9,16.617021,
5,16.701619,
7,16.789944,
3,16.797945,
9,16.811692,
3,16.855706,
11,16.915076,
3,17.00352,
15,17.013699,
5,17.014235,
9,17.020223,
11,17.070873,
7,17.072703,
13,17.124848,
15,17.167331,
7,17.175507,
5,17.185767,
13,17.245550,
11,17.325528,
9,17.357587,
7,17.364551,
5,17.416461,
7,17.423118,
3,17.441956,
9,17.499274,
7,17.508349,
5,17.53965,
9,17.630402,
13,17.687861,
5,17.713015,
9,17.749200,
11,17.820478,
3,17.89680,
11,17.917260,
5,17.931357,
7,17.959750,
9,17.978177,
5,18.022225,
9,18.032256,
11,18.042831,
7,18.04425,
7,18.12478,
5,18.14266,
7,18.268048,
9,18.320304,
9,18.335364,
5,18.366486,
7,18.394144,
3,18.42865,
5,18.43462,
11,18.46592,
5,18.50644,
13,18.512475,
15,18.55571,
7,18.62678,
9,18.685169,
3,18.69044,
11,18.72163,
5,18.75249,
13,18.766841,
7,18.770620,
3,18.82974,
11,18.883345,
7,18.89192,
17,18.91455,
9,18.967384,
15,18.99344,
5,18.99352,
9,19.020680,
11,19.051285,
3,19.06025,
9,19.07230,
7,19.112480,
13,19.129982,
5,19.19921,
7,19.22809,
11,19.237464,
9,19.291682,
5,19.39475,
7,19.435460,
5,19.47787,
9,19.48626,
13,19.506160,
11,19.525162,
9,19.612853,
5,19.73342,
7,19.73702,
13,19.76510,
7,19.79152,
11,19.80805,
9,19.81165,
9,19.86325,
5,19.96927,
7,20.00717,
5,20.04360,
3,20.04626,
9,20.07329,
5,20.10218,
7,20.13186,
11,20.166518,
3,20.22389,
7,20.23492,
11,20.23928,
7,20.30055,
9,20.33305,
7,20.41892,
9,20.42562,
5,20.44622,
11,20.48710,
5,20.49670,
13,20.57185,
11,20.61643,
9,20.69002,
9,20.718668,
15,20.76712,
11,21.014143,
7,21.03804,
13,21.04207,
11,21.15400,
9,21.70059,
7,22.30994,
,40.0,

#ignore,test#23.87
