g,LeveleV
1,0.00000,
5,11.21225,
11,11.74975,
7,12.06783,
13,12.18012,
3,12.21306,
9,12.21970,
5,12.35627,
9,12.67324,
7,12.77910,
11,12.86940,
1,13.03678,
9,13.18951,
5,13.38863,
3,13.74464,
11,13.80909,
7,13.86296,
5,13.96465,
3,14.14032,
7,14.21266,
9,14.31627,
9,14.48113,
7,14.54483,
5,15.94106,
7,15.98516,
7,20.37089,
9,20.42373,
11,21.47575,
5,21.50065,
7,21.59101,
9,21.68358,
7,21.86531,
5,21.92556,
3,22.83857,
9,22.98169,
5,23.05945,
7,23.12796,
5,29.21857,
11,29.34298,
9,29.38740,
7,29.39748,
7,29.41095,
9,29.43842,
13,29.46654,
5,29.50164,
9,29.57037,
7,29.60005,
11,29.62078,
9,30.78600,
5,30.82501,
5,30.85974,
7,30.86784,
3,30.93530,
7,30.95668,
11,30.96121,
5,30.99035,
9,31.09394,
,45.249,

#ignore,test#1.0
