g,LeveleV
1,0.0000000,
3,0.0197115,
5,0.0543498,
7,0.0993518,
9,0.1518587,
3,0.2922079,
5,0.3259708,
7,0.3756261,
9,0.4392216,
11,0.5140431,
1,0.6896300,
3,0.7677486,
5,0.9002894,
5,0.9305963,
7,0.9795550,
9,1.0315948,
9,1.1790406,
11,1.2165890,
13,1.2629514,
7,1.2704605,
9,1.3147568,
3,1.3208566,
5,1.3434726,
11,1.3537182,
7,1.4059300,
5,1.5204456,
5,1.5877373,
7,1.6185760,
3,1.6264902,
5,1.6712400,
9,1.6943291,
7,1.6973719,
3,1.8134176,
5,1.8177020,
1,1.8198795,
9,1.8338199,
13,1.9088518,
7,1.9281095,
9,1.9774699,
11,1.9902777,
9,2.0108919,
1,2.1328352,
11,2.1439941,
13,2.1604109,
9,2.1659754,
7,2.2946986,
3,2.3333231,
5,2.3993358,
7,2.4411792,
1,2.5227681,
3,2.5339274,
5,2.5612377,
3,2.6085691,
11,2.6127167,
7,2.6182258,
9,2.6622466,
5,2.6670707,
5,3.0168817,
7,3.1434362,
9,3.1439034,
5,3.1509473,
5,3.3825504,
3,3.4460195,
1,3.4717176,
5,3.5961464,
7,3.6491226,
9,3.6741650,
9,3.7435408,
5,3.8515344,
7,3.9380105,
5,4.1350082,
7,4.2054503,
9,4.2938249,
3,4.3253566,
11,4.3982399,
5,4.4040206,
13,4.5199006,
7,4.5320239,
3,4.5541634,
5,4.5827999,
1,4.6243926,
7,4.6341451,
3,4.6469372,
9,4.6529264,
5,4.6862699,
11,4.7144168,
7,4.7382281,
9,4.7475102,
7,4.7963238,
5,4.8334480,
9,4.8769519,
7,4.9320814,
11,4.9722133,
9,5.0289253,
5,5.1713986,
3,5.2237823,
1,5.2812996,
9,5.3150630,
5,5.3673179,
3,5.3871123,
11,5.4017314,
5,5.4079912,
3,5.4118102,
7,5.4413042,
3,5.4635701,
5,5.4834255,
1,5.4907573,
13,5.5213070,
7,5.5344999,
7,5.5509574,
5,5.5699409,
9,5.5756577,
1,5.6048845,
11,5.6217208,
3,5.6257793,
9,5.6563943,
5,5.6605974,
7,5.6787829,
7,5.6932381,
9,5.7399235,
5,5.7458112,
3,5.7477723,
7,5.7564183,
11,5.7652160,
5,5.7708756,
7,5.8210011,
5,5.8363038,
9,5.8700460,
9,5.9150944,
5,5.9209591,
7,5.9608725,
11,5.9674184,
9,5.9826614,
11,6.0133283,
3,6.0157597,
13,6.0277899,
9,6.0290034,
13,6.0468133,
11,6.0638098,
9,6.0948268,
3,6.0983907,
5,6.1056599,
15,6.1235530,
5,6.1417576,
3,6.1604911,
3,6.1661628,
7,6.1693538,
5,6.1709721,
7,6.1823848,
7,6.2077399,
13,6.2080647,
5,6.2546740,
3,6.2580944,
11,6.2609343,
9,6.2676786,
7,6.2717689,
9,6.3048027,
5,6.3457747,
11,6.3897754,
13,6.4109045,
3,6.4208710,
5,6.4381626,
7,6.4392845,
1,6.4632628,
3,6.4738311,
9,6.4818431,
5,6.4953536,
3,6.5158561,
7,6.5358136,
11,6.5448838,
7,6.5756173,
9,6.6216574,
7,6.6582043,
7,6.6963227,
5,6.7106213,
3,6.7165373,
9,6.7482769,
11,6.8217570,
7,6.8762232,
5,6.9086056,
9,7.0851018,
3,7.0883264,
5,7.1298285,
5,7.1673146,
7,7.1779919,
7,7.2533563,
9,7.2549509,
9,7.3646144,
5,7.3766871,
7,7.3782007,
3,7.3922197,
7,7.4025378,
3,7.4096965,
9,7.4507679,
5,7.4690274,
11,7.4935728,
7,7.5499984,
3,7.5727904,
5,7.5965746,
5,7.6375397,
3,7.6891485,
7,7.7229286,
5,7.7336339,
3,7.7642323,
5,7.7756090,
7,7.7772735,
9,7.7887482,
7,7.8497895,
9,7.8938548,
11,7.8978942,
7,7.9032713,
5,7.9804713,
3,7.9814140,
7,7.9904549,
9,8.0445858,
5,8.0888600,
9,8.1256279,
7,8.1311818,
5,8.1510467,
11,8.1693010,
3,8.1843368,
9,8.1865290,
13,8.2422033,
5,8.3211607,
7,8.3467279,
7,8.3735772,
5,8.4163154,
9,8.4435963,
11,8.5267564,
7,8.5737162,
7,8.5750570,
5,8.6045433,
7,8.6646198,
9,8.6666733,
9,8.6790008,
9,8.6834146,
7,8.7899222,
3,8.7974204,
3,8.8059226,
7,8.8078756,
11,8.8112366,
3,8.8271873,
9,8.8325309,
5,8.8342750,
5,8.8541346,
7,8.8703380,
9,8.8816973,
11,8.8877915,
5,8.8909695,
5,8.8987552,
3,8.9009267,
9,8.9186796,
5,8.9326674,
7,8.9423909,
7,8.9495626,
13,8.9555842,
11,8.9839780,
5,8.9887023,
9,9.0043439,
7,9.0185749,
1,9.0201182,
7,9.0208533,
15,9.0336462,
11,9.0651483,
9,9.0696022,
13,9.0708257,
3,9.0791688,
7,9.1147856,
11,9.1586846,
5,9.1680046,
5,9.1889100,
1,9.1891186,
9,9.1952720,
3,9.2147772,
7,9.2410537,
5,9.2538919,
13,9.2591389,
11,9.2932127,
7,9.2964901,
9,9.2994023,
9,9.3514085,
7,9.4946918,
9,9.8160436,
3,9.8669552,
5,9.8697027,
7,9.8753239,
3,9.8754881,
9,9.9270753,
7,9.9364189,
7,9.9404166,
11,9.9581643,
5,9.9621450,
3,9.9707680,
11,9.9876875,
13,10.0010589,
9,10.0095443,
11,10.0169756,
5,10.0185179,
9,10.0300401,
7,10.0320049,
11,10.0352971,
3,10.0357658,
5,10.0484667,
15,10.0565105,
9,10.0567795,
7,10.0664013,
7,10.0703415,
11,10.0738337,
3,10.0754792,
5,10.0853793,
3,10.0916927,
13,10.0934928,
5,10.1043844,
9,10.1082356,
7,10.1144813,
7,10.1182805,
5,10.1451476,
13,10.1657100,
3,10.1685840,
5,10.1781277,
9,10.1922684,
7,10.2018085,
9,10.2167174,
3,10.2271738,
5,10.2343104,
1,10.2486003,
7,10.2502962,
5,10.2906200,
7,10.3325163,
11,10.3534335,
13,10.3682434,
9,10.3693962,
11,10.3739777,
15,10.3832547,
7,10.4030387,
9,10.4198979,
5,10.4357852,
11,10.4366861,
7,10.4475579,
5,10.4519314,
9,10.4721671,
13,10.4827927,
15,10.5095709,
7,10.5354143,
17,10.5448650,
7,10.5562202,
9,10.5769413,
11,10.5927208,
9,10.6103758,
11,10.6440212,
13,10.6475630,
13,10.8955594,
5,11.3437189,
,14.32,

#ignore,test#111.09
