g,LeveleV
4,0.000000,
4,1.408587,
6,1.410522,
2,2.321320,
4,2.324457,
2,6.9356043,
4,6.9543513,
6,6.9852271,
2,7.1757806,
4,7.2127021,
6,7.3813433,
4,7.4038306,
2,7.4167807,
2,7.9646942,
4,8.0783444,
6,8.0784540,
2,8.1052879,
4,8.1147813,
6,8.1315198,
8,8.1567289,
2,8.2255380,
4,8.2276264,
6,8.2504346,
4,8.2837898,
4,8.2864403,
6,8.3210594,
4,8.4196598,
2,8.4273389,
4,8.4418455,
2,8.4466228,
4,8.4536377,
6,8.4634281,
8,8.4777261,
10,8.4969660,
2,8.6637719,
4,8.6657896,
6,8.6695273,
8,8.6764238,
6,8.7274710,
8,8.7643815,
6,8.8237358,
4,8.8280443,
2,8.9737283,
6,8.9747632,
4,8.9880864,
4,8.9978308,
2,9.0034584,
4,9.0188348,
6,9.0269427,
6,9.0365716,
2,9.0438789,
4,9.0818185,
4,9.2085171,
6,9.2122086,
6,9.2638052,
8,9.2665525,
2,9.3117617,
2,9.3349261,
4,9.3423968,
2,9.3553237,
6,9.3588801,
4,9.3594313,
4,9.382639,
4,9.3842750,
2,9.3855829,
8,9.3862983,
2,9.399703,
6,9.402116,
6,9.4110345,
4,9.416534,
8,9.417452,
4,9.4254773,
6,9.428501,
8,9.444292,
4,9.4466287,
10,9.462227,
6,9.4755201,
2,9.493035,
4,9.495418,
6,9.500649,
8,9.510756,
2,9.5173096,
4,9.5313163,
2,9.535904,
6,9.6279384,
8,9.6280320,
6,9.637748,
2,9.642189,
6,9.6439671,
8,9.6440790,
10,9.6497280,
8,9.6498257,
4,9.650155,
4,9.6513411,
6,9.6514236,
4,9.656982,
4,9.663645,
6,9.664159,
2,9.66649,
2,9.676851,
4,9.6793360,
2,9.6793565,
12,9.6832767,
10,9.6835375,
4,9.6872168,
6,9.6873166,
8,9.6918411,
6,9.6918801,
10,9.6928434,
8,9.6930458,
6,9.696970,
6,9.712902,
4,9.715253,
8,9.723995,
10,9.740831,
8,9.742673,
2,9.800217,
4,9.807165,
4,9.809901,
2,9.810825,
2,9.821974,
6,9.823264,
4,9.831603,
4,9.836829,
6,9.844606,
4,9.846252,
8,9.854864,
8,9.858647,
6,9.864430,
4,9.871799,
2,9.880306,
2,9.881118,
6,9.882955,
4,9.883833,
10,9.884107,
6,9.889199,
4,9.897693,
8,9.901838,
6,9.937867,
8,9.937939,
6,9.941461,
2,9.946069,
4,9.955858,
6,9.955904,
8,9.955987,
6,9.956974,
10,9.958990,
8,9.959084,
4,9.960166,
6,9.960252,
2,9.964939,
4,9.965911,
4,9.971587,
8,9.975914,
2,9.981738,
6,9.982843,
4,9.986775,
4,9.992405,
2,9.992407,
12,9.994299,
10,9.994510,
4,9.995845,
6,9.995909,
8,9.998448,
6,9.998478,
10,9.998971,
8,9.999127,
2,9.999972,
2,10.002154,
6,10.002958,
4,10.019179,
4,10.051392,
6,10.058049,
8,10.071703,
4,10.077097,
2,10.077912,
6,10.079506,
4,10.080264,
6,10.092631,
4,10.094267,
10,10.100710,
6,10.106021,
8,10.106056,
2,10.106786,
6,10.107465,
8,10.1081294,
10,10.1081336,
8,10.108967,
2,10.114462,
6,10.125015,
8,10.125074,
10,10.126836,
8,10.126907,
4,10.127591,
6,10.127658,
8,10.1279061,
12,10.1288094,
10,10.1288095,
4,10.131932,
6,10.131985,
4,10.137528,
2,10.13835,
8,10.141301,
4,10.146957,
10,10.1502252,
6,10.153076,
2,10.153851,
2,10.161890,
4,10.161890,
12,10.163075,
10,10.163222,
4,10.163823,
6,10.163876,
8,10.165379,
6,10.165401,
10,10.165705,
14,10.1658025,
12,10.1658027,
8,10.165809,
8,10.1663662,
10,10.1663802,
12,10.1669426,
10,10.1669439,
6,10.168563,
4,10.174693,
4,10.176113,
6,10.180636,
4,10.190977,
8,10.194495,
6,10.195599,
4,10.197869,
6,10.207271,
8,10.207297,
6,10.209631,
6,10.213174,
10,10.226100,
8,10.226830,
6,10.226833,
10,10.227941,
8,10.227993,
6,10.228499,
4,10.228505,
8,10.230541,
4,10.231418,
6,10.239882,
8,10.246105,
4,10.249192,
4,10.252229,
6,10.257758,
2,10.258311,
6,10.260103,
2,10.263789,
4,10.263789,
12,10.264700,
10,10.264801,
4,10.265330,
6,10.265377,
8,10.265986,
6,10.265996,
10,10.266317,
8,10.266376,
6,10.268446,
4,10.271243,
8,10.271708,
4,10.27355,
6,10.283626,
6,10.284419,
6,10.292711,
8,10.292716,
10,10.293518,
8,10.293554,
10,10.305058,
8,10.307641,
6,10.311412,
8,10.315208,
8,10.323595,
12,10.330566,
10,10.330639,
10,10.331856,
10,10.357961,
8,10.359529,
8,10.364448,
12,10.375677,
10,10.376474,
,10.486686,
,10.507131,
,10.544849,
,11.587954,
,13.161722,

#ignore,test#7.16
