g,LeveleV
9,0.00000,
7,0.40038,
5,0.58106,
5,1.26836,
3,1.66994,
1,1.69837,
5,1.81443,
9,2.21684,
1,5.16986,
11,6.56075,
9,6.83012,
7,7.035067,
5,7.171857,
3,7.25646,
9,7.756544,
7,8.090599,
7,8.146744,
5,8.156641,
5,8.316727,
3,8.325667,
11,8.677089,
9,8.808712,
5,9.019208,
7,9.024269,
3,9.051195,
1,9.209660,
13,9.258343,
9,9.348721,
5,9.355184,
11,9.418756,
3,9.429675,
7,9.451472,
3,9.685584,
5,9.691780,
1,9.73695,
9,9.742755,
11,10.018472,
3,10.243567,
5,10.315974,
5,10.590771,
7,10.641561,
9,10.761190,
7,11.243383,
3,12.78389,
5,12.838368,
7,12.946204,
9,12.946289,
11,13.03639,
7,13.253076,
9,13.404625,
5,13.43453,
5,13.469844,
13,13.51620,
11,13.523746,
7,13.604074,
3,13.610979,
9,13.731109,
5,13.754973,
7,13.840487,
3,13.850213,
5,13.861736,
1,13.867279,
5,13.926928,
9,13.941918,
11,13.949069,
7,14.109616,
9,14.244066,
7,14.349465,
5,14.349692,
7,14.44650,
5,14.480148,
3,14.576368,
3,14.782333,
5,14.883405,
7,14.905628,
11,14.963358,
9,15.022102,
1,15.082892,
3,15.093074,
9,15.113593,
1,15.218025,
9,15.221740,
5,15.249177,
5,15.288859,
13,15.290965,
7,15.312460,
3,15.346634,
7,15.403350,
9,15.427536,
5,15.428530,
7,15.453838,
11,15.468261,
3,15.495057,
13,15.518244,
11,15.546365,
1,15.55063,
3,15.557191,
7,15.584070,
5,15.631763,
9,15.735271,
7,15.748121,
3,15.764476,
11,15.769179,
5,15.79285,
15,15.81370,
7,15.827514,
11,15.858324,
9,15.868022,
7,15.874686,
5,15.89631,
3,15.931993,
5,15.968863,
7,16.078555,
3,16.09826,
9,16.176980,
5,16.194904,
13,16.236827,
1,16.27577,
13,16.310144,
7,16.371367,
3,16.388308,
11,16.403152,
3,16.454671,
5,16.457985,
5,16.483792,
9,16.545686,
9,16.69300,
5,16.765007,
7,16.781964,
3,16.95883,
11,16.96680,
5,17.005790,
3,17.04649,
1,17.07772,
7,17.161272,
9,17.239797,
7,17.416420,
5,17.427451,
9,17.484078,
7,17.516825,
11,17.59012,
9,17.603207,
3,17.61848,
5,17.63283,
7,18.18382,
5,19.08465,
5,19.14792,
3,19.16385,
1,19.26567,
7,19.34286,
9,19.61256,
7,19.79120,
3,19.80198,
3,20.05406,
5,20.06080,
5,20.17791,
7,20.26771,
11,21.05636,
9,21.11825,
11,21.12501,
13,21.15647,
20,21.24252,
9,21.26968,
16,21.28519,
7,21.29871,
9,21.39171,
11,21.39644,
9,21.52810,
9,21.53977,
9,23.9565,
16,24.1969,
5,24.2320,
9,24.4616,
20,24.5413,
9,24.5438,
9,24.5621,
,32.93,

#ignore,test#20.5
