,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
776,206.1164,6.013389,3528000.0,47.0,Ag,I,0.0,0.5,6.013329,1.5,IYS,1.0,4.0
885,206.9845,5.9881720000000005,1710000.0,47.0,Ag,I,0.0,0.5,5.988112,0.5,IYS,1.0,2.0
3343,224.6891,5.516379,146700000.0,47.01,Ag,II,4.85657,3.0,10.372894,4.0,GUES,2.0,9.0
4767,233.1853,5.315405,100300000.0,47.01,Ag,II,5.052235,2.0,10.367586,1.0,CB,2.0,3.0
6414,241.3882,5.134789,225600000.0,47.01,Ag,II,5.052235,2.0,10.186972,3.0,CB,2.0,7.0
7021,243.8325,5.083319,257500000.0,47.01,Ag,II,4.85657,3.0,9.939838,2.0,CB,2.0,5.0
7246,244.847,5.062259,558600000.0,47.01,Ag,II,5.70986,2.0,10.772067999999999,2.0,CB,2.0,5.0
14593,272.1783,4.553953,38550000.0,47.0,Ag,I,3.749562,2.5,8.303469999999999,2.5,CB,1.0,6.0
28784,328.0679,3.778172,138000000.0,47.0,Ag,I,0.0,0.5,3.7781339999999997,1.5,JMG,1.0,4.0
31367,338.2889,3.664024,122300000.0,47.0,Ag,I,0.0,0.5,3.663987,0.5,JMG,1.0,2.0
47530,405.5472,3.056375,23110000.0,47.0,Ag,I,3.663987,0.5,6.720332000000001,1.5,JMG,1.0,4.0
50678,421.0956,2.943525,26060000.0,47.0,Ag,I,3.7781339999999997,1.5,6.72163,2.5,JMG,1.0,6.0
50713,421.2814,2.942227,4362000.0,47.0,Ag,I,3.7781339999999997,1.5,6.720332000000001,1.5,JMG,1.0,4.0
55671,447.6036,2.769206,5261000.0,47.0,Ag,I,3.663987,0.5,6.433166,0.5,JMG,1.0,2.0
58485,466.8476,2.6550580000000004,9365000.0,47.0,Ag,I,3.7781339999999997,1.5,6.433166,0.5,JMG,1.0,2.0
64856,520.9068,2.379522,68600000.0,47.0,Ag,I,3.663987,0.5,6.043486,1.5,JMG,1.0,4.0
67545,546.5498,2.267881,78790000.0,47.0,Ag,I,3.7781339999999997,1.5,6.045993,2.5,JMG,1.0,6.0
67607,547.1547,2.265374,13170000.0,47.0,Ag,I,3.7781339999999997,1.5,6.043486,1.5,JMG,1.0,4.0
82563,768.7766,1.612319,17710000.0,47.0,Ag,I,3.663987,0.5,5.27629,0.5,JMG,1.0,2.0
