,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
935,207.5262,5.972542,396000.0,13.0,Al,I,0.0,0.5,5.972482,1.5,NBS,1.0,4.0
937,207.5565,5.971672,434000.0,13.0,Al,I,0.0,0.5,5.971612,1.5,NBS,1.0,4.0
940,207.5898,5.970715,476800.0,13.0,Al,I,0.0,0.5,5.970655000000001,1.5,NBS,1.0,4.0
944,207.6266,5.969656,526300.0,13.0,Al,I,0.0,0.5,5.969596,1.5,NBS,1.0,4.0
948,207.6674,5.968483,582200.0,13.0,Al,I,0.0,0.5,5.9684230000000005,1.5,NBS,1.0,4.0
953,207.7129,5.967176,646900.0,13.0,Al,I,0.0,0.5,5.967116000000001,1.5,NBS,1.0,4.0
959,207.7637,5.965717,720500.0,13.0,Al,I,0.0,0.5,5.965657,1.5,NBS,1.0,4.0
965,207.8208,5.964078,806100.0,13.0,Al,I,0.0,0.5,5.964019,1.5,NBS,1.0,4.0
967,207.8589,5.962984,264900.0,13.0,Al,I,0.013894,1.5,5.976818,2.5,NBS,1.0,6.0
969,207.8755,5.962507,285800.0,13.0,Al,I,0.013894,1.5,5.976341000000001,2.5,NBS,1.0,6.0
972,207.8851,5.962232,906000.0,13.0,Al,I,0.0,0.5,5.962172,1.5,NBS,1.0,4.0
973,207.8935,5.9619919999999995,309000.0,13.0,Al,I,0.013894,1.5,5.9758260000000005,2.5,NBS,1.0,6.0
976,207.913,5.961433,334900.0,13.0,Al,I,0.013894,1.5,5.975267,2.5,NBS,1.0,6.0
979,207.9342,5.960825,363800.0,13.0,Al,I,0.013894,1.5,5.974659,2.5,NBS,1.0,6.0
980,207.9573,5.960164,395100.0,13.0,Al,I,0.013894,1.5,5.973998,2.5,NBS,1.0,6.0
981,207.9581,5.96014,1023000.0,13.0,Al,I,0.0,0.5,5.9600800000000005,1.5,NBS,1.0,4.0
985,207.9825,5.959441,431200.0,13.0,Al,I,0.013894,1.5,5.973275,2.5,NBS,1.0,6.0
988,208.0101,5.958648999999999,471600.0,13.0,Al,I,0.013894,1.5,5.972483,2.5,NBS,1.0,6.0
992,208.0405,5.9577800000000005,516900.0,13.0,Al,I,0.013894,1.5,5.971614,2.5,NBS,1.0,6.0
994,208.0413,5.957756,1163000.0,13.0,Al,I,0.0,0.5,5.957696,1.5,NBS,1.0,4.0
997,208.0739,5.956822,569200.0,13.0,Al,I,0.013894,1.5,5.970656,2.5,NBS,1.0,6.0
1000,208.1109,5.955764,626800.0,13.0,Al,I,0.013894,1.5,5.969598,2.5,NBS,1.0,6.0
1005,208.1367,5.955025,1328000.0,13.0,Al,I,0.0,0.5,5.954966000000001,1.5,NBS,1.0,4.0
1006,208.1519,5.954591000000001,693300.0,13.0,Al,I,0.013894,1.5,5.968425,2.5,NBS,1.0,6.0
1010,208.1976,5.953285,770500.0,13.0,Al,I,0.013894,1.5,5.967119,2.5,NBS,1.0,6.0
1012,208.2469,5.951876,1523000.0,13.0,Al,I,0.0,0.5,5.951816,1.5,NBS,1.0,4.0
1013,208.2487,5.951825,860100.0,13.0,Al,I,0.013894,1.5,5.965659,2.5,NBS,1.0,6.0
1022,208.306,5.950187000000001,962300.0,13.0,Al,I,0.013894,1.5,5.964022,2.5,NBS,1.0,6.0
1028,208.3707,5.948341,1081000.0,13.0,Al,I,0.013894,1.5,5.962175,2.5,NBS,1.0,6.0
1029,208.375,5.948217,1762000.0,13.0,Al,I,0.0,0.5,5.948158,1.5,NBS,1.0,4.0
1036,208.444,5.946249,1221000.0,13.0,Al,I,0.013894,1.5,5.960083999999999,2.5,NBS,1.0,6.0
1049,208.5251,5.943935,2053000.0,13.0,Al,I,0.0,0.5,5.943875,1.5,NBS,1.0,4.0
1050,208.5275,5.943867,1385000.0,13.0,Al,I,0.013894,1.5,5.957701,2.5,NBS,1.0,6.0
1064,208.6234,5.941136,1581000.0,13.0,Al,I,0.013894,1.5,5.954971,2.5,NBS,1.0,6.0
1073,208.7027,5.938878,2408000.0,13.0,Al,I,0.0,0.5,5.938818,1.5,NBS,1.0,4.0
1074,208.734,5.937987000000001,1818000.0,13.0,Al,I,0.013894,1.5,5.951822,2.5,NBS,1.0,6.0
1086,208.8627,5.93433,2104000.0,13.0,Al,I,0.013894,1.5,5.948164,2.5,NBS,1.0,6.0
