,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
5082,234.861,5.277483999999999,684100000.0,4.0,Be,I,0.0,0.0,5.277431,1.0,PST,1.0,3.0
8331,249.4542,4.968771,75640000.0,4.0,Be,I,2.724959,0.0,7.693681,1.0,PST,1.0,3.0
8333,249.4581,4.968692,101600000.0,4.0,Be,I,2.7250389999999998,1.0,7.693681,2.0,PST,1.0,5.0
8334,249.4581,4.968692,56070000.0,4.0,Be,I,2.7250389999999998,1.0,7.693681,1.0,PST,1.0,3.0
8335,249.4728,4.9684,3790000.0,4.0,Be,I,2.72533,2.0,7.693681,1.0,PST,1.0,3.0
8336,249.4728,4.9684,135100000.0,4.0,Be,I,2.72533,2.0,7.693681,3.0,PST,1.0,7.0
8337,249.4728,4.9684,33640000.0,4.0,Be,I,2.72533,2.0,7.693681,2.0,PST,1.0,5.0
12697,265.0454,4.676503,94240000.0,4.0,Be,I,2.7250389999999998,1.0,7.401495,2.0,PST,1.0,5.0
12699,265.055,4.6763330000000005,127700000.0,4.0,Be,I,2.724959,0.0,7.401244999999999,1.0,PST,1.0,3.0
12701,265.0595,4.676253,94640000.0,4.0,Be,I,2.7250389999999998,1.0,7.401244999999999,1.0,PST,1.0,3.0
12702,265.0619,4.676211,284600000.0,4.0,Be,I,2.72533,2.0,7.401495,2.0,PST,1.0,5.0
12704,265.0695,4.676076999999999,383000000.0,4.0,Be,I,2.7250389999999998,1.0,7.401069000000001,0.0,PST,1.0,1.0
12707,265.076,4.675962,157000000.0,4.0,Be,I,2.72533,2.0,7.401244999999999,1.0,PST,1.0,3.0
22626,301.9297,4.105239,31050000.0,4.0,Be,I,7.303592999999999,1.0,11.40879,2.0,LCV,1.0,5.0
22628,301.9331,4.1051910000000005,93770000.0,4.0,Be,I,7.30364,2.0,11.40879,2.0,LCV,1.0,5.0
22635,301.9491,4.1049739999999995,31180000.0,4.0,Be,I,7.303592999999999,1.0,11.408526,1.0,LCV,1.0,3.0
22636,301.9491,4.1049739999999995,42060000.0,4.0,Be,I,7.303592999999999,0.0,11.408526,1.0,LCV,1.0,3.0
22637,301.9526,4.104927,51750000.0,4.0,Be,I,7.30364,2.0,11.408526,1.0,LCV,1.0,3.0
22639,301.9596,4.104832,126200000.0,4.0,Be,I,7.303592999999999,1.0,11.408384,0.0,LCV,1.0,1.0
25301,313.042,3.959517,115500000.0,4.01,Be,II,0.0,0.5,3.959478,1.5,BIE,2.0,4.0
25318,313.1065,3.958701,115700000.0,4.01,Be,II,0.0,0.5,3.9586620000000003,0.5,BIE,2.0,2.0
29786,332.101,3.7322919999999997,14230000.0,4.0,Be,I,2.724959,0.0,6.457214,1.0,PST,1.0,3.0
29788,332.1081,3.732212,41990000.0,4.0,Be,I,2.7250389999999998,1.0,6.457214,1.0,PST,1.0,3.0
29796,332.134,3.731921,69680000.0,4.0,Be,I,2.72533,2.0,6.457214,1.0,PST,1.0,3.0
33130,345.5183,3.587362,228000000.0,4.0,Be,I,5.277431,1.0,8.864757,0.0,LCV,1.0,1.0
34540,351.5541,3.5257730000000005,13270000.0,4.0,Be,I,5.277431,1.0,8.803168,2.0,NBS,1.0,5.0
39901,373.6297,3.317461,3793000.0,4.0,Be,I,5.277431,1.0,8.594859,0.0,NBS,1.0,1.0
41787,381.3453,3.250342,23030000.0,4.0,Be,I,5.277431,1.0,8.52774,2.0,NBS,1.0,5.0
54447,440.7937,2.811987,9024000.0,4.0,Be,I,5.277431,1.0,8.08939,0.0,NBS,1.0,1.0
57196,457.2665,2.710689,248600000.0,4.0,Be,I,5.277431,1.0,7.988092,2.0,PST,1.0,5.0
78756,698.2739,1.775109,655900.0,4.0,Be,I,5.277431,1.0,7.052522,2.0,LCV,1.0,5.0
