,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
291,202.1323,6.132394000000001,26330000.0,83.0,Bi,I,0.0,1.5,6.132333,1.5,CB,1.0,4.0
779,206.1627,6.012004,423900000.0,83.0,Bi,I,0.0,1.5,6.011944000000001,2.5,AMS,1.0,6.0
1402,211.0228,5.873587000000001,43070000.0,83.0,Bi,I,0.0,1.5,5.873528,0.5,CB,1.0,2.0
1743,213.3588,5.809396,46500000.0,83.0,Bi,I,1.4157790000000001,1.5,7.225117,2.5,CB,1.0,6.0
3112,222.8212,5.562644000000001,7689000.0,83.0,Bi,I,0.0,1.5,5.562588,1.5,AMS,1.0,4.0
3149,223.061,5.556668,3303000.0,83.0,Bi,I,0.0,1.5,5.556612,2.5,AMS,1.0,6.0
3836,227.6544,5.444486,10900000.0,83.0,Bi,I,0.0,1.5,5.444431,1.5,AMS,1.0,4.0
6113,240.0902,5.162597,74980000.0,83.0,Bi,I,1.9140259999999998,2.5,7.0765720000000005,2.5,CB,1.0,6.0
8899,251.5623,4.927054,9004000.0,83.0,Bi,I,1.4157790000000001,1.5,6.342784,2.5,CB,1.0,6.0
9187,252.4488,4.90977,37800000.0,83.0,Bi,I,1.4157790000000001,1.5,6.3255,1.5,CB,1.0,4.0
12129,262.8196,4.716601,296800000.0,83.0,Bi,I,1.4157790000000001,1.5,6.132333,1.5,CB,1.0,4.0
13937,269.6737,4.596211,284500000.0,83.0,Bi,I,1.4157790000000001,1.5,6.011944000000001,2.5,AMS,1.0,6.0
14834,273.0489,4.539541000000001,118400000.0,83.0,Bi,I,2.685622,0.5,7.225117,2.5,CB,1.0,6.0
16325,278.0496,4.457794,206300000.0,83.0,Bi,I,1.4157790000000001,1.5,5.873528,0.5,CB,1.0,2.0
17157,280.9626,4.411519,84050000.0,83.0,Bi,I,1.9140259999999998,2.5,6.3255,1.5,CB,1.0,4.0
19513,289.7992,4.277122,1580000000.0,83.0,Bi,I,1.4157790000000001,1.5,5.692858,0.5,CB,1.0,2.0
20542,293.868,4.218349,1498000000.0,83.0,Bi,I,1.9140259999999998,2.5,6.132333,1.5,CB,1.0,4.0
21889,298.9018,4.146851,956700000.0,83.0,Bi,I,1.4157790000000001,1.5,5.562588,1.5,AMS,1.0,4.0
21995,299.3334,4.140874,22050000.0,83.0,Bi,I,1.4157790000000001,1.5,5.556612,2.5,AMS,1.0,6.0
23774,306.7707,4.040458999999999,587800000.0,83.0,Bi,I,0.0,1.5,4.040418,0.5,AMS,1.0,2.0
23981,307.6632,4.0286919999999995,41270000.0,83.0,Bi,I,1.4157790000000001,1.5,5.444431,1.5,AMS,1.0,4.0
31750,339.7216,3.648572,213600000.0,83.0,Bi,I,1.9140259999999998,2.5,5.562561,1.5,AMS,1.0,4.0
34423,351.0847,3.530441,166300000.0,83.0,Bi,I,1.9140259999999998,2.5,5.444431,1.5,AMS,1.0,4.0
36489,359.6665,3.446746,218800000.0,83.0,Bi,I,2.685622,0.5,6.132333,1.5,CB,1.0,4.0
48897,412.1772,3.0072669999999997,78110000.0,83.0,Bi,I,2.685622,0.5,5.692858,0.5,CB,1.0,2.0
59180,472.2536,2.6246650000000002,14950000.0,83.0,Bi,I,1.4157790000000001,1.5,4.040418,0.5,AMS,1.0,2.0
