,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
7942,247.8561,5.000805000000001,18000000.0,6.0,C,I,2.684011,0.0,7.684766000000001,1.0,SW,1.0,3.0
32868,344.4714,3.598265,12900000.0,6.0,C,I,8.537097,1.0,12.135325,2.0,KP,1.0,5.0
33213,345.8503,3.583918,214300.0,6.0,C,I,7.487794999999999,2.0,11.071677000000001,3.0,KP,1.0,7.0
34406,351.0132,3.5312059999999996,242200.0,6.0,C,I,7.487794999999999,2.0,11.018965,2.0,KP,1.0,5.0
34526,351.4801,3.5265150000000003,122200.0,6.0,C,I,7.487794999999999,2.0,11.014275,3.0,KP,1.0,7.0
35207,354.653,3.4949660000000002,111000.0,6.0,C,I,8.640394,1.0,12.135325,2.0,KP,1.0,5.0
36455,359.5439,3.447425,253200.0,6.0,C,I,7.487794999999999,2.0,10.935186,2.0,KP,1.0,5.0
36479,359.6205,3.4466910000000004,184100.0,6.0,C,I,7.487794999999999,2.0,10.934452,1.0,KP,1.0,3.0
37784,364.8623,3.397175,675500.0,6.0,C,I,7.684766000000001,1.0,11.081907000000001,0.0,KP,1.0,1.0
37898,365.2824,3.393268,379900.0,6.0,C,I,7.684766000000001,1.0,11.078,2.0,KP,1.0,5.0
39118,370.5557,3.3449809999999998,843700.0,6.0,C,I,7.684766000000001,1.0,11.029714,0.0,KP,1.0,1.0
39279,371.2035,3.339144,412700.0,6.0,C,I,7.684766000000001,1.0,11.023876,2.0,KP,1.0,5.0
39884,373.5778,3.3179220000000003,112200.0,6.0,C,I,7.482772,1.0,10.800661,2.0,KP,1.0,5.0
40021,374.1441,3.3129,308200.0,6.0,C,I,7.487794999999999,2.0,10.800661,2.0,KP,1.0,5.0
40057,374.2855,3.3116489999999996,199700.0,6.0,C,I,7.487794999999999,2.0,10.79941,1.0,KP,1.0,3.0
41303,379.3678,3.267284,1111000.0,6.0,C,I,7.684766000000001,1.0,10.952017999999999,0.0,KP,1.0,1.0
41562,380.4305,3.2581580000000003,461700.0,6.0,C,I,7.684766000000001,1.0,10.942891,2.0,KP,1.0,5.0
45010,394.2223,3.144174,1631000.0,6.0,C,I,7.684766000000001,1.0,10.828909,0.0,KP,1.0,1.0
45340,395.6568,3.132775,2693000.0,6.0,C,I,9.002582,2.0,12.135325,2.0,KP,1.0,5.0
45445,396.1403,3.128951,615500.0,6.0,C,I,7.684766000000001,1.0,10.813686,2.0,KP,1.0,5.0
