,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
1913,214.4393,5.780021,282600000.0,48.01,Cd,II,0.0,0.5,5.779964,1.5,AS,2.0,4.0
3648,226.5019,5.472231,297000000.0,48.01,Cd,II,0.0,0.5,5.472176,0.5,AS,2.0,2.0
3683,226.7424,5.466428,10860000.0,48.0,Cd,I,3.800876,1.0,9.267248,1.0,CB,1.0,3.0
4020,228.8018,5.417231,920100000.0,48.0,Cd,I,0.0,0.0,5.417176,1.0,WA,1.0,3.0
4326,230.6624,5.373538,131200000.0,48.0,Cd,I,3.800876,1.0,9.174358999999999,0.0,CB,1.0,1.0
4430,231.2753,5.359299,70700000.0,48.01,Cd,II,5.779964,1.5,11.139209,2.5,AS,2.0,6.0
4725,232.9288,5.321257,44900000.0,48.0,Cd,I,3.946045,2.0,9.267248,1.0,CB,1.0,3.0
10606,257.2928,4.8174019999999995,322100000.0,48.01,Cd,II,5.472176,0.5,10.289530000000001,0.5,AS,2.0,2.0
17952,283.6892,4.3691830000000005,28910000.0,48.0,Cd,I,3.7336620000000003,0.0,8.102801,1.0,CB,1.0,3.0
19069,288.0736,4.302688,27920000.0,48.0,Cd,I,3.800876,1.0,8.10352,2.0,CB,1.0,5.0
19085,288.1218,4.301969000000001,11680000.0,48.0,Cd,I,3.800876,1.0,8.102801,1.0,CB,1.0,3.0
21660,298.0622,4.158504,41700000.0,48.0,Cd,I,3.946045,2.0,8.104507,3.0,CB,1.0,7.0
25360,313.3168,3.9560440000000003,11610000.0,48.0,Cd,I,3.800876,1.0,7.756881,1.0,WA,1.0,3.0
28332,326.105,3.800914,708000.0,48.0,Cd,I,0.0,0.0,3.800876,1.0,WA,1.0,3.0
31901,340.3652,3.6416730000000004,85680000.0,48.0,Cd,I,3.7336620000000003,0.0,7.375298,1.0,AS,1.0,3.0
33407,346.6202,3.5759589999999997,153200000.0,48.0,Cd,I,3.800876,1.0,7.376799,2.0,AS,1.0,5.0
33440,346.7657,3.5744580000000004,80660000.0,48.0,Cd,I,3.800876,1.0,7.375298,1.0,AS,1.0,3.0
36833,361.051,3.433035,187800000.0,48.0,Cd,I,3.946045,2.0,7.379046000000001,3.0,AS,1.0,7.0
36894,361.2875,3.430789,51190000.0,48.0,Cd,I,3.946045,2.0,7.376799,2.0,AS,1.0,5.0
36951,361.4455,3.4292879999999997,8525000.0,48.0,Cd,I,3.946045,2.0,7.375298,1.0,AS,1.0,3.0
58596,467.8149,2.649568,10880000.0,48.0,Cd,I,3.7336620000000003,0.0,6.383204,1.0,AS,1.0,3.0
60186,479.9914,2.582354,38400000.0,48.0,Cd,I,3.800876,1.0,6.383204,1.0,AS,1.0,3.0
63554,508.5824,2.437184,50590000.0,48.0,Cd,I,3.946045,2.0,6.383204,1.0,AS,1.0,3.0
75316,643.847,1.9251650000000002,31430000.0,48.0,Cd,I,5.417176,1.0,7.342322,2.0,CB',1.0,5.0
