,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
47952,407.64,3.040684,86130.0,17.0,Cl,I,8.9217,2.5,11.962354,2.5,KP,1.0,6.0
48565,410.478,3.019661,335200.0,17.0,Cl,I,8.9217,2.5,11.941331,1.5,KP,1.0,4.0
49416,414.7257,2.988734,1280000.0,17.0,Cl,I,8.987437,1.5,11.976141,0.5,KP,1.0,2.0
50365,419.6131,2.953924,1683000.0,17.0,Cl,I,8.987437,1.5,11.941331,1.5,KP,1.0,4.0
50583,420.6319,2.9467689999999997,3274000.0,17.0,Cl,I,9.029402000000001,0.5,11.976141,0.5,KP,1.0,2.0
50641,420.9665,2.944427,650600.0,17.0,Cl,I,8.9217,2.5,11.866098,1.5,KP,1.0,4.0
50971,422.6426,2.9327509999999997,812600.0,17.0,Cl,I,8.9217,2.5,11.854421,1.5,KP,1.0,4.0
51700,426.458,2.9065119999999998,769100.0,17.0,Cl,I,8.9217,2.5,11.828183000000001,2.5,KP,1.0,6.0
52525,430.504,2.879197,50450.0,17.0,Cl,I,8.9217,2.5,11.800868,3.5,KP,1.0,8.0
52889,432.3335,2.867013,3983000.0,17.0,Cl,I,8.987437,1.5,11.854421,1.5,KP,1.0,4.0
53170,433.7861,2.857412,1440000.0,17.0,Cl,I,8.987437,1.5,11.844821000000001,0.5,KP,1.0,2.0
53635,436.3268,2.840775,3598000.0,17.0,Cl,I,8.987437,1.5,11.828183000000001,2.5,KP,1.0,6.0
53750,436.9498,2.8367240000000002,2404000.0,17.0,Cl,I,9.029402000000001,0.5,11.866098,1.5,KP,1.0,4.0
53799,437.1544,2.835397,518200.0,17.0,Cl,I,8.9217,2.5,11.757067999999999,2.5,KP,1.0,6.0
53939,437.9896,2.82999,974800.0,17.0,Cl,I,8.987437,1.5,11.817399,1.5,KP,1.0,4.0
54083,438.7558,2.825048,143700.0,17.0,Cl,I,9.029402000000001,0.5,11.854421,1.5,KP,1.0,4.0
54108,438.9751,2.8236369999999997,2269000.0,17.0,Cl,I,8.9217,2.5,11.745308,3.5,KP,1.0,8.0
54126,439.0403,2.8232169999999996,4245000.0,17.0,Cl,I,9.029402000000001,0.5,11.852591,0.5,KP,1.0,2.0
54345,440.252,2.8154470000000003,507500.0,17.0,Cl,I,9.029402000000001,0.5,11.844821000000001,0.5,KP,1.0,2.0
54357,440.302,2.815127,4308000.0,17.0,Cl,I,8.9217,2.5,11.736799000000001,1.5,KP,1.0,4.0
55013,443.8488,2.792632,1664000.0,17.0,Cl,I,8.9217,2.5,11.714303999999998,2.5,KP,1.0,6.0
55147,444.5823,2.788025,1570000.0,17.0,Cl,I,9.029402000000001,0.5,11.817399,1.5,KP,1.0,4.0
55153,444.6139,2.787827,1849000.0,17.0,Cl,I,8.987437,1.5,11.775236,0.5,KP,1.0,2.0
55563,446.9368,2.7733369999999997,711800.0,17.0,Cl,I,9.202832,1.5,11.976141,0.5,KP,1.0,2.0
55656,447.5304,2.769659,1300000.0,17.0,Cl,I,8.987437,1.5,11.757067999999999,2.5,KP,1.0,6.0
55916,449.1032,2.75996,153900.0,17.0,Cl,I,9.202832,1.5,11.962764,1.5,KP,1.0,4.0
55930,449.17,2.7595490000000003,102500.0,17.0,Cl,I,9.202832,1.5,11.962354,2.5,KP,1.0,6.0
56176,450.8298,2.74939,461100.0,17.0,Cl,I,8.987437,1.5,11.736799000000001,1.5,KP,1.0,4.0
56460,452.6182,2.738526,7950000.0,17.0,Cl,I,9.202832,1.5,11.941331,1.5,KP,1.0,4.0
56762,454.5489,2.7268950000000003,204400.0,17.0,Cl,I,8.987437,1.5,11.714303999999998,2.5,KP,1.0,6.0
