,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
4122,229.4167,5.402712999999999,1700000.0,31.0,Ga,I,0.0,0.5,5.402659,1.5,CB,1.0,4.0
4895,233.8227,5.300917,3784000.0,31.0,Ga,I,0.102441,1.5,5.403304,2.5,CB,1.0,6.0
5507,237.128,5.2270330000000005,6964000.0,31.0,Ga,I,0.0,0.5,5.22698,0.5,CB,1.0,2.0
6532,241.8686,5.124591000000001,32040000.0,31.0,Ga,I,0.102441,1.5,5.22698,0.5,CB,1.0,2.0
7282,245.0075,5.058943,103100000.0,31.0,Ga,I,0.0,0.5,5.058892,1.5,CB,1.0,4.0
8472,250.0187,4.957553,120200000.0,31.0,Ga,I,0.102441,1.5,5.059944000000001,2.5,CB,1.0,6.0
8485,250.0717,4.956501,16810000.0,31.0,Ga,I,0.102441,1.5,5.058892,1.5,CB,1.0,4.0
12039,262.4801,4.7222040000000005,1437000.0,31.0,Ga,I,0.102441,1.5,4.824597,2.5,CB,1.0,6.0
12247,263.2735,4.707975,152100000.0,31.0,Ga,I,0.0,0.5,4.707928,0.5,GUES,1.0,2.0
12922,265.9871,4.659946,41030000.0,31.0,Ga,I,0.0,0.5,4.659899,0.5,CB,1.0,2.0
13052,266.5038,4.650912,74200000.0,31.0,Ga,I,0.102441,1.5,4.753305999999999,1.5,GUES,1.0,4.0
13760,269.1298,4.605533,91820000.0,31.0,Ga,I,0.102441,1.5,4.707928,0.5,GUES,1.0,2.0
14541,271.9662,4.557504,98580000.0,31.0,Ga,I,0.102441,1.5,4.659899,0.5,CB,1.0,2.0
18907,287.4234,4.312421,146100000.0,31.0,Ga,I,0.0,0.5,4.312377,1.5,CB,1.0,4.0
20685,294.3634,4.210754,189700000.0,31.0,Ga,I,0.102441,1.5,4.313152,2.5,CB,1.0,6.0
20699,294.4176,4.209979,45070000.0,31.0,Ga,I,0.102441,1.5,4.312377,1.5,CB,1.0,4.0
47037,403.2976,3.073423,49160000.0,31.0,Ga,I,0.0,0.5,3.0733919999999997,0.5,CB,1.0,2.0
49903,417.2039,2.970981,102800000.0,31.0,Ga,I,0.102441,1.5,3.0733919999999997,0.5,CB,1.0,2.0
75047,639.6577,1.937773,40730000.0,31.0,Ga,I,3.0733919999999997,0.5,5.011146,1.5,GUES,1.0,4.0
75153,641.3468,1.93267,40610000.0,31.0,Ga,I,3.0733919999999997,0.5,5.006043,0.5,GUES,1.0,2.0
