,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
7693,246.8225,5.021744,307000000.0,64.01,Gd,II,1.060195,5.5,6.081889,4.5,MC,2.0,10.0
7772,247.1598,5.014891,228500000.0,64.01,Gd,II,1.101576,4.5,6.116417,3.5,MC,2.0,8.0
8101,248.5683,4.986478,207400000.0,64.01,Gd,II,1.1566319999999999,2.5,6.14306,2.5,MC,2.0,6.0
8143,248.7472,4.982891,292600000.0,64.01,Gd,II,1.133576,3.5,6.116417,3.5,MC,2.0,8.0
8173,248.8735,4.980363,340300000.0,64.01,Gd,II,1.101576,4.5,6.081889,4.5,MC,2.0,10.0
8300,249.3298,4.971248999999999,326700000.0,64.01,Gd,II,1.171861,1.5,6.14306,2.5,MC,2.0,6.0
8379,249.6367,4.965138,205200000.0,64.01,Gd,II,1.171861,1.5,6.1369489999999995,2.5,MC,2.0,6.0
8451,249.9036,4.959835,189300000.0,64.01,Gd,II,1.1566319999999999,2.5,6.116417,3.5,MC,2.0,8.0
9730,254.3696,4.872761,24930000.0,64.01,Gd,II,0.42703100000000005,3.5,5.299743,2.5,MC,2.0,6.0
10974,258.6147,4.792781,18390000.0,64.01,Gd,II,0.492486,4.5,5.2852190000000006,3.5,MC,2.0,8.0
12961,266.1506,4.657083999999999,92810000.0,64.01,Gd,II,1.424852,5.5,6.081889,4.5,MC,2.0,10.0
15388,275.0223,4.506864,134300000.0,64.01,Gd,II,0.424928,3.5,4.9317459999999995,3.5,MC,2.0,8.0
15798,276.4073,4.484282,155800000.0,64.01,Gd,II,0.35418299999999997,1.5,4.838419999999999,2.5,MC,2.0,6.0
15934,276.8507,4.4771,9405000.0,64.01,Gd,II,0.424928,3.5,4.901983,4.5,MC,2.0,10.0
15983,276.9808,4.474997,75160000.0,64.01,Gd,II,0.42703100000000005,3.5,4.901983,4.5,MC,2.0,10.0
15993,277.0172,4.474409,60920000.0,64.01,Gd,II,0.382121,2.5,4.856485,3.5,MC,2.0,8.0
16017,277.0995,4.473081,20820000.0,64.01,Gd,II,0.35418299999999997,1.5,4.827219,0.5,MC,2.0,2.0
16261,277.8765,4.460573999999999,29100000.0,64.0,Gd,I,0.026672,3.0,4.487202,4.0,MC,1.0,9.0
16279,277.9141,4.459969999999999,21730000.0,64.01,Gd,II,0.35418299999999997,1.5,4.814108,1.5,MC,2.0,4.0
16345,278.1402,4.4563440000000005,149700000.0,64.01,Gd,II,0.382121,2.5,4.838419999999999,2.5,MC,2.0,6.0
16536,278.7681,4.446308,39350000.0,64.0,Gd,I,0.066081,4.0,4.512344000000001,5.0,MC,1.0,11.0
16665,279.1966,4.4394849999999995,85320000.0,64.01,Gd,II,0.42703100000000005,3.5,4.866471,4.5,MC,2.0,10.0
16720,279.4664,4.435198000000001,30620000.0,64.01,Gd,II,0.35418299999999997,1.5,4.7893360000000005,2.5,MC,2.0,6.0
16791,279.6933,4.431601000000001,249100000.0,64.01,Gd,II,0.424928,3.5,4.856485,3.5,MC,2.0,8.0
17125,280.8381,4.413537,20640000.0,64.01,Gd,II,0.424928,3.5,4.838419999999999,2.5,MC,2.0,6.0
17161,280.972,4.411434,257900000.0,64.01,Gd,II,0.42703100000000005,3.5,4.838419999999999,2.5,MC,2.0,6.0
17204,281.0926,4.409541,38210000.0,64.01,Gd,II,0.492486,4.5,4.901983,4.5,MC,2.0,10.0
17312,281.4009,4.40471,23610000.0,64.01,Gd,II,0.990915,6.5,5.395581,6.5,MC,2.0,14.0
17857,283.3748,4.374029,66550000.0,64.01,Gd,II,0.492486,4.5,4.866471,4.5,MC,2.0,10.0
17947,283.6692,4.369491,41420000.0,64.01,Gd,II,1.2328709999999998,5.5,5.6023190000000005,4.5,MC,2.0,10.0
17957,283.6998,4.369019000000001,14960000.0,64.01,Gd,II,0.382121,2.5,4.7510959999999995,3.5,MC,2.0,8.0
18043,284.0233,4.364043,152100000.0,64.01,Gd,II,0.492486,4.5,4.856485,3.5,MC,2.0,8.0
18077,284.1336,4.362349,43520000.0,64.01,Gd,II,0.42703100000000005,3.5,4.7893360000000005,2.5,MC,2.0,6.0
18478,285.6522,4.3391589999999995,20990000.0,64.01,Gd,II,0.49930399999999997,1.5,4.838419999999999,2.5,MC,2.0,6.0
18555,285.9782,4.334213,5201000.0,64.01,Gd,II,0.522315,2.5,4.856485,3.5,MC,2.0,8.0
18617,286.2445,4.330181,39020000.0,64.01,Gd,II,0.6016090000000001,4.5,4.9317459999999995,3.5,MC,2.0,8.0
18672,286.5071,4.326211,12930000.0,64.01,Gd,II,0.424928,3.5,4.7510959999999995,3.5,MC,2.0,8.0
18704,286.6339,4.324299,47670000.0,64.01,Gd,II,1.276116,4.5,5.600371,4.5,MC,2.0,10.0
18847,287.1752,4.316148,14070000.0,64.01,Gd,II,0.522315,2.5,4.838419999999999,2.5,MC,2.0,6.0
19089,288.1327,4.301805,112400000.0,64.01,Gd,II,0.600221,5.5,4.901983,4.5,MC,2.0,10.0
19107,288.2134,4.300601,11020000.0,64.01,Gd,II,0.5559270000000001,3.5,4.856485,3.5,MC,2.0,8.0
19179,288.5598,4.295438,47670000.0,64.01,Gd,II,0.990915,6.5,5.28631,7.5,MC,2.0,16.0
19734,290.7441,4.263169,26230000.0,64.01,Gd,II,1.127325,5.5,5.390452,4.5,MC,2.0,10.0
19812,291.0525,4.258653,37230000.0,64.01,Gd,II,0.492486,4.5,4.7510959999999995,3.5,MC,2.0,8.0
19875,291.3079,4.254918,16710000.0,64.01,Gd,II,0.6016090000000001,4.5,4.856485,3.5,MC,2.0,8.0
20025,291.8516,4.246993,29680000.0,64.01,Gd,II,1.2328709999999998,5.5,5.479821,6.5,MC,2.0,14.0
20149,292.3319,4.2400150000000005,23560000.0,64.01,Gd,II,0.662011,5.5,4.901983,4.5,MC,2.0,10.0
20180,292.4253,4.238659999999999,20830000.0,64.01,Gd,II,1.127325,5.5,5.365943,5.5,MC,2.0,12.0
20291,292.8336,4.232751,10630000.0,64.01,Gd,II,0.35418299999999997,1.5,4.586892,1.5,MC,2.0,4.0
20800,294.7793,4.204813,10690000.0,64.01,Gd,II,0.382121,2.5,4.586892,1.5,MC,2.0,4.0
20807,294.8011,4.204502,16170000.0,64.01,Gd,II,0.662011,5.5,4.866471,4.5,MC,2.0,10.0
20932,295.2434,4.198205000000001,12150000.0,64.0,Gd,I,0.21314,6.0,4.411302,7.0,MC,1.0,15.0
20997,295.5594,4.193716,18980000.0,64.01,Gd,II,1.127325,5.5,5.320999,5.5,MC,2.0,12.0
21135,296.0926,4.186164,13740000.0,64.01,Gd,II,0.382121,2.5,4.568243,2.5,MC,2.0,6.0
21205,296.3605,4.1823809999999995,59030000.0,64.01,Gd,II,1.127325,5.5,5.309664,6.5,MC,2.0,14.0
21267,296.5428,4.17981,12720000.0,64.01,Gd,II,0.600221,5.5,4.779989,5.5,MC,2.0,12.0
21447,297.2742,4.1695269999999995,4125000.0,64.01,Gd,II,0.382121,2.5,4.551606,3.5,MC,2.0,8.0
21650,298.0156,4.159154,26010000.0,64.01,Gd,II,0.078516,4.5,4.237628,5.5,MC,2.0,12.0
