,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
3565,226.026,5.483752,191700000.0,80.01,Hg,II,6.383326,0.5,11.867023,0.5,MIG,2.0,2.0
7598,246.4058,5.030236,2418000.0,80.0,Hg,I,4.667395,0.0,9.69758,1.0,WA,1.0,3.0
9524,253.6517,4.886551,14330000.0,80.0,Hg,I,0.0,0.0,4.886502,1.0,WA,1.0,3.0
10690,257.6285,4.811126,6468000.0,80.0,Hg,I,4.886502,1.0,9.69758,1.0,WA,1.0,3.0
15454,275.2777,4.502682,5691000.0,80.0,Hg,I,4.667395,0.0,9.170032,1.0,WA,1.0,3.0
17352,281.4962,4.403219,140200.0,80.01,Hg,II,0.0,0.5,4.403175,2.5,GUES,2.0,6.0
18232,284.7679,4.352633,325700000.0,80.01,Hg,II,7.514434,1.5,11.867023,0.5,MIG,2.0,2.0
19387,289.3592,4.2835730000000005,14350000.0,80.0,Hg,I,4.886502,1.0,9.170032,1.0,WA,1.0,3.0
20209,292.5406,4.2369900000000005,8578000.0,80.0,Hg,I,5.4606330000000005,2.0,9.69758,1.0,WA,1.0,3.0
21315,296.7278,4.177204,744800000.0,80.0,Hg,I,4.667395,0.0,8.844557,1.0,CB,1.0,3.0
22686,302.1495,4.102251,56020000.0,80.0,Hg,I,5.4606330000000005,2.0,9.562842999999999,3.0,CB,1.0,7.0
25181,312.5665,3.9655400000000003,156700000.0,80.0,Hg,I,4.886502,1.0,8.852003,2.0,CB,1.0,5.0
25329,313.1545,3.9580940000000004,206700000.0,80.0,Hg,I,4.886502,1.0,8.844557,1.0,CB,1.0,3.0
25336,313.1838,3.957725,124000000.0,80.0,Hg,I,4.886502,1.0,8.844187,2.0,CB,1.0,5.0
30325,334.1473,3.709436,15810000.0,80.0,Hg,I,5.4606330000000005,2.0,9.170032,1.0,WA,1.0,3.0
37941,365.4832,3.391404,137800000.0,80.0,Hg,I,5.4606330000000005,2.0,8.852003,2.0,CB,1.0,5.0
38119,366.2875,3.3839580000000002,61530000.0,80.0,Hg,I,5.4606330000000005,2.0,8.844557,1.0,CB,1.0,3.0
38129,366.3275,3.3835879999999996,108900000.0,80.0,Hg,I,5.4606330000000005,2.0,8.844187,2.0,CB,1.0,5.0
45978,398.389,3.111291,1955000.0,80.01,Hg,II,4.403175,2.5,7.514434,1.5,MMD,2.0,4.0
47335,404.6559,3.063107,18600000.0,80.0,Hg,I,4.667395,0.0,7.7304710000000005,1.0,AS,1.0,3.0
47995,407.7827,3.03962,13580000.0,80.0,Hg,I,4.886502,1.0,7.926092,0.0,WA,1.0,1.0
48638,410.8046,3.017261,3440000.0,80.0,Hg,I,6.703674,1.0,9.720905,0.0,WA,1.0,1.0
53535,435.8323,2.8439970000000003,48430000.0,80.0,Hg,I,4.886502,1.0,7.7304710000000005,1.0,AS,1.0,3.0
61643,491.6062,2.521344,8603000.0,80.0,Hg,I,6.703674,1.0,9.224993,0.0,WA,1.0,1.0
67510,546.0731,2.269861,54360000.0,80.0,Hg,I,5.4606330000000005,2.0,7.7304710000000005,1.0,AS,1.0,3.0
70534,576.9593,2.14835,170900000.0,80.0,Hg,I,6.703674,1.0,8.852003,2.0,CB,1.0,5.0
70746,579.066,2.140534,203900000.0,80.0,Hg,I,6.703674,1.0,8.844187,2.0,CB,1.0,5.0
