,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
133,201.0648,6.164451000000001,4989000.0,77.0,Ir,I,0.0,4.5,6.164389,5.5,CB',1.0,12.0
318,202.2359,6.128757,7464000.0,77.0,Ir,I,0.35149400000000003,4.5,6.480189,5.5,CB',1.0,12.0
469,203.3577,6.094954,10900000.0,77.0,Ir,I,0.0,4.5,6.094893,4.5,CB',1.0,10.0
686,205.2224,6.039582,12860000.0,77.0,Ir,I,0.784071,3.5,6.823592999999999,4.5,CB',1.0,10.0
771,206.0653,6.014880000000001,14550000.0,77.0,Ir,I,0.8811100000000001,3.5,6.895929,3.5,CB',1.0,8.0
1023,208.3222,5.949725,12110000.0,77.0,Ir,I,0.7172029999999999,2.5,6.666867999999999,3.5,CB',1.0,8.0
1058,208.574,5.942543,9233000.0,77.0,Ir,I,0.8811100000000001,3.5,6.823592999999999,4.5,CB',1.0,10.0
1087,208.8831,5.933751,13030000.0,77.0,Ir,I,0.0,4.5,5.933692,5.5,CB',1.0,12.0
1151,209.2639,5.922954,22560000.0,77.0,Ir,I,0.35149400000000003,4.5,6.274389,5.5,CB',1.0,12.0
1451,211.2685,5.8667620000000005,9642000.0,77.0,Ir,I,0.784071,3.5,6.650774,4.5,CB',1.0,10.0
1554,211.9539,5.847792,2620000.0,77.0,Ir,I,0.0,4.5,5.847733,3.5,CB',1.0,8.0
1624,212.5439,5.831561,10860000.0,77.0,Ir,I,0.8811100000000001,3.5,6.712611999999999,3.5,CB',1.0,8.0
1658,212.7504,5.825901,5689000.0,77.0,Ir,I,0.35149400000000003,4.5,6.1773370000000005,3.5,CB',1.0,8.0
1665,212.7937,5.824717,7496000.0,77.0,Ir,I,0.0,4.5,5.824659,3.5,CB',1.0,8.0
1968,214.8222,5.769722,19480000.0,77.0,Ir,I,0.8811100000000001,3.5,6.650774,4.5,CB',1.0,10.0
2002,215.0545,5.763489,21220000.0,77.0,Ir,I,0.505725,1.5,6.269157,1.5,CB',1.0,4.0
2076,215.5812,5.749409,4331000.0,77.0,Ir,I,0.0,4.5,5.749352,4.5,CB',1.0,10.0
2104,215.8047,5.743457,24870000.0,77.0,Ir,I,0.35149400000000003,4.5,6.094893,4.5,CB',1.0,10.0
2165,216.287,5.73065,3340000.0,77.0,Ir,I,0.0,4.5,5.730593,4.5,CB',1.0,10.0
2342,217.5248,5.698045,6305000.0,77.0,Ir,I,0.0,4.5,5.697988,5.5,CB',1.0,12.0
2386,217.8163,5.690418,5554000.0,77.0,Ir,I,0.0,4.5,5.690361,3.5,CB',1.0,8.0
2585,219.1639,5.655435,3624000.0,77.0,Ir,I,0.35149400000000003,4.5,6.006872,3.5,CB',1.0,8.0
2981,222.0373,5.582253,5393000.0,77.0,Ir,I,0.35149400000000003,4.5,5.933692,5.5,CB',1.0,12.0
