,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
202,201.5123,6.150761,15740000.0,42.01,Mo,II,0.0,2.5,6.1507,2.5,CB',2.0,6.0
271,202.0324,6.1349290000000005,25700000.0,42.01,Mo,II,0.0,2.5,6.134867,3.5,CB',2.0,8.0
521,203.8463,6.080348000000001,28390000.0,42.01,Mo,II,0.0,2.5,6.080287,1.5,CB',2.0,4.0
615,204.5984,6.057999,18360000.0,42.01,Mo,II,0.0,2.5,6.057939,2.5,CB',2.0,6.0
1009,208.1696,5.954085,8810000.0,42.01,Mo,II,0.0,2.5,5.954025,1.5,CB',2.0,4.0
1101,208.9539,5.931739,16430000.0,42.01,Mo,II,1.884467,2.5,7.816146000000001,2.5,CB',2.0,6.0
1147,209.2521,5.923289,12570000.0,42.01,Mo,II,1.9007470000000002,3.5,7.823977,3.5,CB',2.0,8.0
1156,209.3117,5.921602,14900000.0,42.01,Mo,II,1.9151799999999999,5.5,7.836722,5.5,CB',2.0,12.0
1269,210.0857,5.899786,17620000.0,42.01,Mo,II,1.912795,4.5,7.812522,3.5,CB',2.0,8.0
1316,210.4295,5.890149,7900000.0,42.01,Mo,II,1.9151799999999999,5.5,7.80527,4.5,CB',2.0,10.0
1363,210.8041,5.879685,7193000.0,42.01,Mo,II,2.8824080000000003,6.5,8.762034,5.5,CB',2.0,12.0
3718,226.9711,5.460921,9032000.0,42.01,Mo,II,1.9151799999999999,5.5,7.376047,6.5,CB',2.0,14.0
4285,230.4277,5.379009,10690000.0,42.01,Mo,II,3.425311,5.5,8.804267,4.5,CB',2.0,10.0
4331,230.6988,5.372688,5869000.0,42.01,Mo,II,1.912795,4.5,7.285429,5.5,CB',2.0,12.0
4661,232.5878,5.329058,73380000.0,42.0,Mo,I,1.530744,4.0,6.859748,3.0,CB',1.0,7.0
4771,233.2129,5.314775,6892000.0,42.01,Mo,II,1.9007470000000002,3.5,7.215469000000001,4.5,CB',2.0,10.0
4948,234.1597,5.293287,14850000.0,42.01,Mo,II,1.884467,2.5,7.177701,3.5,CB',2.0,8.0
5203,235.5459,5.262139,15050000.0,42.01,Mo,II,1.946448,1.5,7.208533999999999,1.5,CB',2.0,4.0
5397,236.6106,5.238462999999999,10810000.0,42.01,Mo,II,1.9701240000000002,0.5,7.208533999999999,1.5,CB',2.0,4.0
5891,238.924,5.187744,17270000.0,42.01,Mo,II,2.9574380000000002,3.5,8.145131,4.5,CB',2.0,10.0
6179,240.3589,5.156776,20560000.0,42.01,Mo,II,2.954898,4.5,8.111623,5.5,CB',2.0,12.0
6212,240.4675,5.154448,25330000.0,42.01,Mo,II,3.038766,3.5,8.193162,2.5,CB',2.0,6.0
6391,241.2841,5.137004,10370000.0,42.01,Mo,II,2.782746,2.5,7.9196990000000005,3.5,CB',2.0,8.0
6395,241.3009,5.136646,82740000.0,42.01,Mo,II,1.9701240000000002,0.5,7.106717999999999,0.5,CB',2.0,2.0
6512,241.796,5.12613,31250000.0,42.01,Mo,II,2.082456,0.5,7.208533999999999,1.5,CB',2.0,4.0
6538,241.9015,5.123895,18770000.0,42.01,Mo,II,2.967482,2.5,8.091327,3.5,CB',2.0,8.0
6580,242.0182,5.121423,44070000.0,42.01,Mo,II,2.992687,1.5,8.114059,1.5,CB',2.0,4.0
6662,242.3985,5.113389,14310000.0,42.01,Mo,II,2.954898,4.5,8.068236,5.5,CB',2.0,12.0
