,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
14,200.1472,6.1927080000000005,13680000.0,76.0,Os,I,0.0,4.0,6.192646,3.0,CB',1.0,7.0
41,200.3738,6.185704,49110000.0,76.0,Os,I,0.51569,3.0,6.701332000000001,2.0,CB',1.0,5.0
245,201.8153,6.14153,31080000.0,76.0,Os,I,0.0,4.0,6.141468,5.0,CB',1.0,11.0
326,202.2757,6.127551,55330000.0,76.0,Os,I,0.339777,2.0,6.467267,2.0,CB',1.0,5.0
394,202.824,6.110991,36760000.0,76.0,Os,I,0.51569,3.0,6.626619,4.0,CB',1.0,9.0
479,203.4426,6.09241,33260000.0,76.0,Os,I,0.0,4.0,6.092349,3.0,CB',1.0,7.0
632,204.8297,6.051158,35650000.0,76.0,Os,I,0.339777,2.0,6.390875,2.0,CB',1.0,5.0
650,204.9436,6.047797,31300000.0,76.0,Os,I,0.51569,3.0,6.563426,3.0,CB',1.0,7.0
780,206.1701,6.011823000000001,49010000.0,76.0,Os,I,0.339777,2.0,6.351541,3.0,CB',1.0,7.0
891,207.0696,5.985712,1814000000.0,76.01,Os,II,0.487126,2.5,6.472779,3.5,CB,2.0,8.0
952,207.6961,5.967657,13960000.0,76.0,Os,I,0.0,4.0,5.9675970000000005,4.0,CB',1.0,9.0
987,207.9974,5.959015,22200000.0,76.0,Os,I,0.0,4.0,5.958956,5.0,CB',1.0,11.0
1014,208.2553,5.951637,22790000.0,76.0,Os,I,0.51569,3.0,6.467267,2.0,CB',1.0,5.0
1091,208.9046,5.933141,5885000.0,76.0,Os,I,0.0,4.0,5.933082,4.0,CB',1.0,9.0
1098,208.9226,5.932629,29970000.0,76.0,Os,I,0.339777,2.0,6.272347,1.0,CB',1.0,3.0
1222,209.7618,5.9088959999999995,21700000.0,76.0,Os,I,0.6377649999999999,5.0,6.546601,6.0,CB',1.0,13.0
1263,210.0638,5.900403,27800000.0,76.0,Os,I,0.339777,2.0,6.240121,3.0,CB',1.0,7.0
1524,211.7679,5.852926999999999,11670000.0,76.0,Os,I,0.339777,2.0,6.192646,3.0,CB',1.0,7.0
1530,211.7963,5.852144,9346000.0,76.0,Os,I,0.0,4.0,5.852085,5.0,CB',1.0,11.0
1606,212.3855,5.835909,14610000.0,76.0,Os,I,0.51569,3.0,6.351541,3.0,CB',1.0,7.0
1801,213.7087,5.799780999999999,35480000.0,76.0,Os,I,0.51569,3.0,6.3154129999999995,4.0,CB',1.0,9.0
2059,215.4605,5.752629,20510000.0,76.0,Os,I,0.339777,2.0,6.092349,3.0,CB',1.0,7.0
2101,215.7844,5.743996,5379000.0,76.0,Os,I,0.0,4.0,5.743939,3.0,CB',1.0,7.0
2111,215.8538,5.742151,23360000.0,76.0,Os,I,0.339777,2.0,6.081871,1.0,CB',1.0,3.0
2225,216.6907,5.719974,27410000.0,76.0,Os,I,0.51569,3.0,6.235607,4.0,CB',1.0,9.0
2294,217.1674,5.707422,26380000.0,76.0,Os,I,0.339777,2.0,6.047142,2.0,CB',1.0,5.0
