,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
7236,244.791,5.063416999999999,27490000.0,46.0,Pd,I,0.0,0.0,5.063366,1.0,CB,1.0,3.0
7884,247.6417,5.005135,37940000.0,46.0,Pd,I,0.0,0.0,5.005085,1.0,CB,1.0,3.0
8118,248.6521,4.984797,373800000.0,46.01,Pd,II,3.359265,3.5,8.344013,4.5,CB,2.0,10.0
8179,248.8917,4.979998999999999,1172000000.0,46.01,Pd,II,3.109648,4.5,8.089597,3.5,CB,2.0,8.0
8440,249.8803,4.960298000000001,476900000.0,46.01,Pd,II,4.00195,3.5,8.962197999999999,4.5,CB,2.0,10.0
15764,276.3093,4.485873000000001,20600000.0,46.0,Pd,I,0.0,0.0,4.485828,1.0,CB,1.0,3.0
18421,285.4583,4.342105999999999,283700000.0,46.01,Pd,II,4.00195,3.5,8.344013,4.5,CB,2.0,10.0
20125,292.2493,4.241213,12980000.0,46.0,Pd,I,0.813846,3.0,5.055016999999999,2.0,CB,1.0,5.0
22228,300.2649,4.127999,9200000.0,46.0,Pd,I,0.813846,3.0,4.941803,3.0,CB,1.0,7.0
22400,300.9766,4.118238,20070000.0,46.0,Pd,I,3.11214,4.0,7.230337,4.0,CB,1.0,9.0
22836,302.791,4.093562,40050000.0,46.0,Pd,I,0.9614959999999999,2.0,5.055016999999999,2.0,CB,1.0,5.0
23712,306.5301,4.043629,44040000.0,46.0,Pd,I,0.9614959999999999,2.0,5.005085,1.0,CB,1.0,3.0
24908,311.4038,3.980347,38210000.0,46.0,Pd,I,0.9614959999999999,2.0,4.941803,3.0,CB,1.0,7.0
25612,314.2755,3.943977,139600000.0,46.0,Pd,I,3.11214,4.0,7.056077,4.0,CB,1.0,9.0
27929,324.27,3.822422,77080000.0,46.0,Pd,I,0.813846,3.0,4.636229,3.0,BG,1.0,7.0
28119,325.1638,3.811915,170800000.0,46.0,Pd,I,1.2514889999999999,1.0,5.063366,1.0,CB,1.0,3.0
28273,325.8776,3.8035660000000004,125500000.0,46.0,Pd,I,1.2514889999999999,1.0,5.055016999999999,2.0,CB,1.0,5.0
28952,328.7248,3.7706230000000005,5771000.0,46.0,Pd,I,0.813846,3.0,4.5844309999999995,2.0,CB,1.0,5.0
29279,330.2127,3.753633,199100000.0,46.0,Pd,I,1.2514889999999999,1.0,5.005085,1.0,CB,1.0,3.0
31104,337.2996,3.6747699999999996,51610000.0,46.0,Pd,I,0.9614959999999999,2.0,4.636229,3.0,CB,1.0,7.0
31917,340.4579,3.640681,133500000.0,46.0,Pd,I,0.813846,3.0,4.454491,4.0,BG,1.0,9.0
32287,342.1222,3.6229709999999997,168500000.0,46.0,Pd,I,0.9614959999999999,2.0,4.5844309999999995,2.0,CB,1.0,5.0
32577,343.3432,3.6100879999999997,327600000.0,46.0,Pd,I,1.453314,2.0,5.063366,1.0,CB,1.0,3.0
32780,344.1391,3.601739,246300000.0,46.0,Pd,I,1.453314,2.0,5.055016999999999,2.0,CB,1.0,5.0
33268,346.0739,3.581603,30230000.0,46.0,Pd,I,0.813846,3.0,4.395413,3.0,BG,1.0,7.0
33763,348.115,3.560604,224600000.0,46.0,Pd,I,1.2514889999999999,1.0,4.812057,2.0,CB,1.0,5.0
33963,348.9773,3.5518059999999996,117800000.0,46.0,Pd,I,1.453314,2.0,5.005085,1.0,CB,1.0,3.0
34571,351.6944,3.524367,103400000.0,46.0,Pd,I,0.9614959999999999,2.0,4.485828,1.0,BG,1.0,3.0
35381,355.308,3.488524,261600000.0,46.0,Pd,I,1.453314,2.0,4.941803,3.0,CB,1.0,7.0
35862,357.1153,3.4708690000000004,424900000.0,46.0,Pd,I,1.2514889999999999,1.0,4.7223239999999995,0.0,CB,1.0,1.0
36805,360.9547,3.4339519999999997,82010000.0,46.0,Pd,I,0.9614959999999999,2.0,4.395413,3.0,BG,1.0,7.0
37433,363.469,3.410197,124200000.0,46.0,Pd,I,0.813846,3.0,4.224009,2.0,CB,1.0,5.0
38757,369.0336,3.358777,44750000.0,46.0,Pd,I,1.453314,2.0,4.812057,2.0,BG,1.0,5.0
39458,371.8905,3.332975,19680000.0,46.0,Pd,I,1.2514889999999999,1.0,4.5844309999999995,2.0,CB,1.0,5.0
41449,379.9188,3.2625450000000003,9452000.0,46.0,Pd,I,0.9614959999999999,2.0,4.224009,2.0,CB,1.0,5.0
42276,383.2284,3.234371,28830000.0,46.0,Pd,I,1.2514889999999999,1.0,4.485828,1.0,CB,1.0,3.0
43794,389.42,3.182947,18530000.0,46.0,Pd,I,1.453314,2.0,4.636229,3.0,BG,1.0,7.0
45390,395.8623,3.131148,12580000.0,46.0,Pd,I,1.453314,2.0,4.5844309999999995,2.0,BG,1.0,5.0
48205,408.7343,3.0325439999999997,6080000.0,46.0,Pd,I,1.453314,2.0,4.485828,1.0,CB,1.0,3.0
49854,416.9838,2.97255,637800.0,46.0,Pd,I,1.2514889999999999,1.0,4.224009,2.0,CB,1.0,5.0
50716,421.2954,2.942129,19040000.0,46.0,Pd,I,1.453314,2.0,4.395413,3.0,CB,1.0,7.0
55627,447.3586,2.770722,1392000.0,46.0,Pd,I,1.453314,2.0,4.224009,2.0,CB,1.0,5.0
60042,478.8216,2.588663,45540000.0,46.0,Pd,I,4.224009,2.0,6.812646000000001,3.0,CB,1.0,7.0
60407,481.7543,2.572905,53610000.0,46.0,Pd,I,4.224009,2.0,6.796888,2.0,CB,1.0,5.0
61144,487.5457,2.5423430000000002,70910000.0,46.0,Pd,I,4.224009,2.0,6.766325999999999,1.0,CB,1.0,3.0
63813,511.0841,2.4252540000000002,49180000.0,46.0,Pd,I,4.395413,3.0,6.820643,3.0,CB,1.0,7.0
63871,511.7057,2.422309,87250000.0,46.0,Pd,I,4.812057,2.0,7.234342,3.0,CB,1.0,7.0
64358,516.3878,2.400346,108100000.0,46.0,Pd,I,4.395413,3.0,6.7957350000000005,4.0,CB,1.0,9.0
65119,523.4882,2.367788,39070000.0,46.0,Pd,I,4.454491,4.0,6.822255,4.0,CB,1.0,9.0
65796,529.5639,2.340623,69930000.0,46.0,Pd,I,4.454491,4.0,6.795089999999999,5.0,CB,1.0,11.0
65988,531.2623,2.333141,24230000.0,46.0,Pd,I,4.485828,1.0,6.818944999999999,2.0,CB,1.0,5.0
66323,534.5143,2.318946,18740000.0,46.0,Pd,I,4.941803,3.0,7.260725,3.0,CB,1.0,7.0
66866,539.5308,2.297384,35940000.0,46.0,Pd,I,4.941803,3.0,7.239165,4.0,CB,1.0,9.0
68325,554.2844,2.2362349999999998,53870000.0,46.0,Pd,I,4.5844309999999995,2.0,6.820643,3.0,CB,1.0,7.0
68375,554.7058,2.234536,49750000.0,46.0,Pd,I,4.5844309999999995,2.0,6.818944999999999,2.0,CB,1.0,5.0
69073,561.95,2.205731,36260000.0,46.0,Pd,I,5.055016999999999,2.0,7.260725,3.0,CB,1.0,7.0
69320,564.273,2.19665,28970000.0,46.0,Pd,I,5.063366,1.0,7.259994,2.0,CB,1.0,5.0
69439,565.5486,2.191696,25700000.0,46.0,Pd,I,5.055016999999999,2.0,7.246689999999999,2.0,CB,1.0,5.0
69576,567.0097,2.186048,56550000.0,46.0,Pd,I,4.636229,3.0,6.822255,4.0,CB,1.0,9.0
69750,569.0168,2.178337,34400000.0,46.0,Pd,I,5.063366,1.0,7.241681,1.0,CB,1.0,3.0
69787,569.513,2.176439,54670000.0,46.0,Pd,I,4.636229,3.0,6.812646000000001,3.0,CB,1.0,7.0
70189,573.6667,2.1606810000000003,25560000.0,46.0,Pd,I,4.636229,3.0,6.796888,2.0,CB,1.0,5.0
77449,677.447,1.829682,948500.0,46.0,Pd,I,3.11214,4.0,4.941803,3.0,CB,1.0,7.0
77523,678.4566,1.826959,30600000.0,46.0,Pd,I,4.224009,2.0,6.05095,3.0,CB,1.0,7.0
77870,683.3492,1.8138779999999999,6104000.0,46.0,Pd,I,5.005085,1.0,6.818944999999999,2.0,CB,1.0,5.0
78956,701.65,1.7665680000000001,23150000.0,46.0,Pd,I,4.7223239999999995,0.0,6.488874,1.0,CB,1.0,3.0
80605,731.0151,1.695605,17260000.0,46.0,Pd,I,4.812057,2.0,6.507645,2.0,CB,1.0,5.0
80920,736.8199,1.682247,54980000.0,46.0,Pd,I,4.395413,3.0,6.077643,2.0,CB,1.0,5.0
81036,739.1985,1.676834,60150000.0,46.0,Pd,I,4.812057,2.0,6.488874,1.0,CB,1.0,3.0
81505,748.7004,1.6555529999999998,8713000.0,46.0,Pd,I,4.395413,3.0,6.05095,3.0,CB,1.0,7.0
82990,776.4064,1.596475,64360000.0,46.0,Pd,I,4.454491,4.0,6.05095,3.0,CB,1.0,7.0
