,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
649,204.9391,6.047927,41260000.0,78.0,Pt,I,0.0,3.0,6.047867,3.0,CB,1.0,7.0
1041,208.4596,5.945803,35540000.0,78.0,Pt,I,0.102123,4.0,6.047867,3.0,CB,1.0,7.0
1672,212.8588,5.822936,33150000.0,78.0,Pt,I,0.096198,2.0,5.9190760000000004,1.0,CB,1.0,3.0
1910,214.4212,5.78051,26070000.0,78.0,Pt,I,0.0,3.0,5.7804519999999995,3.0,CB,1.0,7.0
2194,216.5211,5.724456,13610000.0,78.0,Pt,I,0.0,3.0,5.724398000000001,2.0,CB,1.0,5.0
2723,220.2223,5.6282559999999995,14100000.0,78.0,Pt,I,0.096198,2.0,5.724398000000001,2.0,CB,1.0,5.0
3014,222.2613,5.576626999999999,42770000.0,78.0,Pt,I,0.814261,2.0,6.390833,2.0,CB,1.0,5.0
3377,224.9307,5.510454,15160000.0,78.0,Pt,I,0.0,3.0,5.510399,2.0,GHL,1.0,5.0
3794,227.4381,5.449708,10590000.0,78.0,Pt,I,0.096198,2.0,5.545852,3.0,CB,1.0,7.0
4044,228.9276,5.414255000000001,14980000.0,78.0,Pt,I,0.096198,2.0,5.510399,2.0,GHL,1.0,5.0
4091,229.2399,5.406879,4776000.0,78.0,Pt,I,0.102123,4.0,5.508948,4.0,CB,1.0,9.0
4352,230.8043,5.370234,67360000.0,78.0,Pt,I,0.814261,2.0,6.1844410000000005,2.0,CB,1.0,5.0
4519,231.8297,5.346483,25490000.0,78.0,Pt,I,0.102123,4.0,5.4485529999999995,1.0,CB,1.0,3.0
4666,232.6106,5.328535,52900000.0,78.0,Pt,I,0.814261,2.0,6.142743,1.0,CB,1.0,3.0
4920,234.018,5.2964910000000005,43680000.0,78.0,Pt,I,0.814261,2.0,6.1107,3.0,CB,1.0,7.0
5235,235.7105,5.258464,24100000.0,78.0,Pt,I,0.096198,2.0,5.354609,1.0,GHL,1.0,3.0
5451,236.8278,5.233658,56220000.0,78.0,Pt,I,0.814261,2.0,6.047867,3.0,CB,1.0,7.0
5780,238.3643,5.199924,200600000.0,78.0,Pt,I,1.256194,1.0,6.456066000000001,1.0,CB,1.0,3.0
5840,238.6809,5.193027,3113000.0,78.0,Pt,I,0.096198,2.0,5.289173,3.0,CB,1.0,7.0
5897,238.9536,5.187101999999999,9379000.0,78.0,Pt,I,0.102123,4.0,5.289173,3.0,CB,1.0,7.0
6019,239.617,5.1727419999999995,58330000.0,78.0,Pt,I,1.6733240000000003,2.0,6.846014,2.0,CB,1.0,5.0
6139,240.1877,5.160451,76520000.0,78.0,Pt,I,1.256194,1.0,6.416593,2.0,CB,1.0,5.0
6170,240.3093,5.157842,180000000.0,78.0,Pt,I,0.761285,0.0,5.9190760000000004,1.0,CB,1.0,3.0
6516,241.8058,5.125922,141900000.0,78.0,Pt,I,1.6733240000000003,2.0,6.799195,3.0,CB,1.0,7.0
6755,242.8033,5.104865,90410000.0,78.0,Pt,I,0.814261,2.0,5.9190760000000004,1.0,CB,1.0,3.0
6758,242.8203,5.104507,71500000.0,78.0,Pt,I,1.254315,3.0,6.358771,2.0,CB,1.0,5.0
6786,242.9098,5.102628,35810000.0,78.0,Pt,I,1.256194,1.0,6.358771,2.0,CB,1.0,5.0
6980,243.6689,5.086732,43970000.0,78.0,Pt,I,0.096198,2.0,5.18288,1.0,CB,1.0,3.0
7059,244.0061,5.079704,59420000.0,78.0,Pt,I,0.0,3.0,5.0796529999999995,3.0,CB,1.0,7.0
7298,245.0968,5.0571,7874000.0,78.0,Pt,I,0.0,3.0,5.05705,2.0,CB,1.0,5.0
7677,246.74,5.0234239999999994,55010000.0,78.0,Pt,I,0.0,3.0,5.023374,2.0,CB,1.0,5.0
7758,247.1007,5.0160919999999996,91020000.0,78.0,Pt,I,1.6733240000000003,2.0,6.689366000000001,2.0,CB,1.0,5.0
8133,248.7169,4.983499,62840000.0,78.0,Pt,I,0.0,3.0,4.983449,4.0,CB,1.0,9.0
8217,249.0127,4.977580000000001,20250000.0,78.0,Pt,I,0.102123,4.0,5.0796529999999995,3.0,CB,1.0,7.0
8359,249.5813,4.96624,82100000.0,78.0,Pt,I,0.814261,2.0,5.7804519999999995,3.0,CB,1.0,7.0
8437,249.8499,4.960901,32320000.0,78.0,Pt,I,0.096198,2.0,5.05705,2.0,CB,1.0,5.0
8714,250.8497,4.94113,21680000.0,78.0,Pt,I,0.814261,2.0,5.755342,2.0,GHL,1.0,5.0
8862,251.4071,4.930176,73140000.0,78.0,Pt,I,1.254315,3.0,6.1844410000000005,2.0,CB,1.0,5.0
8887,251.503,4.928297,87860000.0,78.0,Pt,I,1.256194,1.0,6.1844410000000005,2.0,CB,1.0,5.0
8898,251.5577,4.927225,30450000.0,78.0,Pt,I,0.096198,2.0,5.023374,2.0,CB,1.0,5.0
9181,252.4307,4.910186,89250000.0,78.0,Pt,I,0.814261,2.0,5.724398000000001,2.0,CB,1.0,5.0
9325,252.941,4.900281,158700000.0,78.0,Pt,I,1.6733240000000003,2.0,6.573556,1.0,CB,1.0,3.0
9522,253.6493,4.886598,117000000.0,78.0,Pt,I,1.256194,1.0,6.142743,1.0,CB,1.0,3.0
9591,253.9207,4.881375,10240000.0,78.0,Pt,I,0.102123,4.0,4.983449,4.0,CB,1.0,9.0
9931,254.9468,4.861729,41880000.0,78.0,Pt,I,1.6733240000000003,2.0,6.535004,2.0,CB,1.0,5.0
10017,255.2248,4.856433999999999,47310000.0,78.0,Pt,I,1.254315,3.0,6.1107,3.0,CB,1.0,7.0
11234,259.5999,4.774593,100000000.0,78.0,Pt,I,1.921984,2.0,6.696528999999999,3.0,CB,1.0,7.0
11425,260.3137,4.761501,82020000.0,78.0,Pt,I,1.256194,1.0,6.017647,2.0,CB,1.0,5.0
11902,261.9568,4.731637999999999,15220000.0,78.0,Pt,I,0.814261,2.0,5.545852,3.0,CB,1.0,7.0
12126,262.8027,4.716408,53170000.0,78.0,Pt,I,0.096198,2.0,4.812558999999999,2.0,GHL,1.0,5.0
12416,263.9345,4.696184,13860000.0,78.0,Pt,I,0.814261,2.0,5.510399,2.0,GHL,1.0,5.0
12598,264.6881,4.682815,25310000.0,78.0,Pt,I,0.0,3.0,4.682768,3.0,GHL,1.0,7.0
12710,265.0853,4.675799,9676000.0,78.0,Pt,I,0.102123,4.0,4.777875,5.0,GHL,1.0,11.0
12875,265.817,4.662928,33700000.0,78.0,Pt,I,1.256194,1.0,5.9190760000000004,1.0,CB,1.0,3.0
12912,265.945,4.660683000000001,75860000.0,78.0,Pt,I,0.0,3.0,4.660637,4.0,GHL,1.0,9.0
13315,267.457,4.634338,23560000.0,78.0,Pt,I,0.814261,2.0,5.4485529999999995,1.0,CB,1.0,3.0
13383,267.7147,4.629877,15470000.0,78.0,Pt,I,0.0,3.0,4.62983,2.0,GHL,1.0,5.0
13982,269.8425,4.593369999999999,55530000.0,78.0,Pt,I,0.761285,0.0,5.354609,1.0,GHL,1.0,3.0
14095,270.2399,4.586616,50730000.0,78.0,Pt,I,0.096198,2.0,4.682768,3.0,GHL,1.0,7.0
14172,270.5895,4.580691000000001,41130000.0,78.0,Pt,I,0.102123,4.0,4.682768,3.0,GHL,1.0,7.0
14364,271.3049,4.568612,28360000.0,78.0,Pt,I,1.254315,3.0,5.822881,4.0,CB,1.0,9.0
14522,271.9033,4.558559,35550000.0,78.0,Pt,I,0.102123,4.0,4.660637,4.0,GHL,1.0,9.0
