,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
2574,219.0913,5.657307,154300000.0,45.01,Rh,II,3.1463349999999997,4.0,8.803585,4.0,GUES,2.0,9.0
3531,225.8254,5.488625,186700000.0,45.01,Rh,II,3.402052,3.0,8.890622,3.0,GUES,2.0,7.0
3828,227.6205,5.445341,490300000.0,45.01,Rh,II,3.402052,3.0,8.847339,2.0,CB,2.0,5.0
3843,227.6874,5.443741999999999,183700000.0,45.01,Rh,II,3.4469339999999997,3.0,8.890622,3.0,GUES,2.0,7.0
4030,228.8564,5.415939,20540000.0,45.0,Rh,I,0.322115,2.5,5.738,1.5,CB,1.0,4.0
4120,229.4118,5.402826999999999,180900000.0,45.01,Rh,II,3.4878489999999998,2.0,8.890622,3.0,GUES,2.0,7.0
4374,230.9816,5.366112,46310000.0,45.0,Rh,I,0.43055699999999997,1.5,5.796616,0.5,CB,1.0,2.0
4425,231.2647,5.359543,249300000.0,45.01,Rh,II,3.4878489999999998,2.0,8.847339,2.0,GUES,2.0,5.0
4521,231.837,5.346314,11760000.0,45.0,Rh,I,0.7055899999999999,3.5,6.051851,3.5,CB,1.0,8.0
4542,231.9109,5.344612000000001,24840000.0,45.0,Rh,I,0.7055899999999999,3.5,6.050149,2.5,CB,1.0,6.0
4592,232.1728,5.338584,6297000.0,45.0,Rh,I,0.189692,3.5,5.528222,3.5,CB,1.0,8.0
4611,232.2582,5.33662,12080000.0,45.0,Rh,I,0.0,4.5,5.336566,4.5,CB,1.0,10.0
4676,232.6478,5.327683,32240000.0,45.0,Rh,I,0.41036999999999996,2.5,5.738,1.5,CB,1.0,4.0
4711,232.8647,5.322721,46510000.0,45.0,Rh,I,0.965989,2.5,6.288657,1.5,CB,1.0,4.0
4798,233.341,5.311858999999999,111300000.0,45.01,Rh,II,2.093448,5.0,7.405253999999999,5.0,GUES,2.0,11.0
4833,233.4772,5.308758999999999,333800000.0,45.01,Rh,II,2.093448,5.0,7.4021539999999995,6.0,CB,2.0,13.0
5141,235.2472,5.268821,3074000.0,45.0,Rh,I,0.0,4.5,5.268768,3.5,CB,1.0,8.0
5278,235.9174,5.253852999999999,4626000.0,45.0,Rh,I,0.189692,3.5,5.443493,3.5,CB,1.0,8.0
5324,236.1922,5.247741,13410000.0,45.0,Rh,I,0.0,4.5,5.247688,4.5,CB,1.0,10.0
5452,236.8342,5.233516000000001,21720000.0,45.0,Rh,I,0.43055699999999997,1.5,5.664021,2.5,CB,1.0,6.0
5763,238.2889,5.201569999999999,15120000.0,45.0,Rh,I,0.0,4.5,5.201518,4.5,CB,1.0,10.0
5802,238.4651,5.197726,26970000.0,45.0,Rh,I,0.965989,2.5,6.163664,2.5,CB,1.0,6.0
6284,240.7886,5.147574,10410000.0,45.0,Rh,I,0.189692,3.5,5.3372150000000005,3.5,CB,1.0,8.0
6293,240.819,5.146926000000001,2515000.0,45.0,Rh,I,0.189692,3.5,5.336566,4.5,CB,1.0,10.0
6338,241.0253,5.142521,6944000.0,45.0,Rh,I,0.41036999999999996,2.5,5.552839,2.5,CB,1.0,6.0
6350,241.0695,5.141577,382300000.0,45.01,Rh,II,3.604593,1.0,8.746118,1.0,GUES,2.0,3.0
6458,241.5851,5.130604,541400000.0,45.01,Rh,II,2.453945,3.0,7.584498,4.0,CB,2.0,9.0
6564,241.9752,5.122333,14390000.0,45.0,Rh,I,0.43055699999999997,1.5,5.552839,2.5,CB,1.0,6.0
6579,242.0162,5.121467,845700000.0,45.01,Rh,II,4.196295,3.0,9.31771,2.0,CB,2.0,5.0
6593,242.0988,5.119718,632100000.0,45.01,Rh,II,2.559889,2.0,7.679556,3.0,CB,2.0,7.0
6728,242.7096,5.106836,409500000.0,45.01,Rh,II,2.298717,4.0,7.405502,5.0,CB,2.0,11.0
6744,242.7683,5.105601,34300000.0,45.0,Rh,I,0.322115,2.5,5.427665,2.5,CB,1.0,6.0
6798,242.9517,5.1017470000000005,115000000.0,45.0,Rh,I,0.43055699999999997,1.5,5.532253,1.5,CB,1.0,4.0
6832,243.0802,5.09905,1128000000.0,45.01,Rh,II,3.604593,1.0,8.703591000000001,0.0,GUES,2.0,1.0
6858,243.1861,5.096831,650200000.0,45.01,Rh,II,2.625985,1.0,7.722764999999999,2.0,CB,2.0,5.0
6878,243.2655,5.095168,75980000.0,45.0,Rh,I,0.701499,1.5,5.796616,0.5,CB,1.0,2.0
