,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
38539,368.0596,3.367665,202700.0,16.0,S,I,6.5245,2.0,9.892131,3.0,KP,1.0,7.0
45455,396.1974,3.128501,470900.0,16.0,S,I,6.5245,2.0,9.652969,3.0,KP,1.0,7.0
45473,396.2478,3.128102,445600.0,16.0,S,I,6.5245,2.0,9.652571,2.0,KP,1.0,5.0
45483,396.287,3.127793,447400.0,16.0,S,I,6.5245,2.0,9.652262,1.0,KP,1.0,3.0
47012,403.2249,3.073977,1749000.0,16.0,S,I,6.860146,1.0,9.934092,0.0,KP,1.0,1.0
47031,403.2843,3.073525,1720000.0,16.0,S,I,6.860146,1.0,9.933639999999999,1.0,KP,1.0,3.0
47065,403.4028,3.072622,1673000.0,16.0,S,I,6.860146,1.0,9.932737,2.0,KP,1.0,5.0
49621,415.7698,2.981229,94890.0,16.0,S,I,6.860146,1.0,9.841345,2.0,FOS,1.0,5.0
54789,442.6919,2.79993,1134000.0,16.0,S,I,6.860146,1.0,9.660048,1.0,KP,1.0,3.0
54829,442.9142,2.798525,4278000.0,16.0,S,I,6.860146,1.0,9.658643,0.0,KP,1.0,1.0
54883,443.1435,2.7970770000000003,854700.0,16.0,S,I,6.860146,1.0,9.657195,2.0,KP,1.0,5.0
58814,469.4113,2.640558,734000.0,16.0,S,I,6.5245,2.0,9.165030999999999,3.0,NBS,1.0,7.0
58828,469.5443,2.6398099999999998,727000.0,16.0,S,I,6.5245,2.0,9.164283,2.0,NBS,1.0,5.0
58836,469.6252,2.639355,729900.0,16.0,S,I,6.5245,2.0,9.163828,1.0,NBS,1.0,3.0
65609,527.8128,2.348388,756700.0,16.0,S,I,6.860146,1.0,9.208511,0.0,NBS,1.0,1.0
65618,527.87,2.348134,633400.0,16.0,S,I,6.860146,1.0,9.208257000000001,1.0,NBS,1.0,3.0
65621,527.8993,2.348004,602300.0,16.0,S,I,6.860146,1.0,9.208126,2.0,NBS,1.0,5.0
67886,549.8195,2.254394,1529000.0,16.0,S,I,7.866308999999999,1.0,10.120681,2.0,LW,1.0,5.0
67925,550.1562,2.253015,1729000.0,16.0,S,I,7.867683,2.0,10.120675,3.0,LW,1.0,7.0
67983,550.7005,2.250788,1896000.0,16.0,S,I,7.869903,3.0,10.120669,4.0,LW,1.0,9.0
68957,560.5272,2.211329,207800.0,16.0,S,I,7.866308999999999,1.0,10.077617,2.0,KP,1.0,5.0
68983,560.8756,2.209956,352500.0,16.0,S,I,7.867683,2.0,10.077617,2.0,KP,1.0,5.0
69030,561.4397,2.207735,485600.0,16.0,S,I,7.869903,3.0,10.077617,2.0,KP,1.0,5.0
69802,569.6966,2.175738,2257000.0,16.0,S,I,7.866308999999999,1.0,10.042026,2.0,LW,1.0,5.0
69838,570.058,2.1743580000000002,2673000.0,16.0,S,I,7.867683,2.0,10.042019,3.0,LW,1.0,7.0
69897,570.6424,2.172132,2552000.0,16.0,S,I,7.869903,3.0,10.042013,4.0,LW,1.0,9.0
71556,587.9708,2.108116,343700.0,16.0,S,I,7.866308999999999,1.0,9.974405,2.0,KP,1.0,5.0
71586,588.3541,2.106743,569700.0,16.0,S,I,7.867683,2.0,9.974405,2.0,KP,1.0,5.0
71624,588.9749,2.104523,784700.0,16.0,S,I,7.869903,3.0,9.974405,2.0,KP,1.0,5.0
72181,596.1211,2.079294,1691000.0,16.0,S,I,8.045655,2.0,10.124928,3.0,GUES,1.0,7.0
72823,604.1888,2.051529,3644000.0,16.0,S,I,7.866308999999999,1.0,9.917817999999999,0.0,LW,1.0,1.0
72824,604.1907,2.051523,2719000.0,16.0,S,I,7.866308999999999,1.0,9.917812,1.0,LW,1.0,3.0
72825,604.1943,2.051511,1296000.0,16.0,S,I,7.866308999999999,1.0,9.9178,2.0,LW,1.0,5.0
72854,604.5954,2.05015,920100.0,16.0,S,I,7.867683,2.0,9.917812,1.0,LW,1.0,3.0
72855,604.5991,2.050137,2099000.0,16.0,S,I,7.867683,2.0,9.9178,2.0,LW,1.0,5.0
72857,604.6027,2.050125,2431000.0,16.0,S,I,7.867683,2.0,9.917786999999999,3.0,LW,1.0,7.0
72895,605.2583,2.047905,1216000.0,16.0,S,I,7.869903,3.0,9.917786999999999,3.0,LW,1.0,7.0
72896,605.2674,2.047874,3679000.0,16.0,S,I,7.869903,3.0,9.917755999999999,4.0,LW,1.0,9.0
73054,608.1838,2.0380540000000003,308100.0,16.0,S,I,8.045206,1.0,10.083239,1.0,KP,1.0,3.0
73057,608.2735,2.037753,102000.0,16.0,S,I,8.045506,0.0,10.083239,1.0,KP,1.0,3.0
73059,608.3177,2.037605,511100.0,16.0,S,I,8.045655,2.0,10.083239,1.0,KP,1.0,3.0
73717,617.2821,2.0080139999999997,2322000.0,16.0,S,I,8.045206,1.0,10.0532,1.0,KP,1.0,3.0
73721,617.3584,2.007766,1492000.0,16.0,S,I,8.045206,1.0,10.052952000000001,2.0,KP,1.0,5.0
73722,617.3745,2.007714,2321000.0,16.0,S,I,8.045506,0.0,10.0532,1.0,KP,1.0,3.0
73730,617.4963,2.007318,1392000.0,16.0,S,I,8.045655,2.0,10.052952000000001,2.0,KP,1.0,5.0
73742,617.5845,2.007031,2030000.0,16.0,S,I,8.045655,2.0,10.052666,3.0,KP,1.0,7.0
75039,639.5163,1.938202,495500.0,16.0,S,I,8.045206,1.0,9.983389,1.0,KP,1.0,3.0
75043,639.6154,1.937902,164000.0,16.0,S,I,8.045506,0.0,9.983389,1.0,KP,1.0,3.0
75048,639.6644,1.9377529999999998,822000.0,16.0,S,I,8.045655,2.0,9.983389,1.0,KP,1.0,3.0
75091,640.361,1.935645,605400.0,16.0,S,I,7.866308999999999,1.0,9.801935,2.0,KP,1.0,5.0
75116,640.8157,1.9342720000000002,1003000.0,16.0,S,I,7.867683,2.0,9.801935,2.0,KP,1.0,5.0
75168,641.5522,1.9320509999999997,1414000.0,16.0,S,I,7.869903,3.0,9.801935,2.0,KP,1.0,5.0
75907,653.558,1.8965599999999998,2607000.0,16.0,S,I,8.045206,1.0,9.941747,1.0,KP,1.0,3.0
75911,653.6336,1.896341,1969000.0,16.0,S,I,8.045206,1.0,9.941528,2.0,KP,1.0,5.0
75915,653.6614,1.8962599999999998,2607000.0,16.0,S,I,8.045506,0.0,9.941747,1.0,KP,1.0,3.0
75918,653.7126,1.8961119999999998,73450.0,16.0,S,I,8.045655,2.0,9.941747,1.0,KP,1.0,3.0
75925,653.7882,1.895892,1563000.0,16.0,S,I,8.045655,2.0,9.941528,2.0,KP,1.0,5.0
