,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
415,202.949,6.107225,72120000.0,51.0,Sb,I,2.032795,0.5,8.139959,0.5,CB,1.0,2.0
542,203.9774,6.07644,36020000.0,51.0,Sb,I,1.221753,2.5,7.298131,2.5,CB,1.0,6.0
651,204.9569,6.047402,537700000.0,51.0,Sb,I,1.055366,1.5,7.102708,0.0,CB,1.0,1.0
866,206.8341,5.992526,105800000.0,51.0,Sb,I,0.0,1.5,5.992466,2.5,CB,1.0,6.0
1229,209.841,5.906666,90780000.0,51.0,Sb,I,1.055366,1.5,6.9619729999999995,1.5,CB,1.0,4.0
1538,211.8481,5.850712000000001,75990000.0,51.0,Sb,I,2.2893060000000003,1.5,8.139959,0.5,CB,1.0,2.0
1656,212.7391,5.826212,21730000.0,51.0,Sb,I,0.0,1.5,5.826154,0.5,CB,1.0,2.0
1850,213.9686,5.792736,85330000.0,51.0,Sb,I,1.055366,1.5,6.848044,1.5,CB,1.0,4.0
1919,214.4851,5.778788,55320000.0,51.0,Sb,I,1.055366,1.5,6.834096000000001,2.5,CB,1.0,6.0
2351,217.5815,5.696561,62600000.0,51.0,Sb,I,0.0,1.5,5.696504,1.5,CB,1.0,4.0
2395,217.9192,5.687733000000001,42570000.0,51.0,Sb,I,1.221753,2.5,6.909428999999999,2.5,CB,1.0,6.0
2712,220.1316,5.6305760000000005,34390000.0,51.0,Sb,I,2.032795,0.5,7.663314,1.5,CB,1.0,4.0
2798,220.8446,5.612399,40510000.0,51.0,Sb,I,1.221753,2.5,6.834096000000001,2.5,CB,1.0,6.0
2990,222.0731,5.581353,36210000.0,51.0,Sb,I,1.055366,1.5,6.636663,1.5,CB,1.0,4.0
3046,222.4933,5.5708150000000005,12050000.0,51.0,Sb,I,1.055366,1.5,6.626125,2.5,CB,1.0,6.0
3607,226.2501,5.478321,93890000.0,51.0,Sb,I,2.032795,0.5,7.511062,1.5,CB,1.0,4.0
4036,228.8975,5.4149650000000005,14880000.0,51.0,Sb,I,1.221753,2.5,6.636663,1.5,CB,1.0,4.0
4110,229.3439,5.404426,35050000.0,51.0,Sb,I,1.221753,2.5,6.626125,2.5,CB,1.0,6.0
4323,230.6505,5.373814,104000000.0,51.0,Sb,I,2.032795,0.5,7.406556,0.5,CB,1.0,2.0
4408,231.146,5.362296,73290000.0,51.0,Sb,I,0.0,1.5,5.362242,0.5,CB,1.0,2.0
5301,236.0498,5.250907,24880000.0,51.0,Sb,I,2.032795,0.5,7.28365,1.5,CB,1.0,4.0
5568,237.3653,5.221808,55080000.0,51.0,Sb,I,2.2893060000000003,1.5,7.511062,1.5,CB,1.0,4.0
5781,238.3654,5.1999,37260000.0,51.0,Sb,I,2.2893060000000003,1.5,7.489153999999999,2.5,CB,1.0,6.0
6621,242.2132,5.117301,108300000.0,51.0,Sb,I,2.2893060000000003,1.5,7.406556,0.5,CB,1.0,2.0
6717,242.6348,5.108411,142200000.0,51.0,Sb,I,2.032795,0.5,7.141155,0.5,CB,1.0,2.0
7171,244.5503,5.068401000000001,76750000.0,51.0,Sb,I,1.055366,1.5,6.123716,1.5,CB,1.0,4.0
7839,247.4567,5.008875,15800000.0,51.0,Sb,I,2.2893060000000003,1.5,7.298131,2.5,CB,1.0,6.0
7931,247.8316,5.0013,201100000.0,51.0,Sb,I,2.032795,0.5,7.034045,1.5,CB,1.0,4.0
7984,248.0431,4.9970349999999994,78300000.0,51.0,Sb,I,2.032795,0.5,7.029780000000001,0.5,CB,1.0,2.0
8760,251.052,4.93715,7018000.0,51.0,Sb,I,1.055366,1.5,5.992466,2.5,CB,1.0,6.0
9308,252.8516,4.902012,1400000000.0,51.0,Sb,I,1.221753,2.5,6.123716,1.5,CB,1.0,4.0
10080,255.4635,4.851897,30070000.0,51.0,Sb,I,2.2893060000000003,1.5,7.141155,0.5,CB,1.0,2.0
10642,257.4053,4.815297,81390000.0,51.0,Sb,I,2.032795,0.5,6.848044,1.5,CB,1.0,4.0
11293,259.8044,4.770836,3188000000.0,51.0,Sb,I,1.055366,1.5,5.826154,0.5,CB,1.0,2.0
11703,261.2308,4.744786,405300000.0,51.0,Sb,I,2.2893060000000003,1.5,7.034045,1.5,CB,1.0,4.0
12749,265.2603,4.672714,366800000.0,51.0,Sb,I,2.2893060000000003,1.5,6.9619729999999995,1.5,CB,1.0,4.0
13216,267.0624,4.641184,75610000.0,51.0,Sb,I,1.055366,1.5,5.696504,1.5,CB,1.0,4.0
13540,268.2773,4.620169000000001,104400000.0,51.0,Sb,I,2.2893060000000003,1.5,6.909428999999999,2.5,CB,1.0,6.0
13787,269.2245,4.603914,43810000.0,51.0,Sb,I,2.032795,0.5,6.636663,1.5,CB,1.0,4.0
14517,271.8899,4.558783,183200000.0,51.0,Sb,I,2.2893060000000003,1.5,6.848044,1.5,CB,1.0,4.0
14750,272.7244,4.544835,35830000.0,51.0,Sb,I,2.2893060000000003,1.5,6.834096000000001,2.5,CB,1.0,6.0
15988,276.9933,4.4747959999999996,189200000.0,51.0,Sb,I,1.221753,2.5,5.696504,1.5,CB,1.0,4.0
18315,285.1106,4.3474010000000005,64830000.0,51.0,Sb,I,2.2893060000000003,1.5,6.636663,1.5,CB,1.0,4.0
18987,287.7906,4.306919000000001,284900000.0,51.0,Sb,I,1.055366,1.5,5.362242,0.5,CB,1.0,2.0
22869,302.9834,4.090962,262400000.0,51.0,Sb,I,2.032795,0.5,6.123716,1.5,CB,1.0,4.0
27682,323.2529,3.8344480000000005,553000000.0,51.0,Sb,I,2.2893060000000003,1.5,6.123716,1.5,CB,1.0,4.0
28490,326.7513,3.793397,568100000.0,51.0,Sb,I,2.032795,0.5,5.826154,0.5,CB,1.0,2.0
31370,338.3146,3.6637449999999996,25300000.0,51.0,Sb,I,2.032795,0.5,5.696504,1.5,CB,1.0,4.0
37530,363.7854,3.407231,27550000.0,51.0,Sb,I,2.2893060000000003,1.5,5.696504,1.5,CB,1.0,4.0
39560,372.2809,3.32948,12920000.0,51.0,Sb,I,2.032795,0.5,5.362242,0.5,CB,1.0,2.0
47052,403.3575,3.072967,11260000.0,51.0,Sb,I,2.2893060000000003,1.5,5.362242,0.5,CB,1.0,2.0
