,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
13749,269.0921,4.606179,61240000.0,62.01,Sm,II,0.543798,4.5,5.149932,0.5,MC,2.0,2.0
15914,276.7902,4.478079,32700000.0,62.01,Sm,II,0.103926,2.5,4.58196,0.5,MC,2.0,2.0
16280,277.9223,4.4598379999999995,38110000.0,62.01,Sm,II,0.188244,0.5,4.648037,0.5,MC,2.0,2.0
16579,278.9452,4.443486,74610000.0,62.01,Sm,II,0.248369,1.5,4.69181,0.5,MC,2.0,2.0
17199,281.0856,4.409651,27870000.0,62.01,Sm,II,0.248369,1.5,4.657976000000001,1.5,MC,2.0,4.0
17414,281.7205,4.399712999999999,38650000.0,62.01,Sm,II,0.248369,1.5,4.648037,0.5,MC,2.0,2.0
17526,282.1022,4.393759999999999,11380000.0,62.01,Sm,II,0.188244,0.5,4.58196,0.5,MC,2.0,2.0
18227,284.7548,4.352834,251700000.0,62.01,Sm,II,1.266422,6.5,5.619212,0.5,MC,2.0,2.0
18699,286.6096,4.324664,28390000.0,62.01,Sm,II,0.333355,2.5,4.657976000000001,1.5,MC,2.0,4.0
18760,286.8453,4.321112,27140000.0,62.01,Sm,II,0.248369,1.5,4.569438,0.5,MC,2.0,2.0
19749,290.8083,4.2622279999999995,365300000.0,62.01,Sm,II,1.3588870000000002,4.5,5.621072,0.5,MC,2.0,2.0
20683,294.354,4.210889,10820000.0,62.01,Sm,II,0.248369,1.5,4.4592160000000005,1.5,MC,2.0,4.0
23001,303.4899,4.084135,91320000.0,62.01,Sm,II,0.659293,5.5,4.743387,0.5,MC,2.0,2.0
23091,303.9118,4.0784650000000005,9555000.0,62.01,Sm,II,0.333355,2.5,4.411779,2.5,MC,2.0,6.0
23722,306.5767,4.0430150000000005,3878000.0,62.01,Sm,II,0.040498,1.5,4.083473000000001,2.5,MC,2.0,6.0
24485,309.667,4.002669,2979000.0,62.01,Sm,II,0.184632,3.5,4.187261,4.5,MC,2.0,10.0
24719,310.6524,3.9899730000000004,8793000.0,62.01,Sm,II,0.277473,4.5,4.267405999999999,5.5,MC,2.0,12.0
24815,311.0198,3.98526,37520000.0,62.01,Sm,II,0.188244,0.5,4.173464,0.5,MC,2.0,2.0
24932,311.5048,3.979056,2064000.0,62.01,Sm,II,0.277473,4.5,4.256489,5.5,MC,2.0,12.0
25442,313.6282,3.952116,8532000.0,62.01,Sm,II,0.184632,3.5,4.136709,4.5,MC,2.0,10.0
25540,313.9971,3.9474730000000005,5223000.0,62.01,Sm,II,0.37848000000000004,5.5,4.325914,6.5,MC,2.0,14.0
25628,314.3301,3.943292,5821000.0,62.01,Sm,II,0.43383599999999994,3.5,4.377089,3.5,MC,2.0,8.0
25733,314.7194,3.938415,10790000.0,62.01,Sm,II,0.333355,2.5,4.271730000000001,2.5,MC,2.0,6.0
25823,315.2094,3.932292,6075000.0,62.01,Sm,II,0.37848000000000004,5.5,4.310733,6.5,MC,2.0,14.0
25832,315.2525,3.931754,12960000.0,62.01,Sm,II,0.103926,2.5,4.035641,3.5,MC,2.0,8.0
26056,316.2144,3.9197949999999997,3111000.0,62.01,Sm,II,0.277473,4.5,4.197228,4.5,MC,2.0,10.0
26060,316.2296,3.919606,4621000.0,62.01,Sm,II,0.103926,2.5,4.023493,3.5,MC,2.0,8.0
26249,316.9874,3.9102370000000004,10780000.0,62.01,Sm,II,0.277473,4.5,4.18767,5.5,MC,2.0,12.0
26253,317.0206,3.909828,3053000.0,62.01,Sm,II,0.277473,4.5,4.187261,4.5,MC,2.0,10.0
26435,317.8121,3.90009,5123000.0,62.01,Sm,II,0.184632,3.5,4.084683,4.5,MC,2.0,10.0
26589,318.3902,3.8930089999999997,24260000.0,62.01,Sm,II,0.040498,1.5,3.933468,2.5,MC,2.0,6.0
26642,318.6019,3.890423,5549000.0,62.01,Sm,II,0.333355,2.5,4.223739,2.5,MC,2.0,6.0
26662,318.7002,3.889222,8632000.0,62.01,Sm,II,0.184632,3.5,4.073816000000001,4.5,MC,2.0,10.0
26671,318.7213,3.8889650000000002,15520000.0,62.01,Sm,II,0.37848000000000004,5.5,4.267405999999999,5.5,MC,2.0,12.0
