,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
250,201.8657,6.139996,11770000.0,38.01,Sr,II,2.940309,0.5,9.080243,0.5,WA,2.0,2.0
680,205.1869,6.0406260000000005,22570000.0,38.01,Sr,II,3.039677,1.5,9.080243,0.5,WA,2.0,2.0
2038,215.2834,5.757363,498500000.0,38.01,Sr,II,1.804702,1.5,7.562007,2.5,WA,2.0,6.0
2203,216.5911,5.722605000000001,444100000.0,38.01,Sr,II,1.839459,2.5,7.562007,3.5,WA,2.0,8.0
2204,216.5911,5.722605000000001,29610000.0,38.01,Sr,II,1.839459,2.5,7.562007,2.5,WA,2.0,6.0
3805,227.5218,5.447704,13570000.0,38.0,Sr,I,0.0,0.0,5.44765,1.0,GUES,1.0,3.0
3925,228.2,5.431514,87130000.0,38.01,Sr,II,2.940309,0.5,8.371769,1.5,WA,2.0,4.0
4336,230.727,5.372033999999999,13200000.0,38.0,Sr,I,0.0,0.0,5.371980000000001,1.0,GUES,1.0,3.0
4608,232.2356,5.337139,102500000.0,38.01,Sr,II,3.039677,1.5,8.376763,2.5,WA,2.0,6.0
4634,232.4531,5.332145,167900000.0,38.01,Sr,II,3.039677,1.5,8.371769,1.5,WA,2.0,4.0
5174,235.4307,5.264714,12680000.0,38.0,Sr,I,0.0,0.0,5.264662,1.0,GUES,1.0,3.0
6650,242.357,5.114264,22540000.0,38.01,Sr,II,2.940309,0.5,8.054522,0.5,WA,2.0,2.0
6757,242.8089,5.104747,6702000.0,38.0,Sr,I,0.0,0.0,5.104696,1.0,CB,1.0,3.0
7771,247.1597,5.014895,46550000.0,38.01,Sr,II,3.039677,1.5,8.054522,0.5,WA,2.0,2.0
10512,256.9468,4.823889,3690000.0,38.0,Sr,I,0.0,0.0,4.823841000000001,1.0,CB,1.0,3.0
