,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
1948,214.6877,5.773334999999999,516600000.0,73.01,Ta,II,0.127872,2.0,5.901149,1.0,CB,2.0,3.0
2004,215.064,5.763235,154800000.0,73.01,Ta,II,0.127872,2.0,5.89105,2.0,CB,2.0,5.0
2192,216.5013,5.724978,184400000.0,73.01,Ta,II,0.0,1.0,5.724921,1.0,CB,2.0,3.0
2383,217.8027,5.690774,220100000.0,73.01,Ta,II,0.547477,4.0,6.238194,3.0,CB,2.0,7.0
2449,218.2723,5.678532,224300000.0,73.01,Ta,II,0.127872,2.0,5.806347,3.0,CB,2.0,7.0
2606,219.322,5.651358,220200000.0,73.01,Ta,II,0.327598,3.0,5.9789,2.0,CB,2.0,5.0
2614,219.389,5.649630999999999,380200000.0,73.01,Ta,II,0.767067,5.0,6.416641,5.0,CB,2.0,11.0
2648,219.6056,5.6440589999999995,520400000.0,73.01,Ta,II,0.547488,4.0,6.191491,4.0,CB,2.0,9.0
2690,219.9686,5.634748,316300000.0,73.01,Ta,II,0.0,1.0,5.634691,2.0,CB,2.0,5.0
2818,221.0042,5.608346,498800000.0,73.01,Ta,II,0.0,1.0,5.60829,1.0,CB,2.0,3.0
2901,221.56,5.594279,207900000.0,73.01,Ta,II,0.547488,4.0,6.141711,3.0,CB,2.0,7.0
3251,223.9517,5.53454,435800000.0,73.01,Ta,II,0.327598,3.0,5.862083,4.0,CB,2.0,9.0
3360,224.8495,5.512443,272800000.0,73.01,Ta,II,1.208385,4.0,6.720772999999999,4.0,CB,2.0,9.0
3382,224.9791,5.5092669999999995,675400000.0,73.01,Ta,II,0.0,1.0,5.509212000000001,0.0,CB,2.0,1.0
3401,225.0769,5.506874,468000000.0,73.01,Ta,II,0.127872,2.0,5.634691,2.0,CB,2.0,5.0
3466,225.4882,5.49683,194400000.0,73.01,Ta,II,0.394275,2.0,5.89105,2.0,CB,2.0,5.0
3485,225.5762,5.494688,696700000.0,73.01,Ta,II,1.541849,3.0,7.036481,4.0,CB,2.0,9.0
