,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
12140,262.8708,4.715186,63720000.0,65.01,Tb,II,0.0,8.0,4.715139,7.0,MC',2.0,15.0
13670,268.7818,4.611497,12210000.0,65.01,Tb,II,0.0,8.0,4.611451000000001,8.0,MC',2.0,17.0
17147,280.9296,4.4120989999999995,77130000.0,65.01,Tb,II,0.12601500000000002,7.0,4.538069999999999,8.0,MC',2.0,17.0
18452,285.5659,4.34047,17000000.0,65.01,Tb,II,0.0,8.0,4.340426,7.0,MC',2.0,15.0
18854,287.2314,4.315303,10770000.0,65.01,Tb,II,0.0,8.0,4.315259999999999,7.0,MC',2.0,15.0
20188,292.4504,4.238297,45530000.0,65.01,Tb,II,0.373196,7.0,4.611451000000001,8.0,MC',2.0,17.0
20454,293.4802,4.223425,11540000.0,65.01,Tb,II,0.12601500000000002,7.0,4.349398000000001,8.0,MC',2.0,17.0
24981,311.7253,3.9762419999999996,16710000.0,65.01,Tb,II,0.373196,7.0,4.349398000000001,8.0,MC',2.0,17.0
25546,314.0067,3.9473529999999997,29790000.0,65.01,Tb,II,0.12601500000000002,7.0,4.073328,6.0,MC',2.0,13.0
26672,318.7258,3.8889099999999996,43450000.0,65.01,Tb,II,0.0,8.0,3.888871,7.0,MC',2.0,15.0
27769,323.5787,3.8305879999999997,8868000.0,65.01,Tb,II,0.0,8.0,3.83055,7.0,MC',2.0,15.0
28605,327.2375,3.78776,17030000.0,65.01,Tb,II,0.12601500000000002,7.0,3.9137370000000002,6.0,MC',2.0,13.0
28774,328.0312,3.7785949999999997,55070000.0,65.01,Tb,II,0.0,8.0,3.778557,7.0,MC',2.0,15.0
29099,329.4001,3.762894,10290000.0,65.01,Tb,II,0.12601500000000002,7.0,3.888871,7.0,MC',2.0,15.0
29915,332.549,3.727264,11530000.0,65.01,Tb,II,0.12601500000000002,7.0,3.853242,8.0,MC',2.0,17.0
31648,339.3489,3.6525790000000002,12010000.0,65.01,Tb,II,0.12601500000000002,7.0,3.778557,7.0,MC',2.0,15.0
32058,341.0686,3.6341629999999996,35750000.0,65.01,Tb,II,0.43920200000000004,6.0,4.073328,6.0,MC',2.0,13.0
33569,347.2798,3.5691660000000005,59370000.0,65.01,Tb,II,0.12601500000000002,7.0,3.695146,6.0,MC',2.0,13.0
33958,348.9509,3.552075,13370000.0,65.01,Tb,II,0.0,8.0,3.5520389999999997,7.0,MC',2.0,15.0
33987,349.1237,3.5503169999999997,20790000.0,65.01,Tb,II,0.790145,6.0,4.340426,7.0,MC',2.0,15.0
34194,350.0281,3.541143,6371000.0,65.01,Tb,II,0.0,8.0,3.5411080000000004,8.0,MC',2.0,17.0
34207,350.0842,3.540577,98310000.0,65.01,Tb,II,0.373196,7.0,3.9137370000000002,6.0,MC',2.0,13.0
34355,350.744,3.5339160000000005,176600000.0,65.01,Tb,II,0.790145,6.0,4.324026,6.0,MC',2.0,13.0
