,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
4486,231.5916,5.35198,8578000.0,81.0,Tl,I,0.0,0.5,5.351927,0.5,CB,1.0,2.0
5699,237.958,5.2088019999999995,42540000.0,81.0,Tl,I,0.0,0.5,5.20875,1.5,CB,1.0,4.0
10818,258.0146,4.803927,64500000.0,81.0,Tl,I,0.0,0.5,4.803879,0.5,CB,1.0,2.0
11606,260.8988,4.750824,15230000.0,81.0,Tl,I,0.9661719999999999,1.5,5.716949,2.5,CB,1.0,6.0
13068,266.5582,4.649962,48000000.0,81.0,Tl,I,0.9661719999999999,1.5,5.616087,0.5,CB,1.0,2.0
14267,270.9224,4.575063,72450000.0,81.0,Tl,I,0.9661719999999999,1.5,5.541189,2.5,CB,1.0,6.0
14307,271.0701,4.572571,12750000.0,81.0,Tl,I,0.9661719999999999,1.5,5.538696,1.5,CB,1.0,4.0
15913,276.7893,4.4780940000000005,101700000.0,81.0,Tl,I,0.0,0.5,4.4780489999999995,1.5,CB,1.0,4.0
17662,282.6143,4.385799,97830000.0,81.0,Tl,I,0.9661719999999999,1.5,5.351927,0.5,CB,1.0,2.0
20022,291.8317,4.247282,242900000.0,81.0,Tl,I,0.9661719999999999,1.5,5.213412,2.5,CB,1.0,6.0
20104,292.1524,4.242621,57620000.0,81.0,Tl,I,0.9661719999999999,1.5,5.20875,1.5,CB,1.0,4.0
27614,322.9751,3.837746,136300000.0,81.0,Tl,I,0.9661719999999999,1.5,4.803879,0.5,CB,1.0,2.0
34625,351.9228,3.522079,400700000.0,81.0,Tl,I,0.9661719999999999,1.5,4.488216,2.5,CB,1.0,6.0
34831,352.9416,3.511912,150100000.0,81.0,Tl,I,0.9661719999999999,1.5,4.4780489999999995,1.5,CB,1.0,4.0
40882,377.5719,3.2828239999999997,49990000.0,81.0,Tl,I,0.0,0.5,3.2827919999999997,0.5,CB,1.0,2.0
66398,535.0456,2.316643,106200000.0,81.0,Tl,I,0.9661719999999999,1.5,3.2827919999999997,0.5,CB,1.0,2.0
75989,654.9854,1.892427,4359000.0,81.0,Tl,I,3.2827919999999997,0.5,5.1752,1.5,CB,1.0,4.0
77053,671.3793,1.8462180000000001,3012000.0,81.0,Tl,I,3.2827919999999997,0.5,5.128991,0.5,CB,1.0,2.0
