,Wl/nm,E_Photon,A-Value,Elem. num,Element,ion state,E_lower_lev.,J_lower,E_upper_lev.,J_upper,Ref.,ion state num,g_j
11,200.1151,6.193699,14560000.0,23.01,V,II,2.6013029999999997,2.0,8.794939,3.0,K88,2.0,7.0
13,200.1459,6.192747,7994000.0,23.01,V,II,2.5144279999999997,5.0,8.707113,5.0,K88,2.0,11.0
15,200.166,6.192125,29250000.0,23.01,V,II,2.6013029999999997,2.0,8.793366,2.0,K88,2.0,5.0
47,200.4069,6.184683000000001,352300.0,23.01,V,II,2.0360080000000003,4.0,8.220628,3.0,K88,2.0,7.0
59,200.4791,6.182456,165300000.0,23.01,V,II,2.5247189999999997,6.0,8.707113,5.0,K88,2.0,11.0
62,200.5218,6.18114,2815000.0,23.02,V,III,6.11586,2.5,12.296939,1.5,K88,3.0,4.0
69,200.6095,6.178439,1578000.0,23.01,V,II,2.369701,4.0,8.548078,3.0,K88,2.0,7.0
82,200.6893,6.175981,90090000.0,23.01,V,II,2.372159,2.0,8.548078,3.0,K88,2.0,7.0
85,200.7095,6.1753599999999995,2299000.0,23.0,V,I,0.040104,3.5,6.215402,2.5,K88,1.0,6.0
93,200.766,6.173622,10030000.0,23.01,V,II,2.275591,3.0,8.449150999999999,4.0,K88,2.0,9.0
134,201.0677,6.164358999999999,642800.0,23.0,V,I,0.261889,0.5,6.4261870000000005,1.5,K88,1.0,4.0
161,201.2512,6.158741,538200.0,23.01,V,II,1.804725,4.0,7.963405000000001,5.0,K88,2.0,11.0
163,201.2661,6.158286,8111000.0,23.01,V,II,2.509734,4.0,8.667958,4.0,K88,2.0,9.0
165,201.2676,6.158239,565000.0,23.01,V,II,1.7930279999999998,3.0,7.951206,4.0,K88,2.0,9.0
170,201.2854,6.157693,7299000.0,23.01,V,II,2.372159,2.0,8.52979,2.0,K88,2.0,5.0
187,201.4065,6.153994,4004000.0,23.02,V,III,6.175069000000001,3.5,12.329001,2.5,K88,3.0,6.0
