element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Ar	3	"224.23208"	"0.00005"	"224.23210"	"0.00004"	"5"	"6.7e+07"	E	"23.2063731"	"28.7339376"	"3s2.3p3.(2D*).3d"	"3D*"	"1"	"3s2.3p3.(2D*).4p"	"3P"	"0"	3	1		"T1619CA,LS"	"L11520"	
Ar	3	"224.873"	"0.004"	"224.87513"	"0.00004"	"7"	"1.7e+07"	E	"23.2063731"	"28.71813306"	"3s2.3p3.(2D*).3d"	"3D*"	"1"	"3s2.3p3.(2D*).4p"	"3P"	"1"	3	3		"T1619CA,LS"	"L7491"	
Ar	3	""	""	"226.32724"	"0.00010"	""	"6.6e+05"	E	"23.2063731"	"28.68277299"	"3s2.3p3.(2D*).3d"	"3D*"	"1"	"3s2.3p3.(2D*).4p"	"3P"	"2"	3	5		"T1619CA,LS"	""	
Ar	3	"228.22225"	"0.00004"	"228.22221"	"0.00003"	"10"	"4.9e+07"	E	"23.2872005"	"28.71813306"	"3s2.3p3.(2D*).3d"	"3D*"	"2"	"3s2.3p3.(2D*).4p"	"3P"	"1"	5	3		"T1619CA,LS"	"L11520"	
Ar	3	"229.715"	"0.004"	"229.71800"	"0.00003"	"5"	"9.8e+06"	E	"23.2872005"	"28.68277299"	"3s2.3p3.(2D*).3d"	"3D*"	"2"	"3s2.3p3.(2D*).4p"	"3P"	"2"	5	5		"T1619CA,LS"	"L7491"	
Ar	2	"231.77460"	"0.00001"	"231.774598"	"0.000004"	"191"	"1.4e+07"	C	"18.454114013"	"23.80181442"	"3s2.3p4.(1D).4s"	"2D"	"5/2"	"3s2.3p4.(1S).4p"	"2P*"	"3/2"	6	4		"T926"	"L11520"	
Ar	3	"234.51968"	"0.00003"	"234.519667"	"0.000023"	"14"	"5.4e+07"	E	"23.3976625"	"28.68277299"	"3s2.3p3.(2D*).3d"	"3D*"	"3"	"3s2.3p3.(2D*).4p"	"3P"	"2"	7	5		"T1619CA,LS"	"L11520"	
Ar	3	"248.41045"	"0.00009"	"248.41053"	"0.00006"	"5"	"3.0e+07"	E	"23.1110123"	"28.10060677"	"3s2.3p3.(2P*).3d"	"3F*"	"4"	"3s2.3p3.(2D*).4p"	"3F"	"4"	9	9		"T1619CA,LS"	"L11520"	
Ar	3	"249.295"	"0.004"	"249.29343"	"0.00006"	"3"	"2.5e+06"	E	"23.1110123"	"28.08293673"	"3s2.3p3.(2P*).3d"	"3F*"	"4"	"3s2.3p3.(2D*).4p"	"3F"	"3"	9	7		"T1619CA,LS"	"L7491"	
Ar	3	"249.996"	"0.004"	"249.99661"	"0.00013"	"1"	"2.0e+06"	E	"23.1426661"	"28.10060677"	"3s2.3p3.(2P*).3d"	"3F*"	"3"	"3s2.3p3.(2D*).4p"	"3F"	"4"	7	9		"T1619CA,LS"	"L7491"	
Ar	3	"250.891"	"0.004"	"250.89084"	"0.00013"	"3"	"2.6e+07"	E	"23.1426661"	"28.08293673"	"3s2.3p3.(2P*).3d"	"3F*"	"3"	"3s2.3p3.(2D*).4p"	"3F"	"3"	7	7		"T1619CA,LS"	"L7491"	
Ar	3	"251.826"	"0.004"	"251.82088"	"0.00013"	"2"	"3.4e+06"	E	"23.1426661"	"28.06469227"	"3s2.3p3.(2P*).3d"	"3F*"	"3"	"3s2.3p3.(2D*).4p"	"3F"	"2"	7	5		"T1619CA,LS"	"L7491"	
Ar	3	"252.448"	"0.004"	"252.44847"	"0.00012"	"1"	"2.5e+06"	E	"23.1731458"	"28.08293673"	"3s2.3p3.(2P*).3d"	"3F*"	"2"	"3s2.3p3.(2D*).4p"	"3F"	"3"	5	7		"T1619CA,LS"	"L7491"	
Ar	3	"253.392"	"0.004"	"253.39011"	"0.00012"	"3"	"2.7e+07"	E	"23.1731458"	"28.06469227"	"3s2.3p3.(2P*).3d"	"3F*"	"2"	"3s2.3p3.(2D*).4p"	"3F"	"2"	5	5		"T1619CA,LS"	"L7491"	
Ar	4	"256.209"	"0.003"	"256.2106"	"0.0019"	"10"	"1.4e+08"	D	"31.022731"	"35.860433"	"3s2.3p2.(3P).4s"	"4P"	"1/2"	"3s2.3p2.(3P).4p"	"4P*"	"3/2"	2	4		"T1619CA,LS"	"L11418"	
Ar	4	"256.802"	"0.003"	"256.8053"	"0.0018"	"10"	"1.0e+08"	D	"31.107903"	"35.934402"	"3s2.3p2.(3P).4s"	"4P"	"3/2"	"3s2.3p2.(3P).4p"	"4P*"	"5/2"	4	6		"T1619CA,LS"	"L11418"	
Ar	4	"256.945"	"0.003"	"256.946"	"0.003"	"9"	"5.7e+07"	E	"31.022731"	"35.84660"	"3s2.3p2.(3P).4s"	"4P"	"1/2"	"3s2.3p2.(3P).4p"	"4P*"	"1/2"	2	2		"T1619CA,LS"	"L11418"	
Ar	4	"260.803"	"0.003"	"260.8025"	"0.0019"	"9"	"4.3e+07"	E	"31.107903"	"35.860433"	"3s2.3p2.(3P).4s"	"4P"	"3/2"	"3s2.3p2.(3P).4p"	"4P*"	"3/2"	4	4		"T1619CA,LS"	"L11418"	
Ar	4	"261.565"	"0.003"	"261.564"	"0.003"	"10"	"2.7e+08"	D	"31.107903"	"35.84660"	"3s2.3p2.(3P).4s"	"4P"	"3/2"	"3s2.3p2.(3P).4p"	"4P*"	"1/2"	4	2		"T1619CA,LS"	"L11418"	
Ar	3	"263.18635"	"0.00008"	"263.18633"	"0.00006"	"6"	"3.7e+07"	E	"23.2063731"	"27.91585952"	"3s2.3p3.(2D*).3d"	"3D*"	"1"	"3s2.3p3.(2D*).4p"	"3D"	"1"	3	3		"T1619CA,LS"	"L11520"	
Ar	3	"263.240"	"0.004"	"263.23751"	"0.00006"	"4"	"7.5e+06"	E	"23.2063731"	"27.91494398"	"3s2.3p3.(2D*).3d"	"3D*"	"1"	"3s2.3p3.(2D*).4p"	"3D"	"2"	3	5		"T1619CA,LS"	"L7491"	
Ar	4	"264.028"	"0.003"	"264.0304"	"0.0019"	"12"	"2.2e+08"	D	"31.239970"	"35.934402"	"3s2.3p2.(3P).4s"	"4P"	"5/2"	"3s2.3p2.(3P).4p"	"4P*"	"5/2"	6	6		"T1619CA,LS"	"L11418"	
Ar	3	"266.022"	"0.004"	"266.01862"	"0.00004"	"3"	"5.5e+06"	E	"23.2872005"	"27.94654815"	"3s2.3p3.(2D*).3d"	"3D*"	"2"	"3s2.3p3.(2D*).4p"	"3D"	"3"	5	7		"T1619CA,LS"	"L7491"	
Ar	3	"267.787"	"0.004"	"267.78246"	"0.00004"	"3"	"1.2e+07"	E	"23.2872005"	"27.91585952"	"3s2.3p3.(2D*).3d"	"3D*"	"2"	"3s2.3p3.(2D*).4p"	"3D"	"1"	5	3		"T1619CA,LS"	"L7491"	
