element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Ba	2	"200.920"	"0.010"	"200.92785+"	""	"6.5e+06"	C+	"2.5121134"	"8.6807021"	"6p"	"2P*"	"1/2"	"10s"	"2S"	"1/2"	2	2		"T3225,T7387"	"L3450"	
Ba	42	""	""	"202.118"	""	"2.08e+03"		"(184.8273)"	"(190.9596)"	"3s.3p4"	"4P"	"5/2"	"3s2.3p3"	"2P*"	"3/2"	6	4		"T4634"	""	
Ba	2	"202.40561"	"0.00010"	"202.40564+"	"5"	"6.9e+06"	C	"0.0000000"	"6.1235575"	"6s"	"2S"	"1/2"	"7p"	"2P*"	"1/2"	2	2		"T3225,T7387"	"L9224"	
Ba	2	"205.27516"	"0.00010"	"205.27516+"	"12"	"2.2e+07"	D	"2.7217512"	"8.7597198"	"6p"	"2P*"	"3/2"	"9d"	"2D"	"5/2"	4	6		"T3225,T7387"	"L9224"	
Ba	2	"205.391"	"0.010"	"205.40871+"	""	"3.7e+06"	D	"2.7217512"	"8.7557947"	"6p"	"2P*"	"3/2"	"9d"	"2D"	"3/2"	4	4		"T3225,T7387"	"L3450"	
Ba	2	"207.99753"	"0.00010"	"207.99753+"	"9"	"1.2e+07"	C+	"2.7217512"	"8.6807021"	"6p"	"2P*"	"3/2"	"10s"	"2S"	"1/2"	4	2		"T3225,T7387"	"L9224"	
Ba	2	"215.39336"	"0.00010"	"215.39337+"	"74"	"3.4e+07"	C	"2.5121134"	"8.2664792"	"6p"	"2P*"	"1/2"	"8d"	"2D"	"3/2"	2	4		"T3225,T7387"	"L9224"	
Ba	2	"220.08853"	"0.00010"	"220.08852+"	"30"	"1.1e+07"	C+	"2.5121134"	"8.1437342"	"6p"	"2P*"	"1/2"	"9s"	"2S"	"1/2"	2	2		"T3225,T7387"	"L9224"	
Ba	2	"221.47634"	"0.00010"	"221.47634+"	"45"	"1.6e+06"	D	"0.6042806"	"6.2006159"	"5d"	"2D"	"3/2"	"7p"	"2P*"	"3/2"	4	4		"T3225,T7387"	"L9224"	
Ba	2	"223.27858"	"0.00010"	"223.27858+"	"170"	"3.7e+07"	C	"2.7217512"	"8.2729189"	"6p"	"2P*"	"3/2"	"8d"	"2D"	"5/2"	4	6		"T3225,T7387"	"L9224"	
Ba	2	"223.53795"	"0.00010"	"223.53793+"	"17"	"6.1e+06"	C	"2.7217512"	"8.2664792"	"6p"	"2P*"	"3/2"	"8d"	"2D"	"3/2"	4	4		"T3225,T7387"	"L9224"	
Ba	2	"224.56883"	"0.00010"	"224.56883+"	"173"	"1.6e+07"	D	"0.6042806"	"6.1235575"	"5d"	"2D"	"3/2"	"7p"	"2P*"	"1/2"	4	2		"T3225,T7387"	"L9224"	
Ba	2	"225.47779"	"0.00010"	"225.47778+"	"415"	"1.4e+07"	D	"0.7035864"	"6.2006159"	"5d"	"2D"	"5/2"	"7p"	"2P*"	"3/2"	6	4		"T3225,T7387"	"L9224"	
Ba	2	"228.59894"	"0.00010"	"228.59895+"	"68"	"2.0e+07"	C+	"2.7217512"	"8.1437342"	"6p"	"2P*"	"3/2"	"9s"	"2S"	"1/2"	4	2		"T3225,T7387"	"L9224"	
Ba	1	"240.9233"	"0.0006"	"240.9232+"	"5a"	"8.6e+04"	C+	"0.0000000"	"5.144649"	"6s2"	"1S"	"0"	"6s.18p"	"1P*"	"1"	1	3		"T3039"	"L570,L16234"	
Ba	1	"241.4080"	"0.0006"	"241.4081+"	"6a"	"1.5e+05"	C+	"0.0000000"	"5.134315"	"6s2"	"1S"	"0"	"6s.17p"	"1P*"	"1"	1	3		"T3039"	"L570,L16234"	
Ba	1	"242.0111"	"0.0006"	"242.0110+"	"8a"	"2.3e+05"	C+	"0.0000000"	"5.121524"	"6s2"	"1S"	"0"	"6s.16p"	"1P*"	"1"	1	3		"T3039"	"L570,L16234"	
Ba	1	"242.7410"	"0.0006"	"242.7414+"	"6a"	"5.6e+05"	C+	"0.0000000"	"5.106116"	"6s2"	"1S"	"0"	"6s.15p"	"1P*"	"1"	1	3		"T3039"	"L570,L16234"	
Ba	1	"243.2519"	"0.0020"	"243.2518+"	"15a"	"7.2e+05"	D	"0.0000000"	"5.095403"	"6s2"	"1S"	"0"	"5d.8p"	"3P*"	"1"	1	3		"T4515"	"L570,L16234"	
Ba	1	"243.8809"	"0.0012"	"243.8807+"	"6a"	"1.4e+05"	C+	"0.0000000"	"5.082265"	"6s2"	"1S"	"0"	"6s.14p"	"1P*"	"1"	1	3		"T3039"	"L16234"	
Ba	1	"244.4642"	"0.0012"	"244.4620+"	"10a"	"4.5e+05"	D	"0.0000000"	"5.070180"	"6s2"	"1S"	"0"	"5d.8p"	"3D*"	"1"	1	3		"T4515"	"L16234"	
Ba	1	"245.2378"	"0.0012"	"245.2328+"	"2a"	"8.1e+04"	C+	"0.0000000"	"5.054244"	"6s2"	"1S"	"0"	"6s.13p"	"1P*"	"1"	1	3		"T3039"	"L16234"	
Ba	1	"247.3"	"0.2"	"247.2744+"	""	"4.6e+05"	C+	"0.0000000"	"5.012517"	"6s2"	"1S"	"0"	"6s.12p"	"1P*"	"1"	1	3		"T3039"	"L16231"	
Ba	1	"250.02"	"0.02"	"250.0363+"	""	"1.5e+06"	E	"0.0000000"	"4.957154"	"6s2"	"1S"	"0"	"6s.11p"	"1P*"	"1"	1	3		"T4515"	"L7361"	
Ba	2	"252.84078"	"0.00010"	"252.84078+"	"249"	"6.9e+07"	C	"2.5121134"	"7.4142866"	"6p"	"2P*"	"1/2"	"7d"	"2D"	"3/2"	2	4		"T3225,T7387"	"L9224"	
Ba	1	"254.32"	"0.02"	"254.2992+"	""	"4.1e+06"	E	"0.0000000"	"4.874061"	"6s2"	"1S"	"0"	"6s.10p"	"1P*"	"1"	1	3		"T4515"	"L7361"	
