element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Cd	2	"200.749"	"200.7496+"	"100"	"1.91e+09"	B	"8.587010"	"14.761076"	"4d9.5s2"	"2D"	"5/2"	"4d9.5s.(3D).5p"	"2P*"	"3/2"	6	4		"T3096"	"L3540"	
Cd	2	"203.245"	"203.2468+"	"50"	"8.e+06"	D+	"8.587010"	"14.685229"	"4d9.5s2"	"2D"	"5/2"	"4d10.5f"	"2F*"	"7/2"	6	8		"T3096"	"L3540"	
Cd	2	"209.600"	"209.5999+"	"150"	"3.85e+08"	C+	"8.587010"	"14.500411"	"4d9.5s2"	"2D"	"5/2"	"4d9.5s.(3D).5p"	"2F*"	"5/2"	6	6		"T3096"	"L3540"	
Cd	2	"214.43943"	"214.4393+"	"1000r"	"3.778e+08"	AA	"0.000000"	"5.779964"	"4d10.5s"	"2S"	"1/2"	"4d10.5p"	"2P*"	"3/2"	2	4		"T7900"	"L3486,L3540"	
Cd	2	"215.5062"	"215.5053+"	"50"	"2.25e+08"	C+	"9.285630"	"15.037007"	"4d9.5s2"	"2D"	"3/2"	"4d9.5s.(3D).5p"	"2D*"	"5/2"	4	6		"T3096"	"L3540"	
Cd	2	"218.6300"	"218.6313+"	"15"	"1.35e+06"	D+	"9.285630"	"14.954783"	"4d9.5s2"	"2D"	"3/2"	"4d10.8p"	"2P*"	"1/2"	4	2		"T3096"	"L3540"	
Cd	2	"218.7794"	"218.7816+"	"100"	"1.43e+06"	C	"8.587010"	"14.252269"	"4d9.5s2"	"2D"	"5/2"	"4d9.5s.(3D).5p"	"4D*"	"5/2"	6	6		"T3096"	"L3540"	
Cd	2	"219.4557"	"219.4551+"	"1000"	"5.67e+08"	A	"5.472177"	"11.120050"	"4d10.5p"	"2P*"	"1/2"	"4d10.5d"	"2D"	"3/2"	2	4		"T8893"	"L3540"	
Cd	2	"220.9653"	"220.9668+"	"20"	"1.95e+09"	B	"9.285630"	"14.894869"	"4d9.5s2"	"2D"	"3/2"	"4d9.5s.(3D).5p"	"2D*"	"3/2"	4	4		"T3096"	"L3540"	
Cd	2	"225.154"	"225.1538+"	"5"	"1.91e+09"	B	"9.285630"	"14.790570"	"4d9.5s2"	"2D"	"3/2"	"4d9.5s.(3D).5p"	"2P*"	"1/2"	4	2		"T3096"	"L3540"	
Cd	2	"226.3649"	"226.3667+"	"5"	"2.1e+07"	D+	"9.285630"	"14.761076"	"4d9.5s2"	"2D"	"3/2"	"4d9.5s.(3D).5p"	"2P*"	"3/2"	4	4		"T3096"	"L3540"	
Cd	2	"226.50145"	"226.5019+"	"1000"	"3.177e+08"	AAA	"0.000000"	"5.472177"	"4d10.5s"	"2S"	"1/2"	"4d10.5p"	"2P*"	"1/2"	2	2		"T7900"	"L3486,L3540"	
Cd	1	"228.80225"	"228.80227"	"1500r"	"5.3e+08"	C	"0.0000000"	"5.41716521"	"4d10.5s2"	"1S"	"0"	"4d10.5s.5p"	"1P*"	"1"	1	3		"T4515"	"L3486"	
Cd	2	"231.2766"	"231.2753+"	"1000"	"5.83e+08"	A+	"5.779964"	"11.139209"	"4d10.5p"	"2P*"	"3/2"	"4d10.5d"	"2D"	"5/2"	4	6		"T3315"	"L3540"	
Cd	2	"232.1074"	"232.1051+"	"200"	"1.052e+08"	A	"5.779964"	"11.120050"	"4d10.5p"	"2P*"	"3/2"	"4d10.5d"	"2D"	"3/2"	4	4		"T8893"	"L3540"	
Cd	2	"237.6820"	"237.6828+"	"40"	"1.26e+09"	C+	"9.285630"	"14.500411"	"4d9.5s2"	"2D"	"3/2"	"4d9.5s.(3D).5p"	"2F*"	"5/2"	4	6		"T3096"	"L3540"	
Cd	2	"246.9733"	"246.9737+"	"50"	"4.2e+06"	C+	"8.587010"	"13.605632"	"4d9.5s2"	"2D"	"5/2"	"4d9.5s.(3D).5p"	"4F*"	"7/2"	6	8		"T3096"	"L3540"	
Cd	2	"249.5584"	"249.5588+"	"40"	"2.3e+05"	C	"9.285630"	"14.252269"	"4d9.5s2"	"2D"	"3/2"	"4d9.5s.(3D).5p"	"4D*"	"5/2"	4	6		"T3096"	"L3540"	
Cd	2	""	"254.081+"	""	"3.2e+06"	C	"11.139209"	"16.01746"	"4d10.5d"	"2D"	"5/2"	"4d9.5s.(1D).5p"	"2F*"	"7/2"	6	8		"T3096"	""	
Cd	2	"255.1976"	"255.1979+"	"50"	"5.5e+05"	C	"8.587010"	"13.443908"	"4d9.5s2"	"2D"	"5/2"	"4d10.4f"	"2F*"	"7/2"	6	8		"T3096"	"L3540"	
Cd	2	"257.29434"	"257.2928+"	"500"	"1.61e+08"	B+	"5.472177"	"10.289530"	"4d10.5p"	"2P*"	"1/2"	"4d10.6s"	"2S"	"1/2"	2	2		"T9861"	"L3486,L3540"	
Cd	2	"265.0293"	"265.0288+"	"8"	"2.3e+05"	D+	"10.289530"	"14.966279"	"4d10.6s"	"2S"	"1/2"	"4d10.8p"	"2P*"	"3/2"	2	4		"T3096"	"L3540"	
Cd	2	"270.7003"	"270.7002+"	"50"	"2.3e+05"	D+	"8.587010"	"13.165783"	"4d9.5s2"	"2D"	"5/2"	"4d9.5s.(3D).5p"	"4P*"	"5/2"	6	6		"T3096"	"L3540"	
Cd	2	"274.85558"	"274.8547+"	"1000"	"3.09e+08"	B+	"5.779964"	"10.289530"	"4d10.5p"	"2P*"	"3/2"	"4d10.6s"	"2S"	"1/2"	4	2		"T9861"	"L3486,L3540"	
Cd	2	"275.3759"	"275.3754+"	"20"	"3.4e+06"	D+	"10.289530"	"14.790570"	"4d10.6s"	"2S"	"1/2"	"4d9.5s.(3D).5p"	"2P*"	"1/2"	2	2		"T3096"	"L3540"	
Cd	2	"277.1923"	"277.1918+"	"20"	"5.9e+06"	C+	"10.289530"	"14.761076"	"4d10.6s"	"2S"	"1/2"	"4d9.5s.(3D).5p"	"2P*"	"3/2"	2	4		"T3096"	"L3540"	
Cd	2	"283.4081"	"283.4079+"	"20"	"7.8e+05"	C	"9.285630"	"13.659105"	"4d9.5s2"	"2D"	"3/2"	"4d9.5s.(3D).5p"	"4F*"	"5/2"	4	6		"T3096"	"L3540"	
Cd	1	"283.68999"	"283.689991"	"200"	"2.8e+07"	D	"3.73365891"	"8.10278544"	"4d10.5s.5p"	"3P*"	"0"	"4d10.5s.6d"	"3D"	"1"	1	3		"T4515"	"L3486"	
Cd	1	"288.07670"	"288.076727"	"200r"	"4.2e+07"	D	"3.80087037"	"8.10346847"	"4d10.5s.5p"	"3P*"	"1"	"4d10.5s.6d"	"3D"	"2"	3	5		"T4515"	"L3486"	
