element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Cu	2	"201.298037"	"0.000015"	"201.298041"	"0.000008"	"1800000"	"2.5e+08"	C	"8.23486741"	"14.39211349"	"3d9.4p"	"3P*"	"2"	"3d9.(2D<5/2>).4d"	"2[5/2]"	"3"	5	7		"T7181"	"L19804c167"	
Cu	2	"201.55822"	"0.00004"	"201.558222"	"0.000009"	"1400000"	"2.1e+07"	C+	"2.97541889"	"9.12471804"	"3d9.4s"	"3D"	"1"	"3d9.4p"	"1P*"	"1"	3	3		"T4280n"	"L19804c167"	
Cu	2	"201.68964"	"0.00006"	"201.689673"	"0.000007"	"1700000"	"8.1e+06"	C+	"2.71881633"	"8.86410828"	"3d9.4s"	"3D"	"3"	"3d9.4p"	"1D*"	"2"	7	5		"T3103n"	"L19804c167"	
Cu	2	"202.21913"	"0.00016"	"202.219147"	"0.000008"	"170000"	"1.14e+07"	C+	"8.48643755"	"14.61564148"	"3d9.4p"	"3F*"	"3"	"3d9.(2D<3/2>).4d"	"2[7/2]"	"4"	7	9		"T8003"	"L19804c167"	
Cu	1	"202.4327"	"0.0008"	"202.43252"	"0.00021"	"3000a,bl"	"9.8e+06"	B	"0.0000000"	"6.1227444"	"3d10.4s"	"2S"	"1/2"	"3d10.5p"	"2P*"	"1/2"	2	2		"T7574"	"L4958"	
Cu	1	"202.4338"	"0.0002"	"202.43383"	"0.00007"	"7000a"	"9.8e+06"	B	"0.0000000"	"6.1227049"	"3d10.4s"	"2S"	"1/2"	"3d10.5p"	"2P*"	"3/2"	2	4		"T7574"	"L4958"	
Cu	2	"202.548773"	"0.000013"	"202.548775"	"0.000006"	"8100000"	"6.8e+07"	C+	"2.97541889"	"9.09464957"	"3d9.4s"	"3D"	"1"	"3d9.4p"	"3D*"	"2"	3	5		"T3103n"	"L19804c167"	
Cu	2	"202.71336"	"0.00006"	"202.713416"	"0.000010"	"610000"	"1.3e+08"	C	"8.42057990"	"14.53484133"	"3d9.4p"	"3P*"	"1"	"3d9.(2D<3/2>).4d"	"2[1/2]"	"1"	3	3		"T8003n"	"L19804c167"	
Cu	2	"202.99491"	"0.00007"	"202.994908"	"0.000007"	"560000"	"8.0e+07"	B	"8.23486741"	"14.34065139"	"3d9.4p"	"3P*"	"2"	"3d9.(2D<5/2>).4d"	"2[3/2]"	"1"	5	3		"T8003"	"L19804c167"	
Cu	2	"203.103579"	"0.000017"	"203.103598"	"0.000007"	"2700000"	"4.5e+08"	B	"8.23486741"	"14.33738437"	"3d9.4p"	"3P*"	"2"	"3d9.(2D<5/2>).4d"	"2[3/2]"	"2"	5	5		"T8003"	"L19804c167"	
Cu	2	"203.3844"	"0.0003"	"203.384242"	"0.000009"	"62000"	"8.9e+06"	C+	"8.52154401"	"14.61564148"	"3d9.4p"	"3F*"	"4"	"3d9.(2D<3/2>).4d"	"2[7/2]"	"4"	9	9		"T8003"	"L19804c170"	
Cu	2	"203.585321"	"0.000007"	"203.585327"	"0.000006"	"19000000"	"3.7e+08"	C+	"2.97541889"	"9.06349793"	"3d9.4s"	"3D"	"1"	"3d9.4p"	"3D*"	"1"	3	3		"T3103"	"L19804c167"	
Cu	2	"203.69201"	"0.00003"	"203.692001"	"0.000010"	"730000"	"1.9e+08"	C	"8.53634465"	"14.62123579"	"3d9.4p"	"3P*"	"0"	"3d9.(2D<3/2>).4d"	"2[3/2]"	"1"	1	3		"T7181"	"L19804c167"	
Cu	2	"203.712672"	"0.000006"	"203.712668"	"0.000005"	"13000000"	"1.36e+08"	B	"2.83268156"	"8.91695547"	"3d9.4s"	"3D"	"2"	"3d9.4p"	"3D*"	"3"	5	7		"T6136n"	"L19804c167"	
Cu	2	"204.38019"	"0.00005"	"204.380148"	"0.000008"	"21000000"	"1.42e+08"	C+	"2.71881633"	"8.78322249"	"3d9.4s"	"3D"	"3"	"3d9.4p"	"1F*"	"3"	7	7		"T3103n"	"L869c171"	
Cu	2	"204.767825"	"0.000016"	"204.767825"	"0.000013"	"1300000"	"5.32e+08"	B+	"9.12471804"	"15.1776443"	"3d9.4p"	"1P*"	"1"	"3d9.(2D<3/2>).4d"	"2[1/2]"	"0"	3	1		"T8646"	"L19804c167"	
Cu	2	"205.425259"	"0.000021"	"205.425263"	"0.000009"	"810000"	"1.4e+08"	C	"8.66252610"	"14.69608333"	"3d9.4p"	"3F*"	"2"	"3d9.(2D<3/2>).4d"	"2[5/2]"	"2"	5	5		"T7181"	"L19804c167"	
Cu	2	"205.44171"	"0.00003"	"205.441739"	"0.000009"	"960000"	"6.7e+08"	C	"8.42057990"	"14.45365331"	"3d9.4p"	"3P*"	"1"	"3d9.(2D<5/2>).4d"	"2[1/2]"	"0"	3	1		"T7181"	"L19804c167"	
Cu	2	"205.497836"	"0.000006"	"205.497836"	"0.000005"	"18000000"	"1.65e+08"	C+	"2.83268156"	"8.86410828"	"3d9.4s"	"3D"	"2"	"3d9.4p"	"1D*"	"2"	5	5		"T3103n"	"L19804c167"	
