element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Fr	1	"308.6287"	"0.0005"	"308.6287"	""	"8.00e+03"		"0.00000000"	"4.016095"	"7s"	"2S"	"1/2"	"20p"	"2P*"	"3/2"	2	4		"T6898"	"L12264"	
Fr	1	"308.6843"	"0.0005"	"308.6843"	""	"8.01e+03"		"0.00000000"	"4.015371"	"7s"	"2S"	"1/2"	"20p"	"2P*"	"1/2"	2	2		"T6898"	"L12264"	
Fr	1	"309.2514"	"0.0005"	"309.2514"	""	"1.00e+04"		"0.00000000"	"4.008009"	"7s"	"2S"	"1/2"	"19p"	"2P*"	"3/2"	2	4		"T6898"	"L12264"	
Fr	1	"309.3197"	"0.0005"	"309.3197"	""	"9.82e+03"		"0.00000000"	"4.007123"	"7s"	"2S"	"1/2"	"19p"	"2P*"	"1/2"	2	2		"T6898"	"L12264"	
Fr	1	"310.0211"	"0.0005"	"310.0211"	""	"1.23e+04"		"0.00000000"	"3.998058"	"7s"	"2S"	"1/2"	"18p"	"2P*"	"3/2"	2	4		"T6898"	"L12264"	
Fr	1	"310.1063"	"0.0005"	"310.1063"	""	"1.23e+04"		"0.00000000"	"3.996959"	"7s"	"2S"	"1/2"	"18p"	"2P*"	"1/2"	2	2		"T6898"	"L12264"	
Fr	1	"310.9885"	"0.0005"	"310.9885"	""	"1.57e+04"		"0.00000000"	"3.985621"	"7s"	"2S"	"1/2"	"17p"	"2P*"	"3/2"	2	4		"T6898"	"L12264"	
Fr	1	"311.0966"	"0.0005"	"311.0966"	""	"1.57e+04"		"0.00000000"	"3.984236"	"7s"	"2S"	"1/2"	"17p"	"2P*"	"1/2"	2	2		"T6898"	"L12264"	
Fr	1	"312.2284"	"0.0005"	"312.2284"	""	"2.10e+04"		"0.00000000"	"3.969794"	"7s"	"2S"	"1/2"	"16p"	"2P*"	"3/2"	2	4		"T6898"	"L12264"	
Fr	1	"312.3684"	"0.0005"	"312.3684"	""	"2.11e+04"		"0.00000000"	"3.968015"	"7s"	"2S"	"1/2"	"16p"	"2P*"	"1/2"	2	2		"T6898"	"L12264"	
Fr	1	"313.8547"	"0.0005"	"313.8547"	""	"2.81e+04"		"0.00000000"	"3.949225"	"7s"	"2S"	"1/2"	"15p"	"2P*"	"3/2"	2	4		"T6898"	"L12264"	
Fr	1	"314.0409"	"0.0005"	"314.0409"	""	"2.81e+04"		"0.00000000"	"3.946883"	"7s"	"2S"	"1/2"	"15p"	"2P*"	"1/2"	2	2		"T6898"	"L12264"	
Fr	1	"316.0492"	"0.0005"	"316.0492"	""	"4.00e+04"		"0.00000000"	"3.921805"	"7s"	"2S"	"1/2"	"14p"	"2P*"	"3/2"	2	4		"T6898"	"L12264"	
Fr	1	"316.3046"	"0.0005"	"316.3046"	""	"3.91e+04"		"0.00000000"	"3.918638"	"7s"	"2S"	"1/2"	"14p"	"2P*"	"1/2"	2	2		"T6898"	"L12264"	
Fr	1	"319.1165"	"0.0005"	"319.1165"	""	"5.81e+04"		"0.00000000"	"3.884110"	"7s"	"2S"	"1/2"	"13p"	"2P*"	"3/2"	2	4		"T6898"	"L12264"	
Fr	1	"319.4810"	"0.0005"	"319.4810"	""	"5.81e+04"		"0.00000000"	"3.879679"	"7s"	"2S"	"1/2"	"13p"	"2P*"	"1/2"	2	2		"T6898"	"L12264"	
Fr	1	"323.6029"	"0.0005"	"323.6029"	""	"9.16e+04"		"0.00000000"	"3.830264"	"7s"	"2S"	"1/2"	"12p"	"2P*"	"3/2"	2	4		"T6898"	"L12264"	
Fr	1	"324.1504"	"0.0005"	"324.1504"	""	"9.15e+04"		"0.00000000"	"3.823794"	"7s"	"2S"	"1/2"	"12p"	"2P*"	"1/2"	2	2		"T6898"	"L12264"	
