element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
He	1	"267.7135"	"0.0010"	"267.7128032"	"0.0000021"	"1*"	"4.4174e+05"	AAA	"[19.81961484203]"	"[24.44947811498]"	"1s.2s"	"3S"	"1"	"1s.10p"	"3P*"	"0"	3	1		"T8636c73"	"L14924"	
He	1	"267.7135"	"0.0010"	"267.7128514"	"0.0000021"	"1*"	"4.4174e+05"	AAA	"[19.81961484203]"	"[24.44947728263]"	"1s.2s"	"3S"	"1"	"1s.10p"	"3P*"	"1"	3	3		"T8636c73"	"L14924"	
He	1	"267.7135"	"0.0010"	"267.7128553"	"0.0000021"	"1*"	"4.4174e+05"	AAA	"[19.81961484203]"	"[24.44947721493]"	"1s.2s"	"3S"	"1"	"1s.10p"	"3P*"	"2"	3	5		"T8636c73"	"L14924"	
He	1	"269.6119"	"0.0010"	"269.6117588"	"0.0000021"	"1*"	"6.0234e+05"	AAA	"[19.81961484203]"	"[24.41687044765]"	"1s.2s"	"3S"	"1"	"1s.9p"	"3P*"	"0"	3	1		"T8636c73"	"L14924"	
He	1	"269.6119"	"0.0010"	"269.6118260"	"0.0000021"	"1*"	"6.0234e+05"	AAA	"[19.81961484203]"	"[24.41686930227]"	"1s.2s"	"3S"	"1"	"1s.9p"	"3P*"	"1"	3	3		"T8636c73"	"L14924"	
He	1	"269.6119"	"0.0010"	"269.6118315"	"0.0000021"	"1*"	"6.0234e+05"	AAA	"[19.81961484203]"	"[24.41686920906]"	"1s.2s"	"3S"	"1"	"1s.9p"	"3P*"	"2"	3	5		"T8636c73"	"L14924"	
He	1	"272.3191"	"0.0010"	"272.3191000"	"0.0000021"	"1*"	"8.4996e+05"	AAA	"[19.81961484203]"	"[24.37116797472]"	"1s.2s"	"3S"	"1"	"1s.8p"	"3P*"	"0"	3	1		"T8636c73"	"L14924"	
He	1	"272.3191"	"0.0010"	"272.3191979"	"0.0000021"	"1*"	"8.4996e+05"	AAA	"[19.81961484203]"	"[24.37116633720]"	"1s.2s"	"3S"	"1"	"1s.8p"	"3P*"	"1"	3	3		"T8636c73"	"L14924"	
He	1	"272.3191"	"0.0010"	"272.3192059"	"0.0000021"	"1*"	"8.4996e+05"	AAA	"[19.81961484203]"	"[24.37116620390]"	"1s.2s"	"3S"	"1"	"1s.8p"	"3P*"	"2"	3	5		"T8636c73"	"L14924"	
He	2	""	""	"273.3184772"	"0.0000021"	""	"2.5052e+07"	AA	"(48.37129741757)"	"(52.9062088920)"	"3p"	"2P*"	"1/2"	"6d"	"2D"	"3/2"	2	4		"T8637"	""	
He	2	""	""	"273.3195172"	"0.0000021"	""	"1.5290e+07"	AA	"(48.3713147192)"	"(52.90620893763)"	"3s"	"2S"	"1/2"	"6p"	"2P*"	"3/2"	2	4		"T8637"	""	
He	2	""	""	"273.3199647"	"0.0000021"	""	"2.7064e+06"	AA	"(48.37129741757)"	"(52.90618421270)"	"3p"	"2P*"	"1/2"	"6s"	"2S"	"1/2"	2	2		"T8637"	""	
He	2	""	""	"273.3211384"	"0.0000021"	""	"1.5290e+07"	AA	"(48.3713147192)"	"(52.90618204173)"	"3s"	"2S"	"1/2"	"6p"	"2P*"	"1/2"	2	2		"T8637"	""	
He	2	""	""	"273.3308860"	"0.0000021"	""	"3.2062e+07"	AA	"(48.371512233303)"	"(52.9062178403)"	"3d"	"2D"	"3/2"	"6f"	"2F*"	"5/2"	4	6		"T8637"	""	
He	2	""	""	"273.3309064"	"0.0000021"	""	"3.0058e+07"	AA	"(48.37151258731)"	"(52.9062178567)"	"3p"	"2P*"	"3/2"	"6d"	"2D"	"5/2"	4	6		"T8637"	""	
He	2	""	""	"273.3314226"	"0.0000021"	""	"1.2524e+05"	AA	"(48.371512233303)"	"(52.90620893763)"	"3d"	"2D"	"3/2"	"6p"	"2P*"	"3/2"	4	4		"T8637"	""	
